Student S10025 named Alexander Campbell, age 12, gender Female, is in Class 9. Scored 56 in Math, 39 in Science, 58 in English, 58 in History, and 39 in Computer, totaling 250 marks with Grade D. Attendance stands at 71.01 percent. Participates in Debate as an extracurricular activity.
Student S15743 named Preston Hart, age 11, gender Male, is in Class 9. Scored 76 in Math, 89 in Science, 79 in English, 47 in History, and 87 in Computer, totaling 378 marks with Grade C. Attendance stands at 77.58 percent. Participates in Dance as an extracurricular activity.
Student S15758 named Charles Davis, age 14, gender Male, is in Class 9. Scored 47 in Math, 82 in Science, 57 in English, 51 in History, and 51 in Computer, totaling 288 marks with Grade D. Attendance stands at 72.35 percent. Participates in None as an extracurricular activity.
Student S15764 named Vincent Owens, age 11, gender Female, is in Class 9. Scored 30 in Math, 35 in Science, 63 in English, 87 in History, and 56 in Computer, totaling 271 marks with Grade D. Attendance stands at 85.61 percent. Participates in Dance as an extracurricular activity.
Student S15774 named Jeffrey Jones, age 17, gender Female, is in Class 9. Scored 65 in Math, 81 in Science, 86 in English, 67 in History, and 94 in Computer, totaling 393 marks with Grade C. Attendance stands at 90.66 percent. Participates in Football as an extracurricular activity.
Student S15776 named Joshua Rowland, age 10, gender Female, is in Class 9. Scored 65 in Math, 64 in Science, 50 in English, 99 in History, and 76 in Computer, totaling 354 marks with Grade C. Attendance stands at 66.19 percent. Participates in Music as an extracurricular activity.
Student S15778 named Miguel Gonzales, age 16, gender Female, is in Class 9. Scored 74 in Math, 97 in Science, 93 in English, 59 in History, and 62 in Computer, totaling 385 marks with Grade C. Attendance stands at 98.13 percent. Participates in Drama as an extracurricular activity.
Student S15816 named Daniel Roberts, age 11, gender Female, is in Class 9. Scored 86 in Math, 45 in Science, 37 in English, 91 in History, and 99 in Computer, totaling 358 marks with Grade C. Attendance stands at 94.83 percent. Participates in None as an extracurricular activity.
Student S15824 named Linda Cooper, age 13, gender Male, is in Class 9. Scored 52 in Math, 43 in Science, 75 in English, 76 in History, and 50 in Computer, totaling 296 marks with Grade D. Attendance stands at 65.92 percent. Participates in None as an extracurricular activity.
Student S15848 named Sheri Williams, age 13, gender Male, is in Class 9. Scored 46 in Math, 90 in Science, 58 in English, 45 in History, and 76 in Computer, totaling 315 marks with Grade C. Attendance stands at 97.41 percent. Participates in Football as an extracurricular activity.
Student S15859 named Danielle Barnes, age 17, gender Male, is in Class 9. Scored 52 in Math, 64 in Science, 83 in English, 53 in History, and 70 in Computer, totaling 322 marks with Grade C. Attendance stands at 74.02 percent. Participates in Football as an extracurricular activity.
Student S15888 named Christopher Schmidt, age 17, gender Male, is in Class 9. Scored 72 in Math, 75 in Science, 63 in English, 97 in History, and 54 in Computer, totaling 361 marks with Grade C. Attendance stands at 99.85 percent. Participates in Drama as an extracurricular activity.
Student S15909 named David Jensen, age 11, gender Male, is in Class 9. Scored 63 in Math, 64 in Science, 59 in English, 95 in History, and 90 in Computer, totaling 371 marks with Grade C. Attendance stands at 70.33 percent. Participates in Dance as an extracurricular activity.
Student S15914 named Jessica Sanchez, age 15, gender Male, is in Class 9. Scored 70 in Math, 51 in Science, 51 in English, 96 in History, and 47 in Computer, totaling 315 marks with Grade C. Attendance stands at 63.28 percent. Participates in Debate as an extracurricular activity.
Student S15930 named Ashley Collins, age 15, gender Female, is in Class 9. Scored 39 in Math, 58 in Science, 37 in English, 36 in History, and 82 in Computer, totaling 252 marks with Grade D. Attendance stands at 61.66 percent. Participates in Dance as an extracurricular activity.
Student S15934 named Destiny Ray, age 14, gender Female, is in Class 9. Scored 69 in Math, 55 in Science, 82 in English, 35 in History, and 67 in Computer, totaling 308 marks with Grade C. Attendance stands at 78.78 percent. Participates in Football as an extracurricular activity.
Student S15935 named Philip Morris, age 15, gender Male, is in Class 9. Scored 84 in Math, 43 in Science, 61 in English, 44 in History, and 33 in Computer, totaling 265 marks with Grade D. Attendance stands at 88.30 percent. Participates in Debate as an extracurricular activity.
Student S15938 named Destiny Henson, age 12, gender Female, is in Class 9. Scored 78 in Math, 37 in Science, 71 in English, 63 in History, and 35 in Computer, totaling 284 marks with Grade D. Attendance stands at 65.48 percent. Participates in Football as an extracurricular activity.
Student S15946 named Anita Casey, age 12, gender Male, is in Class 9. Scored 40 in Math, 46 in Science, 81 in English, 89 in History, and 84 in Computer, totaling 340 marks with Grade C. Attendance stands at 70.84 percent. Participates in Music as an extracurricular activity.
Student S15947 named Brittany Stephenson, age 16, gender Male, is in Class 9. Scored 46 in Math, 79 in Science, 30 in English, 33 in History, and 83 in Computer, totaling 271 marks with Grade D. Attendance stands at 92.37 percent. Participates in Football as an extracurricular activity.
Student S15989 named Casey Wilcox, age 12, gender Male, is in Class 9. Scored 89 in Math, 61 in Science, 84 in English, 68 in History, and 90 in Computer, totaling 392 marks with Grade C. Attendance stands at 62.55 percent. Participates in Debate as an extracurricular activity.
Student S15993 named Julia Hughes, age 16, gender Male, is in Class 9. Scored 93 in Math, 69 in Science, 81 in English, 33 in History, and 73 in Computer, totaling 349 marks with Grade C. Attendance stands at 73.01 percent. Participates in None as an extracurricular activity.
Student S16030 named Melissa Mendoza, age 16, gender Male, is in Class 9. Scored 97 in Math, 47 in Science, 98 in English, 44 in History, and 68 in Computer, totaling 354 marks with Grade C. Attendance stands at 80.42 percent. Participates in Debate as an extracurricular activity.
Student S16034 named Leslie Lewis, age 11, gender Male, is in Class 9. Scored 78 in Math, 48 in Science, 30 in English, 83 in History, and 57 in Computer, totaling 296 marks with Grade D. Attendance stands at 81.81 percent. Participates in Football as an extracurricular activity.
Student S16035 named Christopher Shaw, age 14, gender Male, is in Class 9. Scored 42 in Math, 48 in Science, 38 in English, 95 in History, and 51 in Computer, totaling 274 marks with Grade D. Attendance stands at 85.38 percent. Participates in None as an extracurricular activity.
Student S16066 named Melanie Marsh, age 17, gender Male, is in Class 9. Scored 34 in Math, 88 in Science, 42 in English, 73 in History, and 45 in Computer, totaling 282 marks with Grade D. Attendance stands at 95.89 percent. Participates in Drama as an extracurricular activity.
Student S16068 named Leslie Ortiz, age 10, gender Male, is in Class 9. Scored 41 in Math, 78 in Science, 87 in English, 64 in History, and 86 in Computer, totaling 356 marks with Grade C. Attendance stands at 82.14 percent. Participates in Music as an extracurricular activity.
Student S16070 named Heather Thornton, age 15, gender Female, is in Class 9. Scored 54 in Math, 44 in Science, 37 in English, 44 in History, and 44 in Computer, totaling 223 marks with Grade D. Attendance stands at 96.05 percent. Participates in Debate as an extracurricular activity.
Student S16073 named Joe Pollard, age 13, gender Female, is in Class 9. Scored 41 in Math, 52 in Science, 75 in English, 40 in History, and 32 in Computer, totaling 240 marks with Grade D. Attendance stands at 85.06 percent. Participates in Music as an extracurricular activity.
Student S16079 named Michelle Ho, age 13, gender Female, is in Class 9. Scored 32 in Math, 72 in Science, 91 in English, 30 in History, and 45 in Computer, totaling 270 marks with Grade D. Attendance stands at 75.71 percent. Participates in None as an extracurricular activity.
Student S16080 named William Hernandez, age 12, gender Female, is in Class 9. Scored 94 in Math, 59 in Science, 64 in English, 75 in History, and 36 in Computer, totaling 328 marks with Grade C. Attendance stands at 69.83 percent. Participates in Football as an extracurricular activity.
Student S16089 named Christina Moon, age 17, gender Female, is in Class 9. Scored 78 in Math, 77 in Science, 81 in English, 64 in History, and 40 in Computer, totaling 340 marks with Grade C. Attendance stands at 97.87 percent. Participates in None as an extracurricular activity.
Student S16097 named Kimberly Hays, age 10, gender Female, is in Class 9. Scored 68 in Math, 35 in Science, 65 in English, 51 in History, and 86 in Computer, totaling 305 marks with Grade C. Attendance stands at 63.08 percent. Participates in Dance as an extracurricular activity.
Student S16100 named John Marsh, age 10, gender Male, is in Class 9. Scored 61 in Math, 68 in Science, 78 in English, 72 in History, and 34 in Computer, totaling 313 marks with Grade C. Attendance stands at 93.65 percent. Participates in Music as an extracurricular activity.
Student S16104 named Travis Andersen, age 16, gender Female, is in Class 9. Scored 73 in Math, 88 in Science, 98 in English, 31 in History, and 94 in Computer, totaling 384 marks with Grade C. Attendance stands at 75.09 percent. Participates in Music as an extracurricular activity.
Student S16109 named Kyle Marsh, age 13, gender Male, is in Class 9. Scored 47 in Math, 93 in Science, 74 in English, 34 in History, and 95 in Computer, totaling 343 marks with Grade C. Attendance stands at 84.96 percent. Participates in Dance as an extracurricular activity.
Student S16110 named James Christian, age 13, gender Male, is in Class 9. Scored 59 in Math, 98 in Science, 99 in English, 62 in History, and 40 in Computer, totaling 358 marks with Grade C. Attendance stands at 99.17 percent. Participates in Debate as an extracurricular activity.
Student S16112 named Anthony Ramirez, age 13, gender Female, is in Class 9. Scored 66 in Math, 65 in Science, 83 in English, 37 in History, and 88 in Computer, totaling 339 marks with Grade C. Attendance stands at 89.44 percent. Participates in Music as an extracurricular activity.
Student S16117 named Chelsea Lam, age 13, gender Female, is in Class 9. Scored 40 in Math, 51 in Science, 98 in English, 85 in History, and 97 in Computer, totaling 371 marks with Grade C. Attendance stands at 91.35 percent. Participates in Football as an extracurricular activity.
Student S16147 named Joseph Rivera, age 10, gender Female, is in Class 9. Scored 83 in Math, 64 in Science, 64 in English, 72 in History, and 60 in Computer, totaling 343 marks with Grade C. Attendance stands at 82.43 percent. Participates in Music as an extracurricular activity.
Student S16152 named Tara Cuevas, age 13, gender Male, is in Class 9. Scored 45 in Math, 84 in Science, 47 in English, 46 in History, and 66 in Computer, totaling 288 marks with Grade D. Attendance stands at 75.13 percent. Participates in Music as an extracurricular activity.
Student S16172 named Howard Quinn, age 14, gender Female, is in Class 9. Scored 59 in Math, 72 in Science, 36 in English, 60 in History, and 40 in Computer, totaling 267 marks with Grade D. Attendance stands at 76.42 percent. Participates in Drama as an extracurricular activity.
Student S16216 named Jessica Young, age 14, gender Female, is in Class 9. Scored 77 in Math, 87 in Science, 89 in English, 53 in History, and 64 in Computer, totaling 370 marks with Grade C. Attendance stands at 78.19 percent. Participates in None as an extracurricular activity.
Student S16220 named Karen Tanner, age 13, gender Female, is in Class 9. Scored 89 in Math, 49 in Science, 81 in English, 97 in History, and 85 in Computer, totaling 401 marks with Grade B. Attendance stands at 84.98 percent. Participates in Debate as an extracurricular activity.
Student S16221 named Chad Henson, age 10, gender Male, is in Class 9. Scored 36 in Math, 73 in Science, 62 in English, 92 in History, and 41 in Computer, totaling 304 marks with Grade C. Attendance stands at 97.84 percent. Participates in Music as an extracurricular activity.
Student S16225 named Holly Thompson, age 15, gender Female, is in Class 9. Scored 40 in Math, 38 in Science, 60 in English, 57 in History, and 47 in Computer, totaling 242 marks with Grade D. Attendance stands at 74.78 percent. Participates in Drama as an extracurricular activity.
Student S16228 named Scott Sims, age 10, gender Male, is in Class 9. Scored 81 in Math, 62 in Science, 97 in English, 37 in History, and 40 in Computer, totaling 317 marks with Grade C. Attendance stands at 62.58 percent. Participates in Drama as an extracurricular activity.
Student S16232 named Jasmine Holden, age 11, gender Male, is in Class 9. Scored 34 in Math, 60 in Science, 76 in English, 76 in History, and 64 in Computer, totaling 310 marks with Grade C. Attendance stands at 77.62 percent. Participates in Football as an extracurricular activity.
Student S16249 named Robert Webster, age 14, gender Female, is in Class 9. Scored 41 in Math, 62 in Science, 84 in English, 46 in History, and 53 in Computer, totaling 286 marks with Grade D. Attendance stands at 67.21 percent. Participates in Football as an extracurricular activity.
Student S16252 named Marissa Munoz, age 17, gender Male, is in Class 9. Scored 33 in Math, 37 in Science, 43 in English, 52 in History, and 71 in Computer, totaling 236 marks with Grade D. Attendance stands at 66.73 percent. Participates in None as an extracurricular activity.
Student S16253 named Stephanie Lambert, age 17, gender Male, is in Class 9. Scored 36 in Math, 96 in Science, 64 in English, 33 in History, and 31 in Computer, totaling 260 marks with Grade D. Attendance stands at 89.23 percent. Participates in Football as an extracurricular activity.
Student S16275 named Dr. Tina Baker, age 10, gender Female, is in Class 9. Scored 73 in Math, 48 in Science, 48 in English, 45 in History, and 63 in Computer, totaling 277 marks with Grade D. Attendance stands at 80.92 percent. Participates in Football as an extracurricular activity.
Student S16276 named Marc Macias, age 16, gender Male, is in Class 9. Scored 48 in Math, 68 in Science, 62 in English, 81 in History, and 38 in Computer, totaling 297 marks with Grade D. Attendance stands at 60.65 percent. Participates in Dance as an extracurricular activity.
Student S16280 named Laura Davis, age 10, gender Male, is in Class 9. Scored 55 in Math, 74 in Science, 34 in English, 43 in History, and 37 in Computer, totaling 243 marks with Grade D. Attendance stands at 92.62 percent. Participates in Debate as an extracurricular activity.
Student S16281 named Megan Kim, age 10, gender Female, is in Class 9. Scored 73 in Math, 81 in Science, 68 in English, 36 in History, and 32 in Computer, totaling 290 marks with Grade D. Attendance stands at 76.70 percent. Participates in Music as an extracurricular activity.
Student S16287 named Stacy Schultz, age 12, gender Male, is in Class 9. Scored 76 in Math, 53 in Science, 34 in English, 56 in History, and 82 in Computer, totaling 301 marks with Grade C. Attendance stands at 63.97 percent. Participates in Dance as an extracurricular activity.
Student S16289 named Nicole Hill, age 15, gender Female, is in Class 9. Scored 68 in Math, 44 in Science, 52 in English, 68 in History, and 77 in Computer, totaling 309 marks with Grade C. Attendance stands at 72.46 percent. Participates in None as an extracurricular activity.
Student S16316 named Jocelyn Smith, age 11, gender Male, is in Class 9. Scored 39 in Math, 56 in Science, 74 in English, 69 in History, and 91 in Computer, totaling 329 marks with Grade C. Attendance stands at 88.36 percent. Participates in Drama as an extracurricular activity.
Student S16329 named Craig Woods, age 14, gender Male, is in Class 9. Scored 52 in Math, 61 in Science, 47 in English, 78 in History, and 81 in Computer, totaling 319 marks with Grade C. Attendance stands at 85.97 percent. Participates in Debate as an extracurricular activity.
Student S16333 named Angela Moore, age 16, gender Female, is in Class 9. Scored 86 in Math, 97 in Science, 39 in English, 47 in History, and 51 in Computer, totaling 320 marks with Grade C. Attendance stands at 70.78 percent. Participates in Dance as an extracurricular activity.
Student S16336 named Matthew Thompson, age 17, gender Male, is in Class 9. Scored 37 in Math, 37 in Science, 52 in English, 31 in History, and 61 in Computer, totaling 218 marks with Grade D. Attendance stands at 83.27 percent. Participates in Music as an extracurricular activity.
Student S16341 named Dean Hodges, age 11, gender Male, is in Class 9. Scored 64 in Math, 70 in Science, 73 in English, 68 in History, and 75 in Computer, totaling 350 marks with Grade C. Attendance stands at 82.96 percent. Participates in Music as an extracurricular activity.
Student S16342 named Chad Mitchell, age 15, gender Male, is in Class 9. Scored 56 in Math, 32 in Science, 58 in English, 41 in History, and 46 in Computer, totaling 233 marks with Grade D. Attendance stands at 97.47 percent. Participates in Dance as an extracurricular activity.
Student S16358 named Caleb Butler, age 14, gender Female, is in Class 9. Scored 98 in Math, 34 in Science, 80 in English, 74 in History, and 47 in Computer, totaling 333 marks with Grade C. Attendance stands at 67.10 percent. Participates in None as an extracurricular activity.
Student S16365 named Jacob Arnold, age 15, gender Male, is in Class 9. Scored 98 in Math, 38 in Science, 40 in English, 34 in History, and 96 in Computer, totaling 306 marks with Grade C. Attendance stands at 74.84 percent. Participates in Debate as an extracurricular activity.
Student S16366 named Dr. Sarah Krause MD, age 11, gender Male, is in Class 9. Scored 60 in Math, 31 in Science, 76 in English, 72 in History, and 41 in Computer, totaling 280 marks with Grade D. Attendance stands at 70.11 percent. Participates in Drama as an extracurricular activity.
Student S16396 named Harold Compton, age 12, gender Female, is in Class 9. Scored 69 in Math, 67 in Science, 96 in English, 80 in History, and 89 in Computer, totaling 401 marks with Grade B. Attendance stands at 86.21 percent. Participates in Dance as an extracurricular activity.
Student S16402 named Shawn Clark, age 17, gender Female, is in Class 9. Scored 62 in Math, 50 in Science, 95 in English, 48 in History, and 97 in Computer, totaling 352 marks with Grade C. Attendance stands at 77.33 percent. Participates in None as an extracurricular activity.
Student S16418 named Mrs. Jamie Smith, age 13, gender Male, is in Class 9. Scored 97 in Math, 57 in Science, 49 in English, 79 in History, and 71 in Computer, totaling 353 marks with Grade C. Attendance stands at 82.22 percent. Participates in Music as an extracurricular activity.
Student S16429 named Jason Weber MD, age 16, gender Male, is in Class 9. Scored 83 in Math, 65 in Science, 61 in English, 68 in History, and 91 in Computer, totaling 368 marks with Grade C. Attendance stands at 98.11 percent. Participates in Music as an extracurricular activity.
Student S16435 named Jeffrey Sharp, age 11, gender Female, is in Class 9. Scored 75 in Math, 49 in Science, 97 in English, 95 in History, and 31 in Computer, totaling 347 marks with Grade C. Attendance stands at 83.09 percent. Participates in Football as an extracurricular activity.
Student S16441 named Charles Lynch, age 15, gender Male, is in Class 9. Scored 90 in Math, 74 in Science, 92 in English, 33 in History, and 54 in Computer, totaling 343 marks with Grade C. Attendance stands at 64.67 percent. Participates in Debate as an extracurricular activity.
Student S16457 named Joe Parker, age 15, gender Female, is in Class 9. Scored 68 in Math, 53 in Science, 80 in English, 88 in History, and 72 in Computer, totaling 361 marks with Grade C. Attendance stands at 75.25 percent. Participates in Football as an extracurricular activity.
Student S16458 named Kimberly Adams, age 14, gender Male, is in Class 9. Scored 30 in Math, 75 in Science, 58 in English, 88 in History, and 58 in Computer, totaling 309 marks with Grade C. Attendance stands at 91.35 percent. Participates in Football as an extracurricular activity.
Student S16461 named Brandi Meyer, age 13, gender Male, is in Class 9. Scored 97 in Math, 43 in Science, 72 in English, 80 in History, and 44 in Computer, totaling 336 marks with Grade C. Attendance stands at 81.22 percent. Participates in Football as an extracurricular activity.
Student S16471 named James Gentry, age 15, gender Female, is in Class 9. Scored 90 in Math, 53 in Science, 40 in English, 31 in History, and 37 in Computer, totaling 251 marks with Grade D. Attendance stands at 73.46 percent. Participates in Dance as an extracurricular activity.
Student S16480 named Mr. Alex Luna Jr., age 10, gender Male, is in Class 9. Scored 70 in Math, 44 in Science, 98 in English, 56 in History, and 87 in Computer, totaling 355 marks with Grade C. Attendance stands at 98.25 percent. Participates in None as an extracurricular activity.
Student S16497 named Matthew Taylor, age 10, gender Female, is in Class 9. Scored 45 in Math, 84 in Science, 54 in English, 55 in History, and 97 in Computer, totaling 335 marks with Grade C. Attendance stands at 80.85 percent. Participates in Drama as an extracurricular activity.
Student S16504 named Chris Carroll, age 10, gender Female, is in Class 9. Scored 80 in Math, 58 in Science, 54 in English, 81 in History, and 53 in Computer, totaling 326 marks with Grade C. Attendance stands at 74.50 percent. Participates in Football as an extracurricular activity.
Student S16507 named Andrea Daniels, age 16, gender Female, is in Class 9. Scored 39 in Math, 32 in Science, 31 in English, 94 in History, and 94 in Computer, totaling 290 marks with Grade D. Attendance stands at 69.63 percent. Participates in Football as an extracurricular activity.
Student S16515 named Zachary Stevenson, age 16, gender Female, is in Class 9. Scored 38 in Math, 88 in Science, 41 in English, 95 in History, and 91 in Computer, totaling 353 marks with Grade C. Attendance stands at 85.39 percent. Participates in None as an extracurricular activity.
Student S16518 named Kimberly Myers, age 16, gender Female, is in Class 9. Scored 36 in Math, 62 in Science, 91 in English, 78 in History, and 53 in Computer, totaling 320 marks with Grade C. Attendance stands at 61.76 percent. Participates in None as an extracurricular activity.
Student S16538 named Alexis Campbell, age 16, gender Male, is in Class 9. Scored 63 in Math, 46 in Science, 53 in English, 85 in History, and 85 in Computer, totaling 332 marks with Grade C. Attendance stands at 62.78 percent. Participates in Football as an extracurricular activity.
Student S16560 named Tammy Schaefer, age 13, gender Female, is in Class 9. Scored 30 in Math, 75 in Science, 70 in English, 66 in History, and 45 in Computer, totaling 286 marks with Grade D. Attendance stands at 96.51 percent. Participates in Football as an extracurricular activity.
Student S16563 named Steven Cox, age 16, gender Male, is in Class 9. Scored 34 in Math, 39 in Science, 86 in English, 31 in History, and 47 in Computer, totaling 237 marks with Grade D. Attendance stands at 66.56 percent. Participates in Drama as an extracurricular activity.
Student S16576 named Katherine Webb, age 16, gender Female, is in Class 9. Scored 89 in Math, 36 in Science, 99 in English, 80 in History, and 91 in Computer, totaling 395 marks with Grade C. Attendance stands at 92.62 percent. Participates in None as an extracurricular activity.
Student S16579 named Ryan Randall, age 16, gender Male, is in Class 9. Scored 37 in Math, 85 in Science, 48 in English, 76 in History, and 52 in Computer, totaling 298 marks with Grade D. Attendance stands at 85.11 percent. Participates in None as an extracurricular activity.
Student S16584 named Valerie Harris, age 11, gender Male, is in Class 9. Scored 33 in Math, 76 in Science, 96 in English, 44 in History, and 53 in Computer, totaling 302 marks with Grade C. Attendance stands at 63.89 percent. Participates in Drama as an extracurricular activity.
Student S16594 named Ashley Love, age 16, gender Male, is in Class 9. Scored 63 in Math, 78 in Science, 79 in English, 52 in History, and 86 in Computer, totaling 358 marks with Grade C. Attendance stands at 72.39 percent. Participates in Football as an extracurricular activity.
Student S16603 named Henry Jones, age 11, gender Female, is in Class 9. Scored 85 in Math, 39 in Science, 75 in English, 66 in History, and 70 in Computer, totaling 335 marks with Grade C. Attendance stands at 99.32 percent. Participates in Debate as an extracurricular activity.
Student S16605 named Mrs. Nicole Fowler PhD, age 12, gender Male, is in Class 9. Scored 67 in Math, 31 in Science, 56 in English, 89 in History, and 92 in Computer, totaling 335 marks with Grade C. Attendance stands at 77.12 percent. Participates in Music as an extracurricular activity.
Student S16608 named Wendy Gibson, age 10, gender Female, is in Class 9. Scored 41 in Math, 53 in Science, 48 in English, 72 in History, and 93 in Computer, totaling 307 marks with Grade C. Attendance stands at 74.44 percent. Participates in Music as an extracurricular activity.
Student S16617 named Cristian Cook, age 17, gender Female, is in Class 9. Scored 35 in Math, 83 in Science, 63 in English, 65 in History, and 49 in Computer, totaling 295 marks with Grade D. Attendance stands at 61.20 percent. Participates in Dance as an extracurricular activity.
Student S16619 named Darlene Roberts, age 12, gender Female, is in Class 9. Scored 71 in Math, 53 in Science, 39 in English, 64 in History, and 42 in Computer, totaling 269 marks with Grade D. Attendance stands at 61.58 percent. Participates in None as an extracurricular activity.
Student S16637 named Jeffrey Dodson, age 17, gender Male, is in Class 9. Scored 53 in Math, 84 in Science, 79 in English, 65 in History, and 59 in Computer, totaling 340 marks with Grade C. Attendance stands at 85.45 percent. Participates in None as an extracurricular activity.
Student S16640 named Kenneth Moore, age 17, gender Female, is in Class 9. Scored 66 in Math, 45 in Science, 54 in English, 57 in History, and 51 in Computer, totaling 273 marks with Grade D. Attendance stands at 84.06 percent. Participates in Debate as an extracurricular activity.
Student S16650 named Andre Mcneil, age 11, gender Male, is in Class 9. Scored 95 in Math, 93 in Science, 98 in English, 32 in History, and 55 in Computer, totaling 373 marks with Grade C. Attendance stands at 62.79 percent. Participates in Music as an extracurricular activity.
Student S16654 named Allen Lin, age 16, gender Female, is in Class 9. Scored 35 in Math, 95 in Science, 42 in English, 72 in History, and 75 in Computer, totaling 319 marks with Grade C. Attendance stands at 81.92 percent. Participates in Football as an extracurricular activity.
Student S16657 named Kristin Phelps, age 13, gender Female, is in Class 9. Scored 81 in Math, 54 in Science, 50 in English, 88 in History, and 42 in Computer, totaling 315 marks with Grade C. Attendance stands at 96.82 percent. Participates in Dance as an extracurricular activity.
Student S16661 named Jonathan Bryant, age 11, gender Female, is in Class 9. Scored 51 in Math, 44 in Science, 48 in English, 46 in History, and 81 in Computer, totaling 270 marks with Grade D. Attendance stands at 69.24 percent. Participates in Debate as an extracurricular activity.
Student S16675 named Taylor Miller, age 12, gender Female, is in Class 9. Scored 96 in Math, 98 in Science, 98 in English, 99 in History, and 60 in Computer, totaling 451 marks with Grade A. Attendance stands at 70.70 percent. Participates in Debate as an extracurricular activity.
Student S16678 named Scott Wiley, age 10, gender Female, is in Class 9. Scored 83 in Math, 78 in Science, 73 in English, 51 in History, and 78 in Computer, totaling 363 marks with Grade C. Attendance stands at 78.03 percent. Participates in Football as an extracurricular activity.
Student S16682 named Donald Lynch, age 12, gender Female, is in Class 9. Scored 96 in Math, 33 in Science, 61 in English, 92 in History, and 46 in Computer, totaling 328 marks with Grade C. Attendance stands at 95.58 percent. Participates in Debate as an extracurricular activity.
Student S16688 named Kimberly Suarez, age 14, gender Female, is in Class 9. Scored 80 in Math, 72 in Science, 79 in English, 58 in History, and 97 in Computer, totaling 386 marks with Grade C. Attendance stands at 61.00 percent. Participates in Music as an extracurricular activity.
Student S16698 named Charles Grimes, age 14, gender Female, is in Class 9. Scored 89 in Math, 74 in Science, 76 in English, 99 in History, and 61 in Computer, totaling 399 marks with Grade C. Attendance stands at 68.45 percent. Participates in Music as an extracurricular activity.
Student S16708 named Lisa Mcdonald, age 11, gender Male, is in Class 9. Scored 84 in Math, 43 in Science, 51 in English, 69 in History, and 67 in Computer, totaling 314 marks with Grade C. Attendance stands at 72.50 percent. Participates in None as an extracurricular activity.
Student S16718 named Misty Anderson, age 13, gender Male, is in Class 9. Scored 39 in Math, 94 in Science, 64 in English, 67 in History, and 46 in Computer, totaling 310 marks with Grade C. Attendance stands at 98.61 percent. Participates in None as an extracurricular activity.
Student S16727 named Pamela Carter, age 17, gender Male, is in Class 9. Scored 46 in Math, 44 in Science, 76 in English, 56 in History, and 46 in Computer, totaling 268 marks with Grade D. Attendance stands at 87.30 percent. Participates in Debate as an extracurricular activity.
Student S16737 named Stacy Scott, age 15, gender Male, is in Class 9. Scored 52 in Math, 45 in Science, 49 in English, 96 in History, and 83 in Computer, totaling 325 marks with Grade C. Attendance stands at 96.83 percent. Participates in Music as an extracurricular activity.
Student S16751 named Miss Danielle Martin MD, age 10, gender Female, is in Class 9. Scored 58 in Math, 59 in Science, 64 in English, 69 in History, and 99 in Computer, totaling 349 marks with Grade C. Attendance stands at 98.21 percent. Participates in Music as an extracurricular activity.
Student S16759 named Joseph Townsend, age 17, gender Male, is in Class 9. Scored 55 in Math, 32 in Science, 37 in English, 83 in History, and 67 in Computer, totaling 274 marks with Grade D. Attendance stands at 93.01 percent. Participates in Drama as an extracurricular activity.
Student S16762 named Wayne Brown, age 11, gender Female, is in Class 9. Scored 54 in Math, 40 in Science, 30 in English, 87 in History, and 65 in Computer, totaling 276 marks with Grade D. Attendance stands at 99.68 percent. Participates in Debate as an extracurricular activity.
Student S16764 named Wayne Cabrera, age 10, gender Female, is in Class 9. Scored 43 in Math, 71 in Science, 79 in English, 74 in History, and 78 in Computer, totaling 345 marks with Grade C. Attendance stands at 78.11 percent. Participates in Football as an extracurricular activity.
Student S16766 named Jennifer Lindsey, age 17, gender Male, is in Class 9. Scored 69 in Math, 78 in Science, 58 in English, 79 in History, and 34 in Computer, totaling 318 marks with Grade C. Attendance stands at 79.53 percent. Participates in Football as an extracurricular activity.
Student S16777 named Valerie Oneill, age 16, gender Male, is in Class 9. Scored 52 in Math, 58 in Science, 91 in English, 42 in History, and 39 in Computer, totaling 282 marks with Grade D. Attendance stands at 64.88 percent. Participates in Football as an extracurricular activity.
Student S16779 named Thomas Wells MD, age 10, gender Male, is in Class 9. Scored 31 in Math, 32 in Science, 80 in English, 59 in History, and 95 in Computer, totaling 297 marks with Grade D. Attendance stands at 63.93 percent. Participates in Music as an extracurricular activity.
Student S16783 named Mitchell Vargas, age 11, gender Female, is in Class 9. Scored 50 in Math, 88 in Science, 40 in English, 35 in History, and 31 in Computer, totaling 244 marks with Grade D. Attendance stands at 66.50 percent. Participates in Music as an extracurricular activity.
Student S16785 named Patricia Scott, age 17, gender Male, is in Class 9. Scored 93 in Math, 30 in Science, 32 in English, 39 in History, and 76 in Computer, totaling 270 marks with Grade D. Attendance stands at 61.21 percent. Participates in Debate as an extracurricular activity.
Student S16793 named Brett Fry, age 14, gender Male, is in Class 9. Scored 99 in Math, 33 in Science, 34 in English, 48 in History, and 51 in Computer, totaling 265 marks with Grade D. Attendance stands at 62.36 percent. Participates in Music as an extracurricular activity.
Student S16794 named Miguel Lopez, age 13, gender Male, is in Class 9. Scored 58 in Math, 81 in Science, 38 in English, 82 in History, and 96 in Computer, totaling 355 marks with Grade C. Attendance stands at 74.61 percent. Participates in Debate as an extracurricular activity.
