Student S10002 named Christopher Taylor, age 17, gender Male, is in Class 7. Scored 71 in Math, 59 in Science, 30 in English, 88 in History, and 94 in Computer, totaling 342 marks with Grade C. Attendance stands at 71.95 percent. Participates in Music as an extracurricular activity.
Student S15153 named Lisa Moore, age 14, gender Female, is in Class 7. Scored 50 in Math, 39 in Science, 71 in English, 67 in History, and 42 in Computer, totaling 269 marks with Grade D. Attendance stands at 78.50 percent. Participates in Debate as an extracurricular activity.
Student S15154 named Casey King, age 11, gender Female, is in Class 7. Scored 74 in Math, 56 in Science, 30 in English, 53 in History, and 51 in Computer, totaling 264 marks with Grade D. Attendance stands at 90.67 percent. Participates in Debate as an extracurricular activity.
Student S15169 named William Gomez, age 11, gender Female, is in Class 7. Scored 42 in Math, 95 in Science, 96 in English, 86 in History, and 89 in Computer, totaling 408 marks with Grade B. Attendance stands at 87.75 percent. Participates in Drama as an extracurricular activity.
Student S15176 named Gary Valdez, age 14, gender Female, is in Class 7. Scored 57 in Math, 56 in Science, 53 in English, 77 in History, and 92 in Computer, totaling 335 marks with Grade C. Attendance stands at 60.46 percent. Participates in Dance as an extracurricular activity.
Student S15183 named Joseph King, age 12, gender Male, is in Class 7. Scored 52 in Math, 71 in Science, 91 in English, 80 in History, and 33 in Computer, totaling 327 marks with Grade C. Attendance stands at 86.47 percent. Participates in Drama as an extracurricular activity.
Student S15189 named Corey Ramirez, age 14, gender Male, is in Class 7. Scored 98 in Math, 39 in Science, 59 in English, 82 in History, and 84 in Computer, totaling 362 marks with Grade C. Attendance stands at 98.37 percent. Participates in Football as an extracurricular activity.
Student S15193 named Mark Simmons, age 11, gender Male, is in Class 7. Scored 43 in Math, 30 in Science, 38 in English, 69 in History, and 94 in Computer, totaling 274 marks with Grade D. Attendance stands at 67.59 percent. Participates in Football as an extracurricular activity.
Student S15195 named Stephanie Petersen, age 13, gender Male, is in Class 7. Scored 39 in Math, 41 in Science, 55 in English, 77 in History, and 58 in Computer, totaling 270 marks with Grade D. Attendance stands at 98.13 percent. Participates in Debate as an extracurricular activity.
Student S15202 named William Willis, age 14, gender Female, is in Class 7. Scored 80 in Math, 40 in Science, 45 in English, 37 in History, and 32 in Computer, totaling 234 marks with Grade D. Attendance stands at 94.69 percent. Participates in Football as an extracurricular activity.
Student S15203 named Gloria Willis, age 14, gender Female, is in Class 7. Scored 31 in Math, 84 in Science, 85 in English, 72 in History, and 47 in Computer, totaling 319 marks with Grade C. Attendance stands at 90.23 percent. Participates in Football as an extracurricular activity.
Student S15204 named Deborah Coleman, age 12, gender Female, is in Class 7. Scored 86 in Math, 69 in Science, 47 in English, 47 in History, and 43 in Computer, totaling 292 marks with Grade D. Attendance stands at 84.70 percent. Participates in Dance as an extracurricular activity.
Student S15210 named Brandon Gillespie, age 10, gender Female, is in Class 7. Scored 94 in Math, 87 in Science, 55 in English, 42 in History, and 82 in Computer, totaling 360 marks with Grade C. Attendance stands at 62.11 percent. Participates in Drama as an extracurricular activity.
Student S15211 named John Robertson, age 12, gender Male, is in Class 7. Scored 38 in Math, 39 in Science, 93 in English, 64 in History, and 80 in Computer, totaling 314 marks with Grade C. Attendance stands at 69.70 percent. Participates in Dance as an extracurricular activity.
Student S15212 named Joel Austin, age 13, gender Female, is in Class 7. Scored 74 in Math, 82 in Science, 53 in English, 49 in History, and 88 in Computer, totaling 346 marks with Grade C. Attendance stands at 82.30 percent. Participates in Debate as an extracurricular activity.
Student S15218 named Laura Suarez, age 14, gender Male, is in Class 7. Scored 65 in Math, 75 in Science, 80 in English, 84 in History, and 98 in Computer, totaling 402 marks with Grade B. Attendance stands at 94.54 percent. Participates in None as an extracurricular activity.
Student S15225 named Karen Wilson, age 15, gender Female, is in Class 7. Scored 96 in Math, 40 in Science, 65 in English, 84 in History, and 31 in Computer, totaling 316 marks with Grade C. Attendance stands at 66.90 percent. Participates in None as an extracurricular activity.
Student S15230 named Troy Bradley, age 17, gender Female, is in Class 7. Scored 92 in Math, 34 in Science, 83 in English, 79 in History, and 79 in Computer, totaling 367 marks with Grade C. Attendance stands at 71.75 percent. Participates in Music as an extracurricular activity.
Student S15232 named Martha Bush, age 17, gender Female, is in Class 7. Scored 79 in Math, 41 in Science, 72 in English, 95 in History, and 43 in Computer, totaling 330 marks with Grade C. Attendance stands at 84.73 percent. Participates in Drama as an extracurricular activity.
Student S15236 named Angela Pierce, age 12, gender Female, is in Class 7. Scored 61 in Math, 90 in Science, 42 in English, 95 in History, and 95 in Computer, totaling 383 marks with Grade C. Attendance stands at 82.49 percent. Participates in Debate as an extracurricular activity.
Student S15254 named Christopher Hunt, age 13, gender Female, is in Class 7. Scored 80 in Math, 68 in Science, 52 in English, 37 in History, and 76 in Computer, totaling 313 marks with Grade C. Attendance stands at 72.23 percent. Participates in Debate as an extracurricular activity.
Student S15279 named April Stein, age 14, gender Female, is in Class 7. Scored 82 in Math, 98 in Science, 73 in English, 78 in History, and 47 in Computer, totaling 378 marks with Grade C. Attendance stands at 87.69 percent. Participates in Dance as an extracurricular activity.
Student S15283 named Thomas Clark, age 15, gender Male, is in Class 7. Scored 40 in Math, 92 in Science, 95 in English, 51 in History, and 90 in Computer, totaling 368 marks with Grade C. Attendance stands at 85.27 percent. Participates in Music as an extracurricular activity.
Student S15293 named Gregory Hawkins, age 17, gender Female, is in Class 7. Scored 71 in Math, 44 in Science, 77 in English, 95 in History, and 86 in Computer, totaling 373 marks with Grade C. Attendance stands at 84.52 percent. Participates in Debate as an extracurricular activity.
Student S15301 named Andre Lopez, age 13, gender Male, is in Class 7. Scored 66 in Math, 69 in Science, 30 in English, 52 in History, and 63 in Computer, totaling 280 marks with Grade D. Attendance stands at 75.51 percent. Participates in Football as an extracurricular activity.
Student S15303 named Sarah Lutz, age 15, gender Male, is in Class 7. Scored 37 in Math, 69 in Science, 42 in English, 84 in History, and 61 in Computer, totaling 293 marks with Grade D. Attendance stands at 90.62 percent. Participates in Debate as an extracurricular activity.
Student S15307 named Sarah Espinoza, age 16, gender Female, is in Class 7. Scored 64 in Math, 79 in Science, 79 in English, 48 in History, and 57 in Computer, totaling 327 marks with Grade C. Attendance stands at 95.90 percent. Participates in Debate as an extracurricular activity.
Student S15314 named Joseph Scott, age 11, gender Female, is in Class 7. Scored 54 in Math, 86 in Science, 54 in English, 58 in History, and 48 in Computer, totaling 300 marks with Grade D. Attendance stands at 81.56 percent. Participates in Drama as an extracurricular activity.
Student S15330 named Chelsea Johnson, age 17, gender Female, is in Class 7. Scored 82 in Math, 53 in Science, 79 in English, 64 in History, and 43 in Computer, totaling 321 marks with Grade C. Attendance stands at 86.59 percent. Participates in Music as an extracurricular activity.
Student S15342 named Christine Weaver, age 10, gender Male, is in Class 7. Scored 38 in Math, 57 in Science, 40 in English, 61 in History, and 53 in Computer, totaling 249 marks with Grade D. Attendance stands at 92.30 percent. Participates in Debate as an extracurricular activity.
Student S15346 named Laura Becker, age 12, gender Male, is in Class 7. Scored 38 in Math, 64 in Science, 36 in English, 56 in History, and 99 in Computer, totaling 293 marks with Grade D. Attendance stands at 60.15 percent. Participates in None as an extracurricular activity.
Student S15347 named Billy Hayes, age 11, gender Male, is in Class 7. Scored 37 in Math, 89 in Science, 38 in English, 53 in History, and 37 in Computer, totaling 254 marks with Grade D. Attendance stands at 60.05 percent. Participates in None as an extracurricular activity.
Student S15349 named Charles Lynch, age 17, gender Female, is in Class 7. Scored 66 in Math, 55 in Science, 54 in English, 77 in History, and 82 in Computer, totaling 334 marks with Grade C. Attendance stands at 75.66 percent. Participates in Music as an extracurricular activity.
Student S15355 named John Parker, age 16, gender Male, is in Class 7. Scored 92 in Math, 38 in Science, 55 in English, 62 in History, and 45 in Computer, totaling 292 marks with Grade D. Attendance stands at 90.52 percent. Participates in Music as an extracurricular activity.
Student S15364 named Michael Hansen, age 11, gender Female, is in Class 7. Scored 61 in Math, 32 in Science, 63 in English, 91 in History, and 36 in Computer, totaling 283 marks with Grade D. Attendance stands at 83.77 percent. Participates in Dance as an extracurricular activity.
Student S15373 named Dawn Perez, age 14, gender Female, is in Class 7. Scored 61 in Math, 73 in Science, 36 in English, 92 in History, and 49 in Computer, totaling 311 marks with Grade C. Attendance stands at 80.07 percent. Participates in Dance as an extracurricular activity.
Student S15377 named Jeffrey Miller, age 11, gender Male, is in Class 7. Scored 96 in Math, 31 in Science, 67 in English, 74 in History, and 50 in Computer, totaling 318 marks with Grade C. Attendance stands at 90.88 percent. Participates in None as an extracurricular activity.
Student S15381 named Suzanne Arnold, age 16, gender Male, is in Class 7. Scored 94 in Math, 36 in Science, 68 in English, 82 in History, and 39 in Computer, totaling 319 marks with Grade C. Attendance stands at 81.38 percent. Participates in Debate as an extracurricular activity.
Student S15386 named Karen Johnson, age 15, gender Male, is in Class 7. Scored 41 in Math, 36 in Science, 73 in English, 86 in History, and 61 in Computer, totaling 297 marks with Grade D. Attendance stands at 84.02 percent. Participates in None as an extracurricular activity.
Student S15387 named Terrance Simmons, age 12, gender Male, is in Class 7. Scored 37 in Math, 56 in Science, 62 in English, 46 in History, and 95 in Computer, totaling 296 marks with Grade D. Attendance stands at 77.65 percent. Participates in Drama as an extracurricular activity.
Student S15399 named Corey Potter, age 11, gender Female, is in Class 7. Scored 47 in Math, 86 in Science, 44 in English, 38 in History, and 90 in Computer, totaling 305 marks with Grade C. Attendance stands at 62.36 percent. Participates in None as an extracurricular activity.
Student S15400 named Billy Beck, age 15, gender Female, is in Class 7. Scored 95 in Math, 67 in Science, 63 in English, 86 in History, and 39 in Computer, totaling 350 marks with Grade C. Attendance stands at 90.58 percent. Participates in Football as an extracurricular activity.
Student S15411 named Angela Mcconnell, age 14, gender Female, is in Class 7. Scored 86 in Math, 61 in Science, 86 in English, 71 in History, and 36 in Computer, totaling 340 marks with Grade C. Attendance stands at 85.86 percent. Participates in Dance as an extracurricular activity.
Student S15414 named Maureen Bradley, age 15, gender Male, is in Class 7. Scored 81 in Math, 46 in Science, 58 in English, 41 in History, and 89 in Computer, totaling 315 marks with Grade C. Attendance stands at 78.14 percent. Participates in None as an extracurricular activity.
Student S15421 named Charles Mendoza, age 10, gender Male, is in Class 7. Scored 64 in Math, 92 in Science, 89 in English, 93 in History, and 62 in Computer, totaling 400 marks with Grade C. Attendance stands at 97.33 percent. Participates in None as an extracurricular activity.
Student S15429 named Tina Rich, age 16, gender Male, is in Class 7. Scored 88 in Math, 38 in Science, 83 in English, 81 in History, and 65 in Computer, totaling 355 marks with Grade C. Attendance stands at 85.58 percent. Participates in Drama as an extracurricular activity.
Student S15441 named Rachel Humphrey, age 10, gender Female, is in Class 7. Scored 43 in Math, 98 in Science, 43 in English, 49 in History, and 43 in Computer, totaling 276 marks with Grade D. Attendance stands at 62.15 percent. Participates in Drama as an extracurricular activity.
Student S15449 named David Young, age 17, gender Male, is in Class 7. Scored 88 in Math, 72 in Science, 31 in English, 89 in History, and 77 in Computer, totaling 357 marks with Grade C. Attendance stands at 84.58 percent. Participates in Debate as an extracurricular activity.
Student S15457 named Amy Wilson, age 16, gender Female, is in Class 7. Scored 90 in Math, 73 in Science, 31 in English, 66 in History, and 84 in Computer, totaling 344 marks with Grade C. Attendance stands at 82.73 percent. Participates in None as an extracurricular activity.
Student S15458 named Jim Crawford, age 14, gender Male, is in Class 7. Scored 96 in Math, 50 in Science, 38 in English, 43 in History, and 59 in Computer, totaling 286 marks with Grade D. Attendance stands at 81.10 percent. Participates in Music as an extracurricular activity.
Student S15470 named Christopher Williams, age 10, gender Female, is in Class 7. Scored 58 in Math, 67 in Science, 51 in English, 54 in History, and 48 in Computer, totaling 278 marks with Grade D. Attendance stands at 93.84 percent. Participates in Music as an extracurricular activity.
Student S15487 named David Hunt, age 13, gender Female, is in Class 7. Scored 34 in Math, 68 in Science, 84 in English, 39 in History, and 91 in Computer, totaling 316 marks with Grade C. Attendance stands at 65.36 percent. Participates in Drama as an extracurricular activity.
Student S15503 named Elizabeth Lozano, age 16, gender Male, is in Class 7. Scored 63 in Math, 66 in Science, 37 in English, 47 in History, and 78 in Computer, totaling 291 marks with Grade D. Attendance stands at 70.06 percent. Participates in Football as an extracurricular activity.
Student S15526 named David Smith, age 12, gender Male, is in Class 7. Scored 73 in Math, 99 in Science, 87 in English, 83 in History, and 34 in Computer, totaling 376 marks with Grade C. Attendance stands at 94.52 percent. Participates in Football as an extracurricular activity.
Student S15529 named Sandra Ferguson, age 12, gender Female, is in Class 7. Scored 54 in Math, 78 in Science, 73 in English, 96 in History, and 46 in Computer, totaling 347 marks with Grade C. Attendance stands at 90.30 percent. Participates in Dance as an extracurricular activity.
Student S15535 named Kyle Hernandez, age 14, gender Female, is in Class 7. Scored 94 in Math, 51 in Science, 49 in English, 35 in History, and 69 in Computer, totaling 298 marks with Grade D. Attendance stands at 87.21 percent. Participates in Music as an extracurricular activity.
Student S15538 named Aaron Morse, age 11, gender Male, is in Class 7. Scored 72 in Math, 95 in Science, 44 in English, 47 in History, and 65 in Computer, totaling 323 marks with Grade C. Attendance stands at 85.46 percent. Participates in Dance as an extracurricular activity.
Student S15557 named Yolanda Maldonado, age 16, gender Male, is in Class 7. Scored 64 in Math, 97 in Science, 50 in English, 86 in History, and 92 in Computer, totaling 389 marks with Grade C. Attendance stands at 96.29 percent. Participates in Football as an extracurricular activity.
Student S15563 named Daniel Ruiz, age 15, gender Male, is in Class 7. Scored 70 in Math, 49 in Science, 69 in English, 77 in History, and 44 in Computer, totaling 309 marks with Grade C. Attendance stands at 88.76 percent. Participates in Football as an extracurricular activity.
Student S15575 named Rodney Fitzgerald, age 12, gender Female, is in Class 7. Scored 60 in Math, 47 in Science, 78 in English, 73 in History, and 81 in Computer, totaling 339 marks with Grade C. Attendance stands at 96.74 percent. Participates in Debate as an extracurricular activity.
Student S15583 named Albert Mercado, age 14, gender Male, is in Class 7. Scored 79 in Math, 41 in Science, 96 in English, 33 in History, and 85 in Computer, totaling 334 marks with Grade C. Attendance stands at 94.01 percent. Participates in Dance as an extracurricular activity.
Student S15590 named Diane Garcia, age 13, gender Male, is in Class 7. Scored 37 in Math, 72 in Science, 99 in English, 71 in History, and 79 in Computer, totaling 358 marks with Grade C. Attendance stands at 97.71 percent. Participates in Football as an extracurricular activity.
Student S15625 named Jon Arellano, age 13, gender Male, is in Class 7. Scored 87 in Math, 67 in Science, 60 in English, 51 in History, and 86 in Computer, totaling 351 marks with Grade C. Attendance stands at 93.32 percent. Participates in Debate as an extracurricular activity.
Student S15628 named Noah Singleton, age 15, gender Male, is in Class 7. Scored 85 in Math, 42 in Science, 33 in English, 56 in History, and 76 in Computer, totaling 292 marks with Grade D. Attendance stands at 73.06 percent. Participates in Debate as an extracurricular activity.
Student S15640 named John Turner, age 15, gender Female, is in Class 7. Scored 52 in Math, 69 in Science, 74 in English, 86 in History, and 42 in Computer, totaling 323 marks with Grade C. Attendance stands at 97.10 percent. Participates in Football as an extracurricular activity.
Student S15685 named Timothy Rogers, age 17, gender Male, is in Class 7. Scored 48 in Math, 30 in Science, 60 in English, 50 in History, and 85 in Computer, totaling 273 marks with Grade D. Attendance stands at 77.27 percent. Participates in Football as an extracurricular activity.
Student S15690 named Amy Torres, age 12, gender Female, is in Class 7. Scored 49 in Math, 77 in Science, 86 in English, 56 in History, and 37 in Computer, totaling 305 marks with Grade C. Attendance stands at 63.81 percent. Participates in Debate as an extracurricular activity.
Student S15701 named Brittany Simmons, age 14, gender Female, is in Class 7. Scored 75 in Math, 45 in Science, 45 in English, 56 in History, and 75 in Computer, totaling 296 marks with Grade D. Attendance stands at 67.71 percent. Participates in Debate as an extracurricular activity.
Student S15703 named Martha Wright, age 12, gender Male, is in Class 7. Scored 86 in Math, 93 in Science, 87 in English, 50 in History, and 85 in Computer, totaling 401 marks with Grade B. Attendance stands at 77.64 percent. Participates in Dance as an extracurricular activity.
Student S15720 named Matthew Rios, age 13, gender Female, is in Class 7. Scored 45 in Math, 73 in Science, 44 in English, 73 in History, and 31 in Computer, totaling 266 marks with Grade D. Attendance stands at 63.87 percent. Participates in Drama as an extracurricular activity.
Student S15721 named Marissa Gregory, age 10, gender Male, is in Class 7. Scored 73 in Math, 42 in Science, 78 in English, 88 in History, and 82 in Computer, totaling 363 marks with Grade C. Attendance stands at 88.90 percent. Participates in Football as an extracurricular activity.
Student S15734 named Julie Horn MD, age 10, gender Male, is in Class 7. Scored 66 in Math, 81 in Science, 47 in English, 51 in History, and 48 in Computer, totaling 293 marks with Grade D. Attendance stands at 64.42 percent. Participates in Music as an extracurricular activity.
Student S15740 named Kathleen Griffith, age 17, gender Male, is in Class 7. Scored 82 in Math, 60 in Science, 60 in English, 47 in History, and 95 in Computer, totaling 344 marks with Grade C. Attendance stands at 85.55 percent. Participates in Football as an extracurricular activity.
Student S15748 named Julie Horn, age 11, gender Male, is in Class 7. Scored 92 in Math, 98 in Science, 58 in English, 99 in History, and 46 in Computer, totaling 393 marks with Grade C. Attendance stands at 98.02 percent. Participates in Dance as an extracurricular activity.
Student S15751 named Crystal Holder, age 11, gender Female, is in Class 7. Scored 90 in Math, 95 in Science, 54 in English, 71 in History, and 78 in Computer, totaling 388 marks with Grade C. Attendance stands at 76.22 percent. Participates in Dance as an extracurricular activity.
Student S15752 named Steven Bailey, age 17, gender Female, is in Class 7. Scored 56 in Math, 94 in Science, 59 in English, 89 in History, and 52 in Computer, totaling 350 marks with Grade C. Attendance stands at 88.28 percent. Participates in Football as an extracurricular activity.
Student S15761 named Lisa Edwards, age 14, gender Male, is in Class 7. Scored 68 in Math, 53 in Science, 95 in English, 51 in History, and 72 in Computer, totaling 339 marks with Grade C. Attendance stands at 74.29 percent. Participates in Music as an extracurricular activity.
Student S15763 named Mrs. Megan Pope DDS, age 17, gender Female, is in Class 7. Scored 51 in Math, 58 in Science, 46 in English, 32 in History, and 46 in Computer, totaling 233 marks with Grade D. Attendance stands at 74.35 percent. Participates in Football as an extracurricular activity.
Student S15770 named Julia Valentine, age 16, gender Female, is in Class 7. Scored 75 in Math, 54 in Science, 92 in English, 64 in History, and 50 in Computer, totaling 335 marks with Grade C. Attendance stands at 97.10 percent. Participates in Debate as an extracurricular activity.
Student S15785 named Nicole Reed, age 11, gender Male, is in Class 7. Scored 34 in Math, 31 in Science, 50 in English, 70 in History, and 34 in Computer, totaling 219 marks with Grade D. Attendance stands at 78.91 percent. Participates in Football as an extracurricular activity.
Student S15791 named Heather Erickson, age 12, gender Female, is in Class 7. Scored 76 in Math, 79 in Science, 92 in English, 65 in History, and 68 in Computer, totaling 380 marks with Grade C. Attendance stands at 71.26 percent. Participates in Football as an extracurricular activity.
Student S15800 named Sonya Yates, age 11, gender Male, is in Class 7. Scored 36 in Math, 72 in Science, 97 in English, 55 in History, and 37 in Computer, totaling 297 marks with Grade D. Attendance stands at 64.58 percent. Participates in Debate as an extracurricular activity.
Student S15826 named Stanley Collins, age 10, gender Female, is in Class 7. Scored 60 in Math, 41 in Science, 70 in English, 63 in History, and 31 in Computer, totaling 265 marks with Grade D. Attendance stands at 70.37 percent. Participates in None as an extracurricular activity.
Student S15835 named Zachary Clark, age 12, gender Female, is in Class 7. Scored 92 in Math, 64 in Science, 39 in English, 96 in History, and 72 in Computer, totaling 363 marks with Grade C. Attendance stands at 83.22 percent. Participates in Dance as an extracurricular activity.
Student S15839 named Monica Thompson, age 17, gender Male, is in Class 7. Scored 82 in Math, 99 in Science, 82 in English, 38 in History, and 50 in Computer, totaling 351 marks with Grade C. Attendance stands at 72.51 percent. Participates in Music as an extracurricular activity.
Student S15853 named Steven Kelly, age 11, gender Male, is in Class 7. Scored 77 in Math, 50 in Science, 48 in English, 77 in History, and 91 in Computer, totaling 343 marks with Grade C. Attendance stands at 77.61 percent. Participates in Football as an extracurricular activity.
Student S15856 named Andrew Fisher, age 11, gender Female, is in Class 7. Scored 52 in Math, 78 in Science, 62 in English, 64 in History, and 71 in Computer, totaling 327 marks with Grade C. Attendance stands at 63.95 percent. Participates in Debate as an extracurricular activity.
Student S15867 named Paul Miller, age 10, gender Female, is in Class 7. Scored 45 in Math, 34 in Science, 40 in English, 37 in History, and 71 in Computer, totaling 227 marks with Grade D. Attendance stands at 86.56 percent. Participates in Debate as an extracurricular activity.
Student S15868 named Joseph Williams, age 14, gender Male, is in Class 7. Scored 82 in Math, 73 in Science, 94 in English, 70 in History, and 68 in Computer, totaling 387 marks with Grade C. Attendance stands at 64.92 percent. Participates in None as an extracurricular activity.
Student S15869 named Kelsey Norton, age 12, gender Female, is in Class 7. Scored 42 in Math, 65 in Science, 77 in English, 79 in History, and 42 in Computer, totaling 305 marks with Grade C. Attendance stands at 80.78 percent. Participates in None as an extracurricular activity.
Student S15875 named Stephanie Harper, age 16, gender Female, is in Class 7. Scored 56 in Math, 44 in Science, 34 in English, 78 in History, and 40 in Computer, totaling 252 marks with Grade D. Attendance stands at 77.96 percent. Participates in None as an extracurricular activity.
Student S15882 named Kathryn West, age 14, gender Male, is in Class 7. Scored 52 in Math, 95 in Science, 66 in English, 72 in History, and 60 in Computer, totaling 345 marks with Grade C. Attendance stands at 77.59 percent. Participates in Football as an extracurricular activity.
Student S15883 named Tammy Williams, age 17, gender Male, is in Class 7. Scored 96 in Math, 86 in Science, 52 in English, 55 in History, and 72 in Computer, totaling 361 marks with Grade C. Attendance stands at 73.56 percent. Participates in Drama as an extracurricular activity.
Student S15884 named Shannon Mitchell, age 12, gender Female, is in Class 7. Scored 94 in Math, 72 in Science, 35 in English, 45 in History, and 54 in Computer, totaling 300 marks with Grade D. Attendance stands at 99.77 percent. Participates in Drama as an extracurricular activity.
Student S15887 named James Duncan, age 14, gender Male, is in Class 7. Scored 56 in Math, 83 in Science, 50 in English, 81 in History, and 54 in Computer, totaling 324 marks with Grade C. Attendance stands at 85.20 percent. Participates in Music as an extracurricular activity.
Student S15898 named Joshua Berry, age 13, gender Female, is in Class 7. Scored 77 in Math, 73 in Science, 76 in English, 87 in History, and 39 in Computer, totaling 352 marks with Grade C. Attendance stands at 60.58 percent. Participates in Debate as an extracurricular activity.
Student S15900 named Joseph Thomas, age 12, gender Female, is in Class 7. Scored 81 in Math, 85 in Science, 98 in English, 45 in History, and 51 in Computer, totaling 360 marks with Grade C. Attendance stands at 75.89 percent. Participates in Dance as an extracurricular activity.
Student S15902 named Leah Hunt, age 14, gender Female, is in Class 7. Scored 53 in Math, 98 in Science, 34 in English, 46 in History, and 85 in Computer, totaling 316 marks with Grade C. Attendance stands at 99.62 percent. Participates in None as an extracurricular activity.
Student S15905 named Erik Chase, age 17, gender Male, is in Class 7. Scored 80 in Math, 98 in Science, 89 in English, 40 in History, and 87 in Computer, totaling 394 marks with Grade C. Attendance stands at 73.54 percent. Participates in Debate as an extracurricular activity.
Student S15917 named Daniel Solomon, age 16, gender Male, is in Class 7. Scored 30 in Math, 70 in Science, 53 in English, 98 in History, and 66 in Computer, totaling 317 marks with Grade C. Attendance stands at 78.22 percent. Participates in Debate as an extracurricular activity.
Student S15920 named Shelley Patterson, age 17, gender Female, is in Class 7. Scored 93 in Math, 90 in Science, 44 in English, 52 in History, and 36 in Computer, totaling 315 marks with Grade C. Attendance stands at 78.82 percent. Participates in Football as an extracurricular activity.
Student S15923 named Ashley Hernandez, age 15, gender Female, is in Class 7. Scored 48 in Math, 39 in Science, 54 in English, 90 in History, and 77 in Computer, totaling 308 marks with Grade C. Attendance stands at 83.51 percent. Participates in Football as an extracurricular activity.
Student S15924 named Tracy Wolfe, age 14, gender Male, is in Class 7. Scored 72 in Math, 97 in Science, 89 in English, 82 in History, and 32 in Computer, totaling 372 marks with Grade C. Attendance stands at 91.83 percent. Participates in Music as an extracurricular activity.
Student S15939 named Christina Hamilton, age 10, gender Male, is in Class 7. Scored 38 in Math, 74 in Science, 80 in English, 36 in History, and 45 in Computer, totaling 273 marks with Grade D. Attendance stands at 67.54 percent. Participates in Music as an extracurricular activity.
Student S15943 named Jamie Roberts, age 11, gender Female, is in Class 7. Scored 87 in Math, 66 in Science, 64 in English, 89 in History, and 83 in Computer, totaling 389 marks with Grade C. Attendance stands at 61.20 percent. Participates in Music as an extracurricular activity.
Student S15953 named Kelly Richmond, age 11, gender Male, is in Class 7. Scored 38 in Math, 47 in Science, 41 in English, 69 in History, and 86 in Computer, totaling 281 marks with Grade D. Attendance stands at 97.93 percent. Participates in Football as an extracurricular activity.
Student S15956 named Frances Ward, age 16, gender Male, is in Class 7. Scored 86 in Math, 77 in Science, 68 in English, 50 in History, and 36 in Computer, totaling 317 marks with Grade C. Attendance stands at 93.05 percent. Participates in Music as an extracurricular activity.
Student S15958 named Mario Miller, age 14, gender Male, is in Class 7. Scored 99 in Math, 57 in Science, 82 in English, 58 in History, and 90 in Computer, totaling 386 marks with Grade C. Attendance stands at 84.81 percent. Participates in Football as an extracurricular activity.
Student S15962 named James Macdonald, age 12, gender Male, is in Class 7. Scored 41 in Math, 59 in Science, 70 in English, 37 in History, and 85 in Computer, totaling 292 marks with Grade D. Attendance stands at 91.82 percent. Participates in Drama as an extracurricular activity.
Student S15968 named Richard Gonzalez, age 16, gender Male, is in Class 7. Scored 94 in Math, 67 in Science, 99 in English, 54 in History, and 96 in Computer, totaling 410 marks with Grade B. Attendance stands at 69.99 percent. Participates in Football as an extracurricular activity.
Student S15970 named Corey Gray, age 11, gender Female, is in Class 7. Scored 51 in Math, 74 in Science, 51 in English, 72 in History, and 98 in Computer, totaling 346 marks with Grade C. Attendance stands at 74.84 percent. Participates in Football as an extracurricular activity.
Student S15972 named Angela Scott, age 14, gender Female, is in Class 7. Scored 72 in Math, 45 in Science, 97 in English, 77 in History, and 39 in Computer, totaling 330 marks with Grade C. Attendance stands at 72.36 percent. Participates in Music as an extracurricular activity.
Student S15983 named Barbara Alvarado, age 16, gender Female, is in Class 7. Scored 55 in Math, 85 in Science, 31 in English, 60 in History, and 67 in Computer, totaling 298 marks with Grade D. Attendance stands at 62.23 percent. Participates in Music as an extracurricular activity.
Student S15984 named Lisa Livingston, age 11, gender Female, is in Class 7. Scored 75 in Math, 74 in Science, 45 in English, 72 in History, and 56 in Computer, totaling 322 marks with Grade C. Attendance stands at 99.51 percent. Participates in Football as an extracurricular activity.
Student S15988 named David Nash, age 12, gender Female, is in Class 7. Scored 38 in Math, 99 in Science, 58 in English, 72 in History, and 79 in Computer, totaling 346 marks with Grade C. Attendance stands at 93.77 percent. Participates in Debate as an extracurricular activity.
Student S15990 named Richard Gonzalez, age 12, gender Male, is in Class 7. Scored 91 in Math, 31 in Science, 97 in English, 86 in History, and 54 in Computer, totaling 359 marks with Grade C. Attendance stands at 79.10 percent. Participates in None as an extracurricular activity.
Student S15995 named Michael Flores, age 15, gender Female, is in Class 7. Scored 44 in Math, 37 in Science, 38 in English, 72 in History, and 77 in Computer, totaling 268 marks with Grade D. Attendance stands at 68.52 percent. Participates in Music as an extracurricular activity.
Student S15997 named Rhonda Brown, age 17, gender Female, is in Class 7. Scored 81 in Math, 90 in Science, 72 in English, 57 in History, and 60 in Computer, totaling 360 marks with Grade C. Attendance stands at 88.98 percent. Participates in Football as an extracurricular activity.
Student S15998 named Kevin Dawson, age 13, gender Female, is in Class 7. Scored 37 in Math, 82 in Science, 81 in English, 64 in History, and 77 in Computer, totaling 341 marks with Grade C. Attendance stands at 63.01 percent. Participates in Dance as an extracurricular activity.
Student S16005 named Jessica Luna, age 16, gender Male, is in Class 7. Scored 92 in Math, 51 in Science, 45 in English, 68 in History, and 53 in Computer, totaling 309 marks with Grade C. Attendance stands at 67.57 percent. Participates in Debate as an extracurricular activity.
Student S16009 named Robert Long, age 15, gender Female, is in Class 7. Scored 32 in Math, 95 in Science, 67 in English, 97 in History, and 80 in Computer, totaling 371 marks with Grade C. Attendance stands at 60.16 percent. Participates in Football as an extracurricular activity.
