Student S10005 named Tanya Juarez, age 13, gender Male, is in Class 6. Scored 80 in Math, 95 in Science, 38 in English, 66 in History, and 31 in Computer, totaling 310 marks with Grade C. Attendance stands at 72.87 percent. Participates in None as an extracurricular activity.
Student S15602 named Timothy Adams, age 17, gender Female, is in Class 6. Scored 35 in Math, 88 in Science, 76 in English, 90 in History, and 46 in Computer, totaling 335 marks with Grade C. Attendance stands at 68.99 percent. Participates in Drama as an extracurricular activity.
Student S15605 named Carmen Cook, age 13, gender Male, is in Class 6. Scored 45 in Math, 63 in Science, 58 in English, 55 in History, and 75 in Computer, totaling 296 marks with Grade D. Attendance stands at 70.63 percent. Participates in Dance as an extracurricular activity.
Student S15614 named Troy Keller, age 13, gender Male, is in Class 6. Scored 65 in Math, 98 in Science, 57 in English, 49 in History, and 45 in Computer, totaling 314 marks with Grade C. Attendance stands at 68.74 percent. Participates in Drama as an extracurricular activity.
Student S15617 named Ashley Stewart, age 12, gender Female, is in Class 6. Scored 55 in Math, 78 in Science, 81 in English, 61 in History, and 55 in Computer, totaling 330 marks with Grade C. Attendance stands at 64.27 percent. Participates in Debate as an extracurricular activity.
Student S15633 named Derrick Black, age 14, gender Female, is in Class 6. Scored 65 in Math, 51 in Science, 79 in English, 34 in History, and 39 in Computer, totaling 268 marks with Grade D. Attendance stands at 92.02 percent. Participates in Drama as an extracurricular activity.
Student S15648 named Scott Hernandez, age 13, gender Female, is in Class 6. Scored 68 in Math, 52 in Science, 55 in English, 71 in History, and 91 in Computer, totaling 337 marks with Grade C. Attendance stands at 95.71 percent. Participates in Football as an extracurricular activity.
Student S15662 named Alexander Barnes, age 14, gender Female, is in Class 6. Scored 89 in Math, 75 in Science, 49 in English, 33 in History, and 67 in Computer, totaling 313 marks with Grade C. Attendance stands at 68.62 percent. Participates in Dance as an extracurricular activity.
Student S15669 named Joseph Williams, age 11, gender Male, is in Class 6. Scored 91 in Math, 60 in Science, 91 in English, 55 in History, and 69 in Computer, totaling 366 marks with Grade C. Attendance stands at 80.22 percent. Participates in Debate as an extracurricular activity.
Student S15671 named Chelsea Peterson, age 15, gender Male, is in Class 6. Scored 48 in Math, 65 in Science, 89 in English, 41 in History, and 94 in Computer, totaling 337 marks with Grade C. Attendance stands at 85.01 percent. Participates in Drama as an extracurricular activity.
Student S15705 named Rebecca Dickerson, age 11, gender Male, is in Class 6. Scored 43 in Math, 77 in Science, 38 in English, 36 in History, and 69 in Computer, totaling 263 marks with Grade D. Attendance stands at 97.15 percent. Participates in Music as an extracurricular activity.
Student S15712 named Nathan Lowe, age 16, gender Female, is in Class 6. Scored 62 in Math, 50 in Science, 54 in English, 52 in History, and 38 in Computer, totaling 256 marks with Grade D. Attendance stands at 86.77 percent. Participates in Football as an extracurricular activity.
Student S15716 named Spencer Jones, age 16, gender Female, is in Class 6. Scored 70 in Math, 61 in Science, 94 in English, 97 in History, and 43 in Computer, totaling 365 marks with Grade C. Attendance stands at 60.19 percent. Participates in None as an extracurricular activity.
Student S15737 named Bradley Wiley, age 12, gender Male, is in Class 6. Scored 63 in Math, 90 in Science, 89 in English, 83 in History, and 45 in Computer, totaling 370 marks with Grade C. Attendance stands at 73.92 percent. Participates in Drama as an extracurricular activity.
Student S15741 named Justin Meyers, age 13, gender Female, is in Class 6. Scored 34 in Math, 91 in Science, 57 in English, 30 in History, and 52 in Computer, totaling 264 marks with Grade D. Attendance stands at 81.07 percent. Participates in Dance as an extracurricular activity.
Student S15754 named Erin Forbes, age 17, gender Female, is in Class 6. Scored 71 in Math, 39 in Science, 77 in English, 59 in History, and 86 in Computer, totaling 332 marks with Grade C. Attendance stands at 63.54 percent. Participates in Dance as an extracurricular activity.
Student S15769 named Kyle Snow, age 16, gender Female, is in Class 6. Scored 88 in Math, 33 in Science, 37 in English, 46 in History, and 44 in Computer, totaling 248 marks with Grade D. Attendance stands at 79.62 percent. Participates in Drama as an extracurricular activity.
Student S15773 named John Nichols, age 17, gender Female, is in Class 6. Scored 70 in Math, 99 in Science, 84 in English, 54 in History, and 34 in Computer, totaling 341 marks with Grade C. Attendance stands at 86.37 percent. Participates in None as an extracurricular activity.
Student S15787 named William Lambert, age 10, gender Female, is in Class 6. Scored 66 in Math, 52 in Science, 79 in English, 48 in History, and 33 in Computer, totaling 278 marks with Grade D. Attendance stands at 91.49 percent. Participates in Football as an extracurricular activity.
Student S15789 named Dustin Fisher, age 11, gender Male, is in Class 6. Scored 50 in Math, 37 in Science, 72 in English, 32 in History, and 79 in Computer, totaling 270 marks with Grade D. Attendance stands at 65.43 percent. Participates in None as an extracurricular activity.
Student S15792 named Shaun Reynolds, age 13, gender Female, is in Class 6. Scored 61 in Math, 41 in Science, 79 in English, 94 in History, and 82 in Computer, totaling 357 marks with Grade C. Attendance stands at 87.53 percent. Participates in Dance as an extracurricular activity.
Student S15796 named Sarah Campbell, age 15, gender Female, is in Class 6. Scored 36 in Math, 63 in Science, 48 in English, 88 in History, and 31 in Computer, totaling 266 marks with Grade D. Attendance stands at 69.71 percent. Participates in Debate as an extracurricular activity.
Student S15798 named Stephanie Brady, age 12, gender Male, is in Class 6. Scored 40 in Math, 85 in Science, 88 in English, 51 in History, and 98 in Computer, totaling 362 marks with Grade C. Attendance stands at 89.70 percent. Participates in Drama as an extracurricular activity.
Student S15799 named Kimberly Oliver, age 14, gender Female, is in Class 6. Scored 59 in Math, 82 in Science, 73 in English, 45 in History, and 44 in Computer, totaling 303 marks with Grade C. Attendance stands at 61.32 percent. Participates in Debate as an extracurricular activity.
Student S15802 named Nicholas Bass, age 10, gender Male, is in Class 6. Scored 91 in Math, 30 in Science, 52 in English, 58 in History, and 50 in Computer, totaling 281 marks with Grade D. Attendance stands at 94.51 percent. Participates in Drama as an extracurricular activity.
Student S15803 named George Wagner, age 11, gender Female, is in Class 6. Scored 50 in Math, 91 in Science, 74 in English, 38 in History, and 39 in Computer, totaling 292 marks with Grade D. Attendance stands at 83.78 percent. Participates in Football as an extracurricular activity.
Student S15806 named Steven Brown, age 11, gender Male, is in Class 6. Scored 86 in Math, 81 in Science, 61 in English, 65 in History, and 84 in Computer, totaling 377 marks with Grade C. Attendance stands at 81.73 percent. Participates in Dance as an extracurricular activity.
Student S15825 named William Keith, age 17, gender Male, is in Class 6. Scored 31 in Math, 42 in Science, 73 in English, 83 in History, and 63 in Computer, totaling 292 marks with Grade D. Attendance stands at 91.22 percent. Participates in Debate as an extracurricular activity.
Student S15827 named Kenneth Diaz, age 13, gender Female, is in Class 6. Scored 36 in Math, 37 in Science, 87 in English, 39 in History, and 83 in Computer, totaling 282 marks with Grade D. Attendance stands at 67.22 percent. Participates in Music as an extracurricular activity.
Student S15831 named Benjamin Perez, age 16, gender Male, is in Class 6. Scored 38 in Math, 81 in Science, 99 in English, 43 in History, and 87 in Computer, totaling 348 marks with Grade C. Attendance stands at 93.03 percent. Participates in Debate as an extracurricular activity.
Student S15834 named Gregory Rogers MD, age 13, gender Male, is in Class 6. Scored 36 in Math, 81 in Science, 83 in English, 32 in History, and 50 in Computer, totaling 282 marks with Grade D. Attendance stands at 70.84 percent. Participates in Drama as an extracurricular activity.
Student S15836 named Karen Owens, age 14, gender Male, is in Class 6. Scored 56 in Math, 66 in Science, 58 in English, 63 in History, and 77 in Computer, totaling 320 marks with Grade C. Attendance stands at 96.13 percent. Participates in None as an extracurricular activity.
Student S15837 named Joseph White, age 17, gender Male, is in Class 6. Scored 79 in Math, 32 in Science, 99 in English, 83 in History, and 33 in Computer, totaling 326 marks with Grade C. Attendance stands at 67.41 percent. Participates in None as an extracurricular activity.
Student S15844 named Carolyn Johnson, age 13, gender Male, is in Class 6. Scored 76 in Math, 57 in Science, 37 in English, 93 in History, and 94 in Computer, totaling 357 marks with Grade C. Attendance stands at 87.94 percent. Participates in Drama as an extracurricular activity.
Student S15852 named Tami Hunter, age 15, gender Female, is in Class 6. Scored 36 in Math, 87 in Science, 73 in English, 72 in History, and 42 in Computer, totaling 310 marks with Grade C. Attendance stands at 69.28 percent. Participates in Dance as an extracurricular activity.
Student S15857 named Nicholas Andrews, age 14, gender Female, is in Class 6. Scored 65 in Math, 55 in Science, 48 in English, 83 in History, and 58 in Computer, totaling 309 marks with Grade C. Attendance stands at 79.69 percent. Participates in Drama as an extracurricular activity.
Student S15874 named Matthew Carr, age 16, gender Male, is in Class 6. Scored 34 in Math, 77 in Science, 74 in English, 37 in History, and 39 in Computer, totaling 261 marks with Grade D. Attendance stands at 83.49 percent. Participates in Debate as an extracurricular activity.
Student S15879 named Dennis Harris, age 16, gender Female, is in Class 6. Scored 43 in Math, 55 in Science, 55 in English, 68 in History, and 36 in Computer, totaling 257 marks with Grade D. Attendance stands at 76.85 percent. Participates in Dance as an extracurricular activity.
Student S15881 named Karen Mueller, age 12, gender Female, is in Class 6. Scored 62 in Math, 41 in Science, 98 in English, 68 in History, and 99 in Computer, totaling 368 marks with Grade C. Attendance stands at 80.17 percent. Participates in None as an extracurricular activity.
Student S15895 named Marvin Jones, age 12, gender Male, is in Class 6. Scored 53 in Math, 61 in Science, 73 in English, 79 in History, and 88 in Computer, totaling 354 marks with Grade C. Attendance stands at 62.67 percent. Participates in None as an extracurricular activity.
Student S15901 named Nathan Wilson, age 13, gender Male, is in Class 6. Scored 44 in Math, 88 in Science, 94 in English, 67 in History, and 76 in Computer, totaling 369 marks with Grade C. Attendance stands at 79.22 percent. Participates in Football as an extracurricular activity.
Student S15913 named Danny Brown, age 15, gender Male, is in Class 6. Scored 83 in Math, 68 in Science, 72 in English, 98 in History, and 49 in Computer, totaling 370 marks with Grade C. Attendance stands at 71.14 percent. Participates in Debate as an extracurricular activity.
Student S15919 named Bianca Martin, age 17, gender Male, is in Class 6. Scored 81 in Math, 58 in Science, 66 in English, 96 in History, and 86 in Computer, totaling 387 marks with Grade C. Attendance stands at 76.42 percent. Participates in None as an extracurricular activity.
Student S15929 named Michael Stewart, age 12, gender Male, is in Class 6. Scored 79 in Math, 32 in Science, 77 in English, 99 in History, and 30 in Computer, totaling 317 marks with Grade C. Attendance stands at 73.55 percent. Participates in Drama as an extracurricular activity.
Student S15933 named David Williams, age 15, gender Male, is in Class 6. Scored 48 in Math, 65 in Science, 70 in English, 81 in History, and 40 in Computer, totaling 304 marks with Grade C. Attendance stands at 70.01 percent. Participates in None as an extracurricular activity.
Student S15942 named Courtney Williams, age 16, gender Female, is in Class 6. Scored 60 in Math, 78 in Science, 46 in English, 48 in History, and 36 in Computer, totaling 268 marks with Grade D. Attendance stands at 74.11 percent. Participates in Drama as an extracurricular activity.
Student S15949 named April Reynolds, age 11, gender Male, is in Class 6. Scored 90 in Math, 84 in Science, 77 in English, 49 in History, and 36 in Computer, totaling 336 marks with Grade C. Attendance stands at 70.63 percent. Participates in Music as an extracurricular activity.
Student S15950 named Laura Moore, age 13, gender Female, is in Class 6. Scored 71 in Math, 74 in Science, 79 in English, 48 in History, and 48 in Computer, totaling 320 marks with Grade C. Attendance stands at 76.59 percent. Participates in Music as an extracurricular activity.
Student S15954 named Ashley Atkinson, age 12, gender Female, is in Class 6. Scored 86 in Math, 76 in Science, 83 in English, 43 in History, and 58 in Computer, totaling 346 marks with Grade C. Attendance stands at 83.80 percent. Participates in Dance as an extracurricular activity.
Student S15957 named Amber Roth, age 17, gender Male, is in Class 6. Scored 78 in Math, 55 in Science, 42 in English, 85 in History, and 70 in Computer, totaling 330 marks with Grade C. Attendance stands at 81.50 percent. Participates in None as an extracurricular activity.
Student S16008 named Tara Brown, age 17, gender Male, is in Class 6. Scored 90 in Math, 44 in Science, 98 in English, 39 in History, and 71 in Computer, totaling 342 marks with Grade C. Attendance stands at 99.88 percent. Participates in Dance as an extracurricular activity.
Student S16026 named Brett Bowen, age 13, gender Male, is in Class 6. Scored 72 in Math, 91 in Science, 65 in English, 47 in History, and 84 in Computer, totaling 359 marks with Grade C. Attendance stands at 72.12 percent. Participates in Drama as an extracurricular activity.
Student S16036 named Alexis Moore, age 15, gender Female, is in Class 6. Scored 45 in Math, 49 in Science, 50 in English, 39 in History, and 94 in Computer, totaling 277 marks with Grade D. Attendance stands at 89.21 percent. Participates in Drama as an extracurricular activity.
Student S16047 named Jessica Walters, age 16, gender Male, is in Class 6. Scored 60 in Math, 65 in Science, 83 in English, 97 in History, and 57 in Computer, totaling 362 marks with Grade C. Attendance stands at 74.35 percent. Participates in Debate as an extracurricular activity.
Student S16053 named Nathaniel Rice, age 16, gender Male, is in Class 6. Scored 93 in Math, 83 in Science, 75 in English, 92 in History, and 95 in Computer, totaling 438 marks with Grade B. Attendance stands at 71.73 percent. Participates in None as an extracurricular activity.
Student S16054 named Karl Rodgers, age 12, gender Female, is in Class 6. Scored 92 in Math, 92 in Science, 45 in English, 83 in History, and 32 in Computer, totaling 344 marks with Grade C. Attendance stands at 70.04 percent. Participates in None as an extracurricular activity.
Student S16060 named Shirley Walters, age 17, gender Male, is in Class 6. Scored 55 in Math, 69 in Science, 42 in English, 36 in History, and 95 in Computer, totaling 297 marks with Grade D. Attendance stands at 97.70 percent. Participates in Debate as an extracurricular activity.
Student S16061 named Jesse Parks, age 16, gender Male, is in Class 6. Scored 63 in Math, 83 in Science, 55 in English, 81 in History, and 78 in Computer, totaling 360 marks with Grade C. Attendance stands at 70.29 percent. Participates in Music as an extracurricular activity.
Student S16065 named Allison Romero, age 16, gender Female, is in Class 6. Scored 81 in Math, 64 in Science, 83 in English, 94 in History, and 70 in Computer, totaling 392 marks with Grade C. Attendance stands at 95.11 percent. Participates in Dance as an extracurricular activity.
Student S16071 named Michelle Velazquez, age 11, gender Male, is in Class 6. Scored 45 in Math, 53 in Science, 65 in English, 90 in History, and 36 in Computer, totaling 289 marks with Grade D. Attendance stands at 71.38 percent. Participates in Debate as an extracurricular activity.
Student S16090 named Laura Thompson, age 13, gender Female, is in Class 6. Scored 64 in Math, 98 in Science, 67 in English, 96 in History, and 35 in Computer, totaling 360 marks with Grade C. Attendance stands at 94.78 percent. Participates in Music as an extracurricular activity.
Student S16093 named Stephen Swanson, age 17, gender Female, is in Class 6. Scored 61 in Math, 94 in Science, 39 in English, 39 in History, and 81 in Computer, totaling 314 marks with Grade C. Attendance stands at 88.28 percent. Participates in Football as an extracurricular activity.
Student S16098 named Leslie Elliott, age 17, gender Female, is in Class 6. Scored 31 in Math, 84 in Science, 56 in English, 98 in History, and 64 in Computer, totaling 333 marks with Grade C. Attendance stands at 93.64 percent. Participates in Debate as an extracurricular activity.
Student S16099 named Mercedes Hernandez, age 13, gender Male, is in Class 6. Scored 62 in Math, 34 in Science, 88 in English, 84 in History, and 54 in Computer, totaling 322 marks with Grade C. Attendance stands at 80.91 percent. Participates in Football as an extracurricular activity.
Student S16102 named Debra Sellers, age 16, gender Female, is in Class 6. Scored 66 in Math, 38 in Science, 94 in English, 79 in History, and 57 in Computer, totaling 334 marks with Grade C. Attendance stands at 94.48 percent. Participates in Debate as an extracurricular activity.
Student S16114 named Susan Parker, age 13, gender Male, is in Class 6. Scored 47 in Math, 49 in Science, 74 in English, 42 in History, and 53 in Computer, totaling 265 marks with Grade D. Attendance stands at 71.09 percent. Participates in Football as an extracurricular activity.
Student S16115 named Joann Johnson, age 13, gender Female, is in Class 6. Scored 89 in Math, 66 in Science, 34 in English, 36 in History, and 69 in Computer, totaling 294 marks with Grade D. Attendance stands at 99.58 percent. Participates in Football as an extracurricular activity.
Student S16124 named Michele Ortiz, age 16, gender Female, is in Class 6. Scored 58 in Math, 43 in Science, 75 in English, 60 in History, and 55 in Computer, totaling 291 marks with Grade D. Attendance stands at 90.23 percent. Participates in Music as an extracurricular activity.
Student S16137 named Kevin Stephens, age 13, gender Female, is in Class 6. Scored 38 in Math, 85 in Science, 69 in English, 77 in History, and 51 in Computer, totaling 320 marks with Grade C. Attendance stands at 65.74 percent. Participates in None as an extracurricular activity.
Student S16141 named Sandra Huffman, age 11, gender Male, is in Class 6. Scored 86 in Math, 32 in Science, 30 in English, 81 in History, and 54 in Computer, totaling 283 marks with Grade D. Attendance stands at 65.68 percent. Participates in None as an extracurricular activity.
Student S16148 named Jasmine Price MD, age 12, gender Female, is in Class 6. Scored 70 in Math, 36 in Science, 78 in English, 87 in History, and 39 in Computer, totaling 310 marks with Grade C. Attendance stands at 65.49 percent. Participates in Dance as an extracurricular activity.
Student S16151 named David Sanders, age 14, gender Male, is in Class 6. Scored 33 in Math, 75 in Science, 72 in English, 81 in History, and 77 in Computer, totaling 338 marks with Grade C. Attendance stands at 78.05 percent. Participates in None as an extracurricular activity.
Student S16160 named Jeremy Obrien, age 13, gender Male, is in Class 6. Scored 95 in Math, 78 in Science, 94 in English, 77 in History, and 73 in Computer, totaling 417 marks with Grade B. Attendance stands at 97.16 percent. Participates in Dance as an extracurricular activity.
Student S16164 named Joshua Montoya, age 14, gender Female, is in Class 6. Scored 67 in Math, 91 in Science, 81 in English, 55 in History, and 54 in Computer, totaling 348 marks with Grade C. Attendance stands at 75.15 percent. Participates in Drama as an extracurricular activity.
Student S16168 named Scott Day, age 14, gender Male, is in Class 6. Scored 37 in Math, 83 in Science, 44 in English, 75 in History, and 77 in Computer, totaling 316 marks with Grade C. Attendance stands at 79.69 percent. Participates in Drama as an extracurricular activity.
Student S16178 named Zachary Freeman, age 12, gender Female, is in Class 6. Scored 71 in Math, 73 in Science, 79 in English, 79 in History, and 85 in Computer, totaling 387 marks with Grade C. Attendance stands at 95.09 percent. Participates in Drama as an extracurricular activity.
Student S16184 named Jennifer Atkins, age 17, gender Male, is in Class 6. Scored 82 in Math, 39 in Science, 63 in English, 98 in History, and 56 in Computer, totaling 338 marks with Grade C. Attendance stands at 71.86 percent. Participates in Drama as an extracurricular activity.
Student S16188 named Misty Walton, age 11, gender Female, is in Class 6. Scored 75 in Math, 65 in Science, 57 in English, 91 in History, and 65 in Computer, totaling 353 marks with Grade C. Attendance stands at 76.88 percent. Participates in Drama as an extracurricular activity.
Student S16190 named Christine Cook, age 14, gender Male, is in Class 6. Scored 43 in Math, 54 in Science, 36 in English, 65 in History, and 30 in Computer, totaling 228 marks with Grade D. Attendance stands at 93.04 percent. Participates in Football as an extracurricular activity.
Student S16204 named Joseph Hill, age 16, gender Female, is in Class 6. Scored 91 in Math, 77 in Science, 61 in English, 54 in History, and 78 in Computer, totaling 361 marks with Grade C. Attendance stands at 95.09 percent. Participates in Drama as an extracurricular activity.
Student S16213 named Shawn Smith, age 13, gender Male, is in Class 6. Scored 61 in Math, 46 in Science, 43 in English, 38 in History, and 66 in Computer, totaling 254 marks with Grade D. Attendance stands at 64.88 percent. Participates in Football as an extracurricular activity.
Student S16214 named Victor Gilbert, age 15, gender Female, is in Class 6. Scored 89 in Math, 61 in Science, 71 in English, 63 in History, and 55 in Computer, totaling 339 marks with Grade C. Attendance stands at 77.18 percent. Participates in Debate as an extracurricular activity.
Student S16215 named Melissa Rodriguez, age 14, gender Male, is in Class 6. Scored 34 in Math, 50 in Science, 46 in English, 30 in History, and 40 in Computer, totaling 200 marks with Grade F. Attendance stands at 74.02 percent. Participates in Dance as an extracurricular activity.
Student S16234 named Katrina Mills, age 14, gender Male, is in Class 6. Scored 57 in Math, 92 in Science, 90 in English, 96 in History, and 30 in Computer, totaling 365 marks with Grade C. Attendance stands at 73.42 percent. Participates in None as an extracurricular activity.
Student S16244 named Brandon Stone, age 17, gender Female, is in Class 6. Scored 37 in Math, 67 in Science, 33 in English, 89 in History, and 73 in Computer, totaling 299 marks with Grade D. Attendance stands at 97.37 percent. Participates in Debate as an extracurricular activity.
Student S16245 named Haley Montgomery, age 10, gender Male, is in Class 6. Scored 40 in Math, 55 in Science, 44 in English, 55 in History, and 38 in Computer, totaling 232 marks with Grade D. Attendance stands at 88.56 percent. Participates in None as an extracurricular activity.
Student S16246 named Shane Todd, age 15, gender Female, is in Class 6. Scored 45 in Math, 89 in Science, 75 in English, 31 in History, and 73 in Computer, totaling 313 marks with Grade C. Attendance stands at 91.52 percent. Participates in Debate as an extracurricular activity.
Student S16247 named Jeffrey Fields, age 14, gender Male, is in Class 6. Scored 47 in Math, 75 in Science, 94 in English, 78 in History, and 63 in Computer, totaling 357 marks with Grade C. Attendance stands at 81.46 percent. Participates in Debate as an extracurricular activity.
Student S16248 named Paul Combs, age 11, gender Female, is in Class 6. Scored 66 in Math, 72 in Science, 31 in English, 39 in History, and 79 in Computer, totaling 287 marks with Grade D. Attendance stands at 64.55 percent. Participates in None as an extracurricular activity.
Student S16262 named Nancy Barrett, age 16, gender Female, is in Class 6. Scored 62 in Math, 32 in Science, 86 in English, 96 in History, and 71 in Computer, totaling 347 marks with Grade C. Attendance stands at 92.19 percent. Participates in None as an extracurricular activity.
Student S16265 named Jaime Baker, age 11, gender Male, is in Class 6. Scored 97 in Math, 95 in Science, 74 in English, 92 in History, and 35 in Computer, totaling 393 marks with Grade C. Attendance stands at 92.46 percent. Participates in Music as an extracurricular activity.
Student S16266 named Nichole Castillo, age 12, gender Female, is in Class 6. Scored 34 in Math, 49 in Science, 94 in English, 85 in History, and 52 in Computer, totaling 314 marks with Grade C. Attendance stands at 67.60 percent. Participates in Drama as an extracurricular activity.
Student S16269 named Charles Gibson, age 13, gender Male, is in Class 6. Scored 76 in Math, 81 in Science, 77 in English, 46 in History, and 44 in Computer, totaling 324 marks with Grade C. Attendance stands at 64.68 percent. Participates in Music as an extracurricular activity.
Student S16272 named Julie Foster, age 15, gender Female, is in Class 6. Scored 42 in Math, 82 in Science, 72 in English, 46 in History, and 39 in Computer, totaling 281 marks with Grade D. Attendance stands at 96.75 percent. Participates in Football as an extracurricular activity.
Student S16288 named Stacy Nichols, age 11, gender Male, is in Class 6. Scored 36 in Math, 46 in Science, 84 in English, 99 in History, and 41 in Computer, totaling 306 marks with Grade C. Attendance stands at 63.40 percent. Participates in Dance as an extracurricular activity.
Student S16317 named Mia Young, age 13, gender Male, is in Class 6. Scored 59 in Math, 86 in Science, 75 in English, 90 in History, and 67 in Computer, totaling 377 marks with Grade C. Attendance stands at 62.32 percent. Participates in Debate as an extracurricular activity.
Student S16344 named Norman Cruz, age 10, gender Male, is in Class 6. Scored 77 in Math, 44 in Science, 57 in English, 98 in History, and 51 in Computer, totaling 327 marks with Grade C. Attendance stands at 82.52 percent. Participates in Music as an extracurricular activity.
Student S16346 named Kelly Tucker, age 14, gender Female, is in Class 6. Scored 43 in Math, 47 in Science, 31 in English, 64 in History, and 60 in Computer, totaling 245 marks with Grade D. Attendance stands at 86.32 percent. Participates in Football as an extracurricular activity.
Student S16362 named Michael Garcia, age 13, gender Male, is in Class 6. Scored 30 in Math, 36 in Science, 85 in English, 37 in History, and 82 in Computer, totaling 270 marks with Grade D. Attendance stands at 96.93 percent. Participates in Drama as an extracurricular activity.
Student S16375 named Christopher Gillespie, age 12, gender Female, is in Class 6. Scored 91 in Math, 92 in Science, 34 in English, 97 in History, and 77 in Computer, totaling 391 marks with Grade C. Attendance stands at 91.52 percent. Participates in Dance as an extracurricular activity.
Student S16378 named Jacob Schaefer, age 12, gender Female, is in Class 6. Scored 51 in Math, 99 in Science, 57 in English, 32 in History, and 40 in Computer, totaling 279 marks with Grade D. Attendance stands at 88.65 percent. Participates in None as an extracurricular activity.
Student S16400 named Sherri Whitehead, age 13, gender Female, is in Class 6. Scored 43 in Math, 88 in Science, 92 in English, 63 in History, and 61 in Computer, totaling 347 marks with Grade C. Attendance stands at 82.59 percent. Participates in Music as an extracurricular activity.
Student S16406 named Alexander Reynolds, age 13, gender Female, is in Class 6. Scored 34 in Math, 31 in Science, 78 in English, 46 in History, and 73 in Computer, totaling 262 marks with Grade D. Attendance stands at 94.22 percent. Participates in None as an extracurricular activity.
Student S16410 named Christine Robles, age 10, gender Female, is in Class 6. Scored 31 in Math, 45 in Science, 77 in English, 43 in History, and 89 in Computer, totaling 285 marks with Grade D. Attendance stands at 80.52 percent. Participates in Drama as an extracurricular activity.
Student S16421 named David Garcia, age 13, gender Female, is in Class 6. Scored 37 in Math, 99 in Science, 63 in English, 39 in History, and 85 in Computer, totaling 323 marks with Grade C. Attendance stands at 81.23 percent. Participates in Debate as an extracurricular activity.
Student S16440 named Dennis Calhoun, age 14, gender Female, is in Class 6. Scored 63 in Math, 72 in Science, 36 in English, 96 in History, and 44 in Computer, totaling 311 marks with Grade C. Attendance stands at 85.89 percent. Participates in Debate as an extracurricular activity.
Student S16442 named Kathleen Pierce, age 15, gender Female, is in Class 6. Scored 39 in Math, 80 in Science, 94 in English, 64 in History, and 59 in Computer, totaling 336 marks with Grade C. Attendance stands at 70.77 percent. Participates in Football as an extracurricular activity.
Student S16450 named Rebecca Atkinson, age 11, gender Male, is in Class 6. Scored 65 in Math, 59 in Science, 31 in English, 65 in History, and 50 in Computer, totaling 270 marks with Grade D. Attendance stands at 75.18 percent. Participates in None as an extracurricular activity.
Student S16453 named Michael Coleman, age 10, gender Female, is in Class 6. Scored 69 in Math, 44 in Science, 39 in English, 57 in History, and 84 in Computer, totaling 293 marks with Grade D. Attendance stands at 87.96 percent. Participates in None as an extracurricular activity.
Student S16463 named Daniel Reynolds, age 17, gender Female, is in Class 6. Scored 86 in Math, 94 in Science, 73 in English, 92 in History, and 87 in Computer, totaling 432 marks with Grade B. Attendance stands at 63.22 percent. Participates in Debate as an extracurricular activity.
Student S16466 named Rebecca Phillips, age 14, gender Female, is in Class 6. Scored 31 in Math, 50 in Science, 67 in English, 60 in History, and 46 in Computer, totaling 254 marks with Grade D. Attendance stands at 60.84 percent. Participates in Drama as an extracurricular activity.
Student S16469 named John Phillips, age 15, gender Male, is in Class 6. Scored 60 in Math, 84 in Science, 87 in English, 51 in History, and 58 in Computer, totaling 340 marks with Grade C. Attendance stands at 75.43 percent. Participates in None as an extracurricular activity.
Student S16472 named Jennifer Lopez, age 11, gender Male, is in Class 6. Scored 42 in Math, 31 in Science, 99 in English, 42 in History, and 66 in Computer, totaling 280 marks with Grade D. Attendance stands at 73.99 percent. Participates in None as an extracurricular activity.
Student S16474 named Patricia Pierce, age 16, gender Male, is in Class 6. Scored 97 in Math, 34 in Science, 53 in English, 37 in History, and 95 in Computer, totaling 316 marks with Grade C. Attendance stands at 66.03 percent. Participates in Music as an extracurricular activity.
Student S16488 named Sabrina Edwards, age 17, gender Female, is in Class 6. Scored 97 in Math, 76 in Science, 77 in English, 76 in History, and 64 in Computer, totaling 390 marks with Grade C. Attendance stands at 76.83 percent. Participates in Dance as an extracurricular activity.
Student S16511 named Erin Garcia, age 11, gender Male, is in Class 6. Scored 68 in Math, 51 in Science, 54 in English, 92 in History, and 90 in Computer, totaling 355 marks with Grade C. Attendance stands at 86.70 percent. Participates in Dance as an extracurricular activity.
Student S16516 named Kenneth Johnson, age 12, gender Female, is in Class 6. Scored 32 in Math, 75 in Science, 97 in English, 55 in History, and 82 in Computer, totaling 341 marks with Grade C. Attendance stands at 60.48 percent. Participates in None as an extracurricular activity.
Student S16539 named Christopher Hughes, age 16, gender Male, is in Class 6. Scored 30 in Math, 42 in Science, 58 in English, 46 in History, and 73 in Computer, totaling 249 marks with Grade D. Attendance stands at 91.13 percent. Participates in Football as an extracurricular activity.
Student S16545 named Randy Lewis, age 14, gender Male, is in Class 6. Scored 90 in Math, 97 in Science, 90 in English, 50 in History, and 94 in Computer, totaling 421 marks with Grade B. Attendance stands at 85.88 percent. Participates in Dance as an extracurricular activity.
Student S16568 named Suzanne Lopez, age 16, gender Male, is in Class 6. Scored 73 in Math, 99 in Science, 54 in English, 98 in History, and 81 in Computer, totaling 405 marks with Grade B. Attendance stands at 70.49 percent. Participates in Football as an extracurricular activity.
