Student S10012 named Joseph Smith, age 12, gender Female, is in Class 10. Scored 83 in Math, 84 in Science, 37 in English, 75 in History, and 87 in Computer, totaling 366 marks with Grade C. Attendance stands at 83.67 percent. Participates in Drama as an extracurricular activity.
Student S15595 named Anthony Jordan DDS, age 11, gender Female, is in Class 10. Scored 56 in Math, 99 in Science, 65 in English, 42 in History, and 37 in Computer, totaling 299 marks with Grade D. Attendance stands at 81.24 percent. Participates in Dance as an extracurricular activity.
Student S15599 named Virginia Ibarra, age 13, gender Female, is in Class 10. Scored 33 in Math, 87 in Science, 63 in English, 78 in History, and 73 in Computer, totaling 334 marks with Grade C. Attendance stands at 99.40 percent. Participates in Debate as an extracurricular activity.
Student S15601 named Jonathan Smith, age 10, gender Female, is in Class 10. Scored 32 in Math, 64 in Science, 86 in English, 53 in History, and 77 in Computer, totaling 312 marks with Grade C. Attendance stands at 91.20 percent. Participates in Football as an extracurricular activity.
Student S15619 named Kimberly Strickland, age 11, gender Male, is in Class 10. Scored 54 in Math, 77 in Science, 94 in English, 70 in History, and 79 in Computer, totaling 374 marks with Grade C. Attendance stands at 72.01 percent. Participates in Dance as an extracurricular activity.
Student S15621 named Kenneth Martinez, age 14, gender Male, is in Class 10. Scored 56 in Math, 40 in Science, 36 in English, 92 in History, and 66 in Computer, totaling 290 marks with Grade D. Attendance stands at 76.54 percent. Participates in Debate as an extracurricular activity.
Student S15623 named Mason Tyler, age 16, gender Male, is in Class 10. Scored 63 in Math, 92 in Science, 37 in English, 31 in History, and 45 in Computer, totaling 268 marks with Grade D. Attendance stands at 65.98 percent. Participates in Music as an extracurricular activity.
Student S15627 named Bradley Oliver, age 13, gender Female, is in Class 10. Scored 86 in Math, 94 in Science, 52 in English, 62 in History, and 67 in Computer, totaling 361 marks with Grade C. Attendance stands at 70.74 percent. Participates in Drama as an extracurricular activity.
Student S15635 named Evan Crawford, age 10, gender Male, is in Class 10. Scored 33 in Math, 90 in Science, 49 in English, 46 in History, and 65 in Computer, totaling 283 marks with Grade D. Attendance stands at 85.21 percent. Participates in Music as an extracurricular activity.
Student S15636 named Natalie Collins, age 12, gender Male, is in Class 10. Scored 64 in Math, 84 in Science, 47 in English, 31 in History, and 81 in Computer, totaling 307 marks with Grade C. Attendance stands at 72.87 percent. Participates in Football as an extracurricular activity.
Student S15638 named David Barnett, age 16, gender Female, is in Class 10. Scored 75 in Math, 72 in Science, 82 in English, 36 in History, and 51 in Computer, totaling 316 marks with Grade C. Attendance stands at 62.71 percent. Participates in None as an extracurricular activity.
Student S15642 named Megan Lambert, age 16, gender Female, is in Class 10. Scored 93 in Math, 49 in Science, 40 in English, 36 in History, and 50 in Computer, totaling 268 marks with Grade D. Attendance stands at 72.02 percent. Participates in Debate as an extracurricular activity.
Student S15643 named Vanessa Camacho, age 11, gender Female, is in Class 10. Scored 46 in Math, 98 in Science, 30 in English, 63 in History, and 64 in Computer, totaling 301 marks with Grade C. Attendance stands at 70.73 percent. Participates in Debate as an extracurricular activity.
Student S15652 named Jacob Jackson, age 17, gender Female, is in Class 10. Scored 50 in Math, 93 in Science, 86 in English, 30 in History, and 97 in Computer, totaling 356 marks with Grade C. Attendance stands at 74.79 percent. Participates in Drama as an extracurricular activity.
Student S15666 named Maxwell Freeman, age 13, gender Female, is in Class 10. Scored 79 in Math, 78 in Science, 60 in English, 52 in History, and 63 in Computer, totaling 332 marks with Grade C. Attendance stands at 95.62 percent. Participates in Debate as an extracurricular activity.
Student S15672 named Richard Farley, age 10, gender Female, is in Class 10. Scored 35 in Math, 63 in Science, 57 in English, 99 in History, and 32 in Computer, totaling 286 marks with Grade D. Attendance stands at 87.00 percent. Participates in Debate as an extracurricular activity.
Student S15683 named Phillip Bell, age 12, gender Female, is in Class 10. Scored 97 in Math, 49 in Science, 40 in English, 89 in History, and 38 in Computer, totaling 313 marks with Grade C. Attendance stands at 82.80 percent. Participates in Debate as an extracurricular activity.
Student S15689 named Shawn Hill, age 17, gender Male, is in Class 10. Scored 89 in Math, 34 in Science, 62 in English, 84 in History, and 48 in Computer, totaling 317 marks with Grade C. Attendance stands at 84.98 percent. Participates in Music as an extracurricular activity.
Student S15696 named Jesse Wood, age 12, gender Male, is in Class 10. Scored 89 in Math, 31 in Science, 90 in English, 80 in History, and 74 in Computer, totaling 364 marks with Grade C. Attendance stands at 88.61 percent. Participates in None as an extracurricular activity.
Student S15697 named Christopher Johnston, age 12, gender Male, is in Class 10. Scored 96 in Math, 32 in Science, 74 in English, 90 in History, and 35 in Computer, totaling 327 marks with Grade C. Attendance stands at 92.29 percent. Participates in Debate as an extracurricular activity.
Student S15699 named Stacy Galloway, age 13, gender Female, is in Class 10. Scored 38 in Math, 83 in Science, 31 in English, 54 in History, and 98 in Computer, totaling 304 marks with Grade C. Attendance stands at 63.05 percent. Participates in Debate as an extracurricular activity.
Student S15710 named Theresa Harrell, age 13, gender Male, is in Class 10. Scored 44 in Math, 81 in Science, 97 in English, 82 in History, and 83 in Computer, totaling 387 marks with Grade C. Attendance stands at 76.14 percent. Participates in None as an extracurricular activity.
Student S15718 named Scott Richardson, age 12, gender Female, is in Class 10. Scored 98 in Math, 99 in Science, 87 in English, 58 in History, and 86 in Computer, totaling 428 marks with Grade B. Attendance stands at 94.97 percent. Participates in Debate as an extracurricular activity.
Student S15719 named Kristi Cisneros, age 17, gender Male, is in Class 10. Scored 45 in Math, 94 in Science, 78 in English, 35 in History, and 85 in Computer, totaling 337 marks with Grade C. Attendance stands at 70.11 percent. Participates in Debate as an extracurricular activity.
Student S15724 named Margaret Smith, age 11, gender Female, is in Class 10. Scored 77 in Math, 87 in Science, 44 in English, 36 in History, and 44 in Computer, totaling 288 marks with Grade D. Attendance stands at 60.51 percent. Participates in Drama as an extracurricular activity.
Student S15731 named John Carlson, age 17, gender Female, is in Class 10. Scored 92 in Math, 80 in Science, 66 in English, 35 in History, and 41 in Computer, totaling 314 marks with Grade C. Attendance stands at 82.90 percent. Participates in Music as an extracurricular activity.
Student S15736 named Dawn Price, age 15, gender Female, is in Class 10. Scored 50 in Math, 94 in Science, 45 in English, 43 in History, and 39 in Computer, totaling 271 marks with Grade D. Attendance stands at 90.08 percent. Participates in Football as an extracurricular activity.
Student S15739 named Carolyn Gutierrez, age 10, gender Female, is in Class 10. Scored 33 in Math, 63 in Science, 58 in English, 37 in History, and 89 in Computer, totaling 280 marks with Grade D. Attendance stands at 85.33 percent. Participates in Dance as an extracurricular activity.
Student S15753 named Kimberly Castro, age 16, gender Male, is in Class 10. Scored 88 in Math, 41 in Science, 58 in English, 40 in History, and 61 in Computer, totaling 288 marks with Grade D. Attendance stands at 95.91 percent. Participates in Music as an extracurricular activity.
Student S15755 named Victoria Guerrero, age 11, gender Female, is in Class 10. Scored 45 in Math, 93 in Science, 48 in English, 83 in History, and 96 in Computer, totaling 365 marks with Grade C. Attendance stands at 85.28 percent. Participates in Debate as an extracurricular activity.
Student S15768 named Melissa Burton, age 15, gender Male, is in Class 10. Scored 92 in Math, 39 in Science, 62 in English, 34 in History, and 90 in Computer, totaling 317 marks with Grade C. Attendance stands at 87.86 percent. Participates in Music as an extracurricular activity.
Student S15779 named Sarah Wood, age 14, gender Female, is in Class 10. Scored 70 in Math, 48 in Science, 92 in English, 37 in History, and 68 in Computer, totaling 315 marks with Grade C. Attendance stands at 70.48 percent. Participates in Drama as an extracurricular activity.
Student S15781 named Allison Wolfe, age 15, gender Male, is in Class 10. Scored 65 in Math, 93 in Science, 71 in English, 84 in History, and 59 in Computer, totaling 372 marks with Grade C. Attendance stands at 88.47 percent. Participates in Dance as an extracurricular activity.
Student S15782 named Jennifer Li, age 14, gender Male, is in Class 10. Scored 56 in Math, 76 in Science, 92 in English, 59 in History, and 58 in Computer, totaling 341 marks with Grade C. Attendance stands at 95.94 percent. Participates in None as an extracurricular activity.
Student S15805 named Christina Smith, age 11, gender Female, is in Class 10. Scored 52 in Math, 33 in Science, 82 in English, 58 in History, and 62 in Computer, totaling 287 marks with Grade D. Attendance stands at 85.39 percent. Participates in Music as an extracurricular activity.
Student S15821 named Sandra Ibarra, age 10, gender Female, is in Class 10. Scored 76 in Math, 76 in Science, 34 in English, 44 in History, and 86 in Computer, totaling 316 marks with Grade C. Attendance stands at 69.51 percent. Participates in Football as an extracurricular activity.
Student S15838 named Amy Buck, age 11, gender Male, is in Class 10. Scored 30 in Math, 96 in Science, 39 in English, 61 in History, and 66 in Computer, totaling 292 marks with Grade D. Attendance stands at 96.87 percent. Participates in Debate as an extracurricular activity.
Student S15846 named Bruce Lee, age 11, gender Female, is in Class 10. Scored 67 in Math, 33 in Science, 76 in English, 55 in History, and 77 in Computer, totaling 308 marks with Grade C. Attendance stands at 96.40 percent. Participates in Dance as an extracurricular activity.
Student S15864 named Natalie Caldwell, age 12, gender Female, is in Class 10. Scored 78 in Math, 79 in Science, 64 in English, 91 in History, and 46 in Computer, totaling 358 marks with Grade C. Attendance stands at 88.19 percent. Participates in None as an extracurricular activity.
Student S15890 named John Foley, age 15, gender Female, is in Class 10. Scored 41 in Math, 65 in Science, 62 in English, 83 in History, and 51 in Computer, totaling 302 marks with Grade C. Attendance stands at 84.74 percent. Participates in Dance as an extracurricular activity.
Student S15892 named Kara Butler, age 16, gender Male, is in Class 10. Scored 86 in Math, 65 in Science, 74 in English, 68 in History, and 58 in Computer, totaling 351 marks with Grade C. Attendance stands at 63.55 percent. Participates in Music as an extracurricular activity.
Student S15896 named Christian Bates, age 11, gender Female, is in Class 10. Scored 31 in Math, 77 in Science, 80 in English, 55 in History, and 37 in Computer, totaling 280 marks with Grade D. Attendance stands at 63.80 percent. Participates in Dance as an extracurricular activity.
Student S15904 named Robert Ellis, age 17, gender Female, is in Class 10. Scored 53 in Math, 48 in Science, 41 in English, 39 in History, and 85 in Computer, totaling 266 marks with Grade D. Attendance stands at 94.82 percent. Participates in Drama as an extracurricular activity.
Student S15907 named Leslie Blevins, age 13, gender Male, is in Class 10. Scored 47 in Math, 58 in Science, 62 in English, 41 in History, and 77 in Computer, totaling 285 marks with Grade D. Attendance stands at 64.37 percent. Participates in Dance as an extracurricular activity.
Student S15910 named Robert Moreno, age 11, gender Female, is in Class 10. Scored 95 in Math, 45 in Science, 36 in English, 94 in History, and 67 in Computer, totaling 337 marks with Grade C. Attendance stands at 74.50 percent. Participates in Debate as an extracurricular activity.
Student S15912 named Megan Smith, age 13, gender Male, is in Class 10. Scored 55 in Math, 69 in Science, 60 in English, 35 in History, and 93 in Computer, totaling 312 marks with Grade C. Attendance stands at 76.71 percent. Participates in Dance as an extracurricular activity.
Student S15918 named Michael Mccann, age 12, gender Male, is in Class 10. Scored 53 in Math, 73 in Science, 80 in English, 78 in History, and 34 in Computer, totaling 318 marks with Grade C. Attendance stands at 70.14 percent. Participates in None as an extracurricular activity.
Student S15928 named Daniel Crawford, age 11, gender Female, is in Class 10. Scored 46 in Math, 40 in Science, 33 in English, 47 in History, and 51 in Computer, totaling 217 marks with Grade D. Attendance stands at 73.54 percent. Participates in Music as an extracurricular activity.
Student S15945 named Erin Fitzpatrick, age 14, gender Female, is in Class 10. Scored 87 in Math, 61 in Science, 45 in English, 54 in History, and 37 in Computer, totaling 284 marks with Grade D. Attendance stands at 71.74 percent. Participates in None as an extracurricular activity.
Student S15960 named Sharon Hall, age 11, gender Male, is in Class 10. Scored 53 in Math, 91 in Science, 62 in English, 77 in History, and 64 in Computer, totaling 347 marks with Grade C. Attendance stands at 89.99 percent. Participates in Debate as an extracurricular activity.
Student S15969 named Samuel Casey, age 10, gender Female, is in Class 10. Scored 95 in Math, 82 in Science, 45 in English, 64 in History, and 68 in Computer, totaling 354 marks with Grade C. Attendance stands at 83.10 percent. Participates in Drama as an extracurricular activity.
Student S15980 named Tina Hamilton, age 16, gender Male, is in Class 10. Scored 46 in Math, 79 in Science, 41 in English, 39 in History, and 57 in Computer, totaling 262 marks with Grade D. Attendance stands at 70.22 percent. Participates in Football as an extracurricular activity.
Student S15981 named Kelli English, age 17, gender Male, is in Class 10. Scored 81 in Math, 89 in Science, 79 in English, 32 in History, and 88 in Computer, totaling 369 marks with Grade C. Attendance stands at 72.92 percent. Participates in Debate as an extracurricular activity.
Student S15996 named Heather Baker, age 11, gender Female, is in Class 10. Scored 30 in Math, 41 in Science, 85 in English, 83 in History, and 44 in Computer, totaling 283 marks with Grade D. Attendance stands at 72.53 percent. Participates in Music as an extracurricular activity.
Student S16010 named Randy Mills, age 11, gender Male, is in Class 10. Scored 32 in Math, 74 in Science, 96 in English, 55 in History, and 54 in Computer, totaling 311 marks with Grade C. Attendance stands at 74.81 percent. Participates in Dance as an extracurricular activity.
Student S16016 named Benjamin Roman, age 15, gender Male, is in Class 10. Scored 58 in Math, 76 in Science, 41 in English, 64 in History, and 83 in Computer, totaling 322 marks with Grade C. Attendance stands at 66.33 percent. Participates in Dance as an extracurricular activity.
Student S16019 named Tom Boone, age 14, gender Female, is in Class 10. Scored 32 in Math, 39 in Science, 58 in English, 44 in History, and 31 in Computer, totaling 204 marks with Grade D. Attendance stands at 91.22 percent. Participates in Drama as an extracurricular activity.
Student S16021 named Melissa Hayes, age 11, gender Male, is in Class 10. Scored 87 in Math, 57 in Science, 86 in English, 55 in History, and 71 in Computer, totaling 356 marks with Grade C. Attendance stands at 64.85 percent. Participates in Drama as an extracurricular activity.
Student S16025 named Karen Pierce, age 13, gender Male, is in Class 10. Scored 98 in Math, 35 in Science, 73 in English, 96 in History, and 36 in Computer, totaling 338 marks with Grade C. Attendance stands at 89.45 percent. Participates in None as an extracurricular activity.
Student S16027 named Gary Jackson, age 14, gender Male, is in Class 10. Scored 87 in Math, 35 in Science, 53 in English, 38 in History, and 91 in Computer, totaling 304 marks with Grade C. Attendance stands at 63.23 percent. Participates in Dance as an extracurricular activity.
Student S16037 named Robert Whitehead, age 16, gender Male, is in Class 10. Scored 89 in Math, 64 in Science, 41 in English, 81 in History, and 30 in Computer, totaling 305 marks with Grade C. Attendance stands at 95.17 percent. Participates in Drama as an extracurricular activity.
Student S16044 named Brittany Evans, age 17, gender Female, is in Class 10. Scored 79 in Math, 37 in Science, 93 in English, 79 in History, and 98 in Computer, totaling 386 marks with Grade C. Attendance stands at 95.06 percent. Participates in Music as an extracurricular activity.
Student S16050 named Melissa Lang, age 13, gender Female, is in Class 10. Scored 70 in Math, 46 in Science, 58 in English, 76 in History, and 35 in Computer, totaling 285 marks with Grade D. Attendance stands at 98.00 percent. Participates in Debate as an extracurricular activity.
Student S16051 named Stephanie Sanchez, age 12, gender Male, is in Class 10. Scored 66 in Math, 53 in Science, 38 in English, 82 in History, and 33 in Computer, totaling 272 marks with Grade D. Attendance stands at 62.08 percent. Participates in Dance as an extracurricular activity.
Student S16077 named Jordan Jones, age 13, gender Male, is in Class 10. Scored 46 in Math, 48 in Science, 53 in English, 70 in History, and 52 in Computer, totaling 269 marks with Grade D. Attendance stands at 97.27 percent. Participates in Music as an extracurricular activity.
Student S16081 named Terry Ferguson, age 11, gender Male, is in Class 10. Scored 30 in Math, 49 in Science, 96 in English, 88 in History, and 93 in Computer, totaling 356 marks with Grade C. Attendance stands at 92.00 percent. Participates in Debate as an extracurricular activity.
Student S16082 named Julia Carpenter, age 11, gender Male, is in Class 10. Scored 86 in Math, 79 in Science, 72 in English, 50 in History, and 85 in Computer, totaling 372 marks with Grade C. Attendance stands at 88.04 percent. Participates in Drama as an extracurricular activity.
Student S16084 named Gregory Brown, age 14, gender Female, is in Class 10. Scored 67 in Math, 77 in Science, 36 in English, 64 in History, and 32 in Computer, totaling 276 marks with Grade D. Attendance stands at 83.17 percent. Participates in Debate as an extracurricular activity.
Student S16107 named Ashley Heath, age 11, gender Male, is in Class 10. Scored 52 in Math, 81 in Science, 81 in English, 35 in History, and 54 in Computer, totaling 303 marks with Grade C. Attendance stands at 79.07 percent. Participates in Drama as an extracurricular activity.
Student S16113 named Ann Snyder, age 13, gender Female, is in Class 10. Scored 64 in Math, 82 in Science, 89 in English, 34 in History, and 60 in Computer, totaling 329 marks with Grade C. Attendance stands at 78.34 percent. Participates in Music as an extracurricular activity.
Student S16121 named Keith Wyatt, age 16, gender Female, is in Class 10. Scored 80 in Math, 71 in Science, 64 in English, 37 in History, and 99 in Computer, totaling 351 marks with Grade C. Attendance stands at 68.02 percent. Participates in Music as an extracurricular activity.
Student S16132 named Brian Gill, age 15, gender Male, is in Class 10. Scored 93 in Math, 42 in Science, 44 in English, 58 in History, and 39 in Computer, totaling 276 marks with Grade D. Attendance stands at 73.52 percent. Participates in Football as an extracurricular activity.
Student S16135 named Michelle Parks, age 12, gender Female, is in Class 10. Scored 82 in Math, 45 in Science, 65 in English, 64 in History, and 41 in Computer, totaling 297 marks with Grade D. Attendance stands at 90.64 percent. Participates in Football as an extracurricular activity.
Student S16150 named Sara Johnson, age 15, gender Male, is in Class 10. Scored 34 in Math, 62 in Science, 32 in English, 45 in History, and 58 in Computer, totaling 231 marks with Grade D. Attendance stands at 94.12 percent. Participates in Debate as an extracurricular activity.
Student S16166 named Brandon Torres, age 11, gender Female, is in Class 10. Scored 42 in Math, 68 in Science, 93 in English, 41 in History, and 50 in Computer, totaling 294 marks with Grade D. Attendance stands at 71.37 percent. Participates in Debate as an extracurricular activity.
Student S16180 named Daniel Rhodes, age 15, gender Female, is in Class 10. Scored 85 in Math, 53 in Science, 48 in English, 40 in History, and 86 in Computer, totaling 312 marks with Grade C. Attendance stands at 89.19 percent. Participates in Debate as an extracurricular activity.
Student S16182 named Jeffery Richardson, age 13, gender Female, is in Class 10. Scored 94 in Math, 33 in Science, 58 in English, 93 in History, and 36 in Computer, totaling 314 marks with Grade C. Attendance stands at 85.27 percent. Participates in Drama as an extracurricular activity.
Student S16185 named Shawna Douglas, age 11, gender Male, is in Class 10. Scored 67 in Math, 56 in Science, 70 in English, 54 in History, and 91 in Computer, totaling 338 marks with Grade C. Attendance stands at 66.26 percent. Participates in Drama as an extracurricular activity.
Student S16196 named Austin Walters, age 13, gender Female, is in Class 10. Scored 51 in Math, 42 in Science, 75 in English, 72 in History, and 35 in Computer, totaling 275 marks with Grade D. Attendance stands at 74.18 percent. Participates in Football as an extracurricular activity.
Student S16202 named Judy Smith, age 16, gender Female, is in Class 10. Scored 39 in Math, 32 in Science, 85 in English, 78 in History, and 65 in Computer, totaling 299 marks with Grade D. Attendance stands at 86.18 percent. Participates in Debate as an extracurricular activity.
Student S16210 named Linda Frank, age 12, gender Male, is in Class 10. Scored 59 in Math, 48 in Science, 69 in English, 78 in History, and 42 in Computer, totaling 296 marks with Grade D. Attendance stands at 76.64 percent. Participates in None as an extracurricular activity.
Student S16212 named Erik Graham PhD, age 10, gender Female, is in Class 10. Scored 90 in Math, 55 in Science, 69 in English, 49 in History, and 35 in Computer, totaling 298 marks with Grade D. Attendance stands at 81.43 percent. Participates in Debate as an extracurricular activity.
Student S16219 named Tara Davis, age 12, gender Female, is in Class 10. Scored 52 in Math, 38 in Science, 50 in English, 43 in History, and 76 in Computer, totaling 259 marks with Grade D. Attendance stands at 78.90 percent. Participates in Dance as an extracurricular activity.
Student S16229 named Alex Stout, age 13, gender Female, is in Class 10. Scored 75 in Math, 32 in Science, 32 in English, 38 in History, and 94 in Computer, totaling 271 marks with Grade D. Attendance stands at 67.00 percent. Participates in None as an extracurricular activity.
Student S16230 named John Moore, age 10, gender Male, is in Class 10. Scored 61 in Math, 38 in Science, 44 in English, 46 in History, and 76 in Computer, totaling 265 marks with Grade D. Attendance stands at 61.83 percent. Participates in Debate as an extracurricular activity.
Student S16235 named Scott Clay, age 17, gender Female, is in Class 10. Scored 84 in Math, 71 in Science, 76 in English, 68 in History, and 48 in Computer, totaling 347 marks with Grade C. Attendance stands at 94.09 percent. Participates in Drama as an extracurricular activity.
Student S16240 named Andrew Phillips, age 13, gender Female, is in Class 10. Scored 77 in Math, 43 in Science, 49 in English, 88 in History, and 66 in Computer, totaling 323 marks with Grade C. Attendance stands at 97.46 percent. Participates in Football as an extracurricular activity.
Student S16273 named Sherry Collier, age 14, gender Female, is in Class 10. Scored 79 in Math, 92 in Science, 83 in English, 36 in History, and 97 in Computer, totaling 387 marks with Grade C. Attendance stands at 95.19 percent. Participates in Football as an extracurricular activity.
Student S16274 named Billy Ford, age 10, gender Male, is in Class 10. Scored 61 in Math, 52 in Science, 74 in English, 82 in History, and 50 in Computer, totaling 319 marks with Grade C. Attendance stands at 66.44 percent. Participates in Football as an extracurricular activity.
Student S16282 named Lacey Johnston, age 11, gender Male, is in Class 10. Scored 69 in Math, 80 in Science, 39 in English, 51 in History, and 35 in Computer, totaling 274 marks with Grade D. Attendance stands at 83.56 percent. Participates in Football as an extracurricular activity.
Student S16293 named Cody Hooper, age 13, gender Male, is in Class 10. Scored 58 in Math, 86 in Science, 83 in English, 35 in History, and 38 in Computer, totaling 300 marks with Grade D. Attendance stands at 79.29 percent. Participates in Drama as an extracurricular activity.
Student S16298 named Heather Wallace, age 12, gender Male, is in Class 10. Scored 94 in Math, 41 in Science, 48 in English, 31 in History, and 65 in Computer, totaling 279 marks with Grade D. Attendance stands at 86.39 percent. Participates in Football as an extracurricular activity.
Student S16303 named Natalie Vincent, age 15, gender Male, is in Class 10. Scored 37 in Math, 90 in Science, 42 in English, 41 in History, and 82 in Computer, totaling 292 marks with Grade D. Attendance stands at 70.09 percent. Participates in Music as an extracurricular activity.
Student S16305 named Tina Watson, age 15, gender Female, is in Class 10. Scored 31 in Math, 77 in Science, 91 in English, 91 in History, and 85 in Computer, totaling 375 marks with Grade C. Attendance stands at 60.16 percent. Participates in Music as an extracurricular activity.
Student S16309 named Cynthia Mcbride, age 10, gender Female, is in Class 10. Scored 87 in Math, 65 in Science, 75 in English, 87 in History, and 86 in Computer, totaling 400 marks with Grade C. Attendance stands at 97.34 percent. Participates in Football as an extracurricular activity.
Student S16345 named Jessica Harrell, age 15, gender Male, is in Class 10. Scored 38 in Math, 59 in Science, 96 in English, 47 in History, and 92 in Computer, totaling 332 marks with Grade C. Attendance stands at 61.92 percent. Participates in Drama as an extracurricular activity.
Student S16368 named Heidi Brown, age 16, gender Female, is in Class 10. Scored 83 in Math, 34 in Science, 57 in English, 65 in History, and 69 in Computer, totaling 308 marks with Grade C. Attendance stands at 90.92 percent. Participates in Music as an extracurricular activity.
Student S16369 named James Holmes, age 12, gender Male, is in Class 10. Scored 73 in Math, 83 in Science, 90 in English, 92 in History, and 45 in Computer, totaling 383 marks with Grade C. Attendance stands at 73.28 percent. Participates in Dance as an extracurricular activity.
Student S16380 named Nathaniel Henderson, age 14, gender Male, is in Class 10. Scored 74 in Math, 87 in Science, 49 in English, 93 in History, and 35 in Computer, totaling 338 marks with Grade C. Attendance stands at 74.00 percent. Participates in Dance as an extracurricular activity.
Student S16385 named Ruben Evans, age 16, gender Female, is in Class 10. Scored 76 in Math, 95 in Science, 76 in English, 54 in History, and 35 in Computer, totaling 336 marks with Grade C. Attendance stands at 75.19 percent. Participates in None as an extracurricular activity.
Student S16388 named Rachel Salazar, age 11, gender Female, is in Class 10. Scored 71 in Math, 77 in Science, 74 in English, 35 in History, and 59 in Computer, totaling 316 marks with Grade C. Attendance stands at 67.82 percent. Participates in Dance as an extracurricular activity.
Student S16393 named Cheryl Davis, age 11, gender Male, is in Class 10. Scored 94 in Math, 74 in Science, 79 in English, 90 in History, and 61 in Computer, totaling 398 marks with Grade C. Attendance stands at 89.83 percent. Participates in Football as an extracurricular activity.
Student S16401 named Scott Waters, age 12, gender Male, is in Class 10. Scored 72 in Math, 89 in Science, 45 in English, 66 in History, and 59 in Computer, totaling 331 marks with Grade C. Attendance stands at 92.34 percent. Participates in Debate as an extracurricular activity.
Student S16414 named Raymond Reyes, age 14, gender Female, is in Class 10. Scored 88 in Math, 77 in Science, 80 in English, 34 in History, and 32 in Computer, totaling 311 marks with Grade C. Attendance stands at 99.87 percent. Participates in Football as an extracurricular activity.
Student S16437 named Michael Mays, age 11, gender Male, is in Class 10. Scored 77 in Math, 68 in Science, 94 in English, 87 in History, and 36 in Computer, totaling 362 marks with Grade C. Attendance stands at 65.84 percent. Participates in Dance as an extracurricular activity.
Student S16438 named William Weaver, age 17, gender Male, is in Class 10. Scored 57 in Math, 33 in Science, 45 in English, 43 in History, and 38 in Computer, totaling 216 marks with Grade D. Attendance stands at 79.93 percent. Participates in None as an extracurricular activity.
Student S16443 named Jessica Flynn, age 15, gender Female, is in Class 10. Scored 42 in Math, 50 in Science, 93 in English, 35 in History, and 47 in Computer, totaling 267 marks with Grade D. Attendance stands at 67.04 percent. Participates in Dance as an extracurricular activity.
Student S16454 named Teresa Fleming, age 12, gender Male, is in Class 10. Scored 38 in Math, 78 in Science, 54 in English, 93 in History, and 38 in Computer, totaling 301 marks with Grade C. Attendance stands at 61.28 percent. Participates in Debate as an extracurricular activity.
Student S16467 named Derrick Wilson, age 17, gender Male, is in Class 10. Scored 33 in Math, 69 in Science, 33 in English, 48 in History, and 35 in Computer, totaling 218 marks with Grade D. Attendance stands at 73.91 percent. Participates in Football as an extracurricular activity.
Student S16473 named Dominique Robinson, age 10, gender Female, is in Class 10. Scored 99 in Math, 63 in Science, 99 in English, 77 in History, and 77 in Computer, totaling 415 marks with Grade B. Attendance stands at 95.36 percent. Participates in Music as an extracurricular activity.
Student S16476 named Susan Cox, age 15, gender Male, is in Class 10. Scored 30 in Math, 45 in Science, 84 in English, 75 in History, and 67 in Computer, totaling 301 marks with Grade C. Attendance stands at 85.55 percent. Participates in Debate as an extracurricular activity.
Student S16481 named Ruth Nelson, age 13, gender Female, is in Class 10. Scored 85 in Math, 34 in Science, 65 in English, 90 in History, and 41 in Computer, totaling 315 marks with Grade C. Attendance stands at 65.50 percent. Participates in Football as an extracurricular activity.
Student S16495 named Danielle Ho, age 16, gender Male, is in Class 10. Scored 42 in Math, 31 in Science, 63 in English, 92 in History, and 65 in Computer, totaling 293 marks with Grade D. Attendance stands at 71.55 percent. Participates in Debate as an extracurricular activity.
Student S16512 named Jason Cooke, age 17, gender Male, is in Class 10. Scored 73 in Math, 70 in Science, 71 in English, 36 in History, and 72 in Computer, totaling 322 marks with Grade C. Attendance stands at 64.62 percent. Participates in Football as an extracurricular activity.
Student S16514 named Natalie Cole, age 15, gender Male, is in Class 10. Scored 38 in Math, 93 in Science, 72 in English, 69 in History, and 63 in Computer, totaling 335 marks with Grade C. Attendance stands at 62.36 percent. Participates in Dance as an extracurricular activity.
Student S16527 named Morgan Smith, age 13, gender Female, is in Class 10. Scored 57 in Math, 46 in Science, 54 in English, 81 in History, and 93 in Computer, totaling 331 marks with Grade C. Attendance stands at 91.56 percent. Participates in Football as an extracurricular activity.
Student S16532 named Peter Hawkins, age 13, gender Female, is in Class 10. Scored 64 in Math, 93 in Science, 32 in English, 98 in History, and 35 in Computer, totaling 322 marks with Grade C. Attendance stands at 77.20 percent. Participates in Debate as an extracurricular activity.
Student S16543 named Tina Zavala, age 17, gender Male, is in Class 10. Scored 38 in Math, 60 in Science, 90 in English, 45 in History, and 78 in Computer, totaling 311 marks with Grade C. Attendance stands at 85.46 percent. Participates in Music as an extracurricular activity.
Student S16547 named Natasha Campbell, age 11, gender Female, is in Class 10. Scored 79 in Math, 96 in Science, 69 in English, 81 in History, and 69 in Computer, totaling 394 marks with Grade C. Attendance stands at 78.04 percent. Participates in Football as an extracurricular activity.
Student S16548 named Justin Johnson, age 11, gender Male, is in Class 10. Scored 33 in Math, 48 in Science, 63 in English, 48 in History, and 80 in Computer, totaling 272 marks with Grade D. Attendance stands at 69.65 percent. Participates in Drama as an extracurricular activity.
