Student S10008 named Valerie Smith, age 16, gender Female, is in Class 5. Scored 31 in Math, 85 in Science, 42 in English, 73 in History, and 43 in Computer, totaling 274 marks with Grade D. Attendance stands at 81.02 percent. Participates in Debate as an extracurricular activity.
Student S15680 named Heather Guzman, age 15, gender Female, is in Class 5. Scored 48 in Math, 93 in Science, 41 in English, 94 in History, and 55 in Computer, totaling 331 marks with Grade C. Attendance stands at 82.44 percent. Participates in None as an extracurricular activity.
Student S15695 named Amy Rodriguez, age 10, gender Female, is in Class 5. Scored 83 in Math, 97 in Science, 43 in English, 57 in History, and 66 in Computer, totaling 346 marks with Grade C. Attendance stands at 80.26 percent. Participates in None as an extracurricular activity.
Student S15706 named Christy Newman, age 17, gender Male, is in Class 5. Scored 92 in Math, 79 in Science, 55 in English, 70 in History, and 86 in Computer, totaling 382 marks with Grade C. Attendance stands at 90.24 percent. Participates in Drama as an extracurricular activity.
Student S15708 named Maria Green, age 15, gender Female, is in Class 5. Scored 52 in Math, 87 in Science, 92 in English, 31 in History, and 83 in Computer, totaling 345 marks with Grade C. Attendance stands at 70.95 percent. Participates in None as an extracurricular activity.
Student S15711 named Dan Ortiz, age 13, gender Male, is in Class 5. Scored 73 in Math, 31 in Science, 47 in English, 79 in History, and 85 in Computer, totaling 315 marks with Grade C. Attendance stands at 77.18 percent. Participates in None as an extracurricular activity.
Student S15722 named Caroline Day, age 11, gender Male, is in Class 5. Scored 97 in Math, 37 in Science, 80 in English, 86 in History, and 83 in Computer, totaling 383 marks with Grade C. Attendance stands at 63.34 percent. Participates in Football as an extracurricular activity.
Student S15725 named Mary Maxwell, age 17, gender Male, is in Class 5. Scored 75 in Math, 81 in Science, 31 in English, 89 in History, and 72 in Computer, totaling 348 marks with Grade C. Attendance stands at 66.37 percent. Participates in Music as an extracurricular activity.
Student S15727 named William Mcdonald, age 12, gender Male, is in Class 5. Scored 31 in Math, 40 in Science, 34 in English, 90 in History, and 42 in Computer, totaling 237 marks with Grade D. Attendance stands at 77.08 percent. Participates in Dance as an extracurricular activity.
Student S15733 named Jason Ramirez, age 11, gender Male, is in Class 5. Scored 97 in Math, 63 in Science, 95 in English, 79 in History, and 65 in Computer, totaling 399 marks with Grade C. Attendance stands at 76.67 percent. Participates in Dance as an extracurricular activity.
Student S15735 named Ricky Kirk DDS, age 17, gender Male, is in Class 5. Scored 73 in Math, 41 in Science, 61 in English, 85 in History, and 37 in Computer, totaling 297 marks with Grade D. Attendance stands at 80.29 percent. Participates in Drama as an extracurricular activity.
Student S15738 named Michael Santana, age 11, gender Male, is in Class 5. Scored 70 in Math, 67 in Science, 81 in English, 33 in History, and 72 in Computer, totaling 323 marks with Grade C. Attendance stands at 80.63 percent. Participates in Football as an extracurricular activity.
Student S15760 named Jonathan Hardy, age 10, gender Female, is in Class 5. Scored 93 in Math, 64 in Science, 46 in English, 76 in History, and 68 in Computer, totaling 347 marks with Grade C. Attendance stands at 73.25 percent. Participates in Drama as an extracurricular activity.
Student S15762 named Rachel Harvey, age 11, gender Male, is in Class 5. Scored 68 in Math, 89 in Science, 87 in English, 30 in History, and 56 in Computer, totaling 330 marks with Grade C. Attendance stands at 80.97 percent. Participates in Debate as an extracurricular activity.
Student S15772 named Benjamin Oneill, age 13, gender Male, is in Class 5. Scored 81 in Math, 53 in Science, 71 in English, 60 in History, and 95 in Computer, totaling 360 marks with Grade C. Attendance stands at 70.31 percent. Participates in Football as an extracurricular activity.
Student S15780 named Kimberly Simon, age 13, gender Female, is in Class 5. Scored 52 in Math, 44 in Science, 43 in English, 84 in History, and 34 in Computer, totaling 257 marks with Grade D. Attendance stands at 84.32 percent. Participates in None as an extracurricular activity.
Student S15794 named William Hall, age 16, gender Female, is in Class 5. Scored 50 in Math, 90 in Science, 84 in English, 66 in History, and 69 in Computer, totaling 359 marks with Grade C. Attendance stands at 67.79 percent. Participates in Football as an extracurricular activity.
Student S15801 named Michael Johnson, age 10, gender Female, is in Class 5. Scored 87 in Math, 81 in Science, 83 in English, 59 in History, and 52 in Computer, totaling 362 marks with Grade C. Attendance stands at 78.65 percent. Participates in Drama as an extracurricular activity.
Student S15807 named Stephanie Hanson, age 12, gender Male, is in Class 5. Scored 76 in Math, 98 in Science, 81 in English, 97 in History, and 63 in Computer, totaling 415 marks with Grade B. Attendance stands at 99.38 percent. Participates in Debate as an extracurricular activity.
Student S15808 named Douglas Wilson, age 16, gender Male, is in Class 5. Scored 77 in Math, 37 in Science, 38 in English, 32 in History, and 91 in Computer, totaling 275 marks with Grade D. Attendance stands at 75.55 percent. Participates in Debate as an extracurricular activity.
Student S15811 named Judy Burns, age 17, gender Male, is in Class 5. Scored 43 in Math, 57 in Science, 43 in English, 52 in History, and 65 in Computer, totaling 260 marks with Grade D. Attendance stands at 88.19 percent. Participates in None as an extracurricular activity.
Student S15823 named Lisa Smith, age 12, gender Male, is in Class 5. Scored 35 in Math, 39 in Science, 62 in English, 95 in History, and 46 in Computer, totaling 277 marks with Grade D. Attendance stands at 63.24 percent. Participates in Music as an extracurricular activity.
Student S15832 named Brenda Johnson, age 11, gender Female, is in Class 5. Scored 36 in Math, 83 in Science, 64 in English, 39 in History, and 50 in Computer, totaling 272 marks with Grade D. Attendance stands at 87.71 percent. Participates in Debate as an extracurricular activity.
Student S15849 named Jessica Hill, age 14, gender Male, is in Class 5. Scored 64 in Math, 65 in Science, 55 in English, 92 in History, and 82 in Computer, totaling 358 marks with Grade C. Attendance stands at 79.50 percent. Participates in None as an extracurricular activity.
Student S15855 named Jennifer Stevens, age 15, gender Female, is in Class 5. Scored 33 in Math, 98 in Science, 58 in English, 32 in History, and 36 in Computer, totaling 257 marks with Grade D. Attendance stands at 88.89 percent. Participates in Debate as an extracurricular activity.
Student S15858 named Mrs. Tanya Carroll, age 14, gender Female, is in Class 5. Scored 34 in Math, 98 in Science, 51 in English, 54 in History, and 75 in Computer, totaling 312 marks with Grade C. Attendance stands at 72.80 percent. Participates in Debate as an extracurricular activity.
Student S15863 named Kristine Smith, age 16, gender Male, is in Class 5. Scored 44 in Math, 40 in Science, 93 in English, 72 in History, and 98 in Computer, totaling 347 marks with Grade C. Attendance stands at 64.92 percent. Participates in Dance as an extracurricular activity.
Student S15870 named Suzanne Mclean, age 17, gender Male, is in Class 5. Scored 32 in Math, 92 in Science, 31 in English, 63 in History, and 98 in Computer, totaling 316 marks with Grade C. Attendance stands at 88.12 percent. Participates in Dance as an extracurricular activity.
Student S15889 named Ariel Garza, age 11, gender Male, is in Class 5. Scored 86 in Math, 31 in Science, 35 in English, 84 in History, and 42 in Computer, totaling 278 marks with Grade D. Attendance stands at 69.41 percent. Participates in Dance as an extracurricular activity.
Student S15891 named Tiffany Barber, age 15, gender Female, is in Class 5. Scored 76 in Math, 61 in Science, 53 in English, 74 in History, and 73 in Computer, totaling 337 marks with Grade C. Attendance stands at 62.58 percent. Participates in None as an extracurricular activity.
Student S15893 named Roy Rios, age 12, gender Male, is in Class 5. Scored 92 in Math, 95 in Science, 54 in English, 50 in History, and 47 in Computer, totaling 338 marks with Grade C. Attendance stands at 63.11 percent. Participates in Football as an extracurricular activity.
Student S15899 named Terry Knox, age 13, gender Male, is in Class 5. Scored 76 in Math, 60 in Science, 67 in English, 91 in History, and 43 in Computer, totaling 337 marks with Grade C. Attendance stands at 96.60 percent. Participates in None as an extracurricular activity.
Student S15922 named Justin Sutton, age 13, gender Female, is in Class 5. Scored 32 in Math, 49 in Science, 98 in English, 66 in History, and 46 in Computer, totaling 291 marks with Grade D. Attendance stands at 87.09 percent. Participates in Dance as an extracurricular activity.
Student S15927 named Katherine Newman, age 13, gender Male, is in Class 5. Scored 31 in Math, 80 in Science, 93 in English, 77 in History, and 49 in Computer, totaling 330 marks with Grade C. Attendance stands at 69.99 percent. Participates in Music as an extracurricular activity.
Student S15932 named Mark Castillo, age 11, gender Male, is in Class 5. Scored 97 in Math, 76 in Science, 87 in English, 37 in History, and 56 in Computer, totaling 353 marks with Grade C. Attendance stands at 82.19 percent. Participates in Debate as an extracurricular activity.
Student S15940 named Anthony Franklin, age 11, gender Female, is in Class 5. Scored 43 in Math, 74 in Science, 94 in English, 68 in History, and 91 in Computer, totaling 370 marks with Grade C. Attendance stands at 65.71 percent. Participates in Football as an extracurricular activity.
Student S15941 named Gabriela Romero, age 11, gender Female, is in Class 5. Scored 40 in Math, 87 in Science, 71 in English, 65 in History, and 85 in Computer, totaling 348 marks with Grade C. Attendance stands at 92.40 percent. Participates in Debate as an extracurricular activity.
Student S15944 named Lori Mathews, age 15, gender Male, is in Class 5. Scored 51 in Math, 74 in Science, 53 in English, 88 in History, and 68 in Computer, totaling 334 marks with Grade C. Attendance stands at 89.90 percent. Participates in Debate as an extracurricular activity.
Student S15966 named Amanda Rodriguez, age 15, gender Male, is in Class 5. Scored 45 in Math, 48 in Science, 67 in English, 71 in History, and 36 in Computer, totaling 267 marks with Grade D. Attendance stands at 67.29 percent. Participates in None as an extracurricular activity.
Student S15967 named Alexis Mitchell, age 11, gender Female, is in Class 5. Scored 32 in Math, 44 in Science, 52 in English, 86 in History, and 87 in Computer, totaling 301 marks with Grade C. Attendance stands at 69.66 percent. Participates in Debate as an extracurricular activity.
Student S15973 named Allison Gibson, age 14, gender Male, is in Class 5. Scored 31 in Math, 53 in Science, 69 in English, 88 in History, and 68 in Computer, totaling 309 marks with Grade C. Attendance stands at 98.00 percent. Participates in Debate as an extracurricular activity.
Student S15975 named Allison Wilson, age 11, gender Male, is in Class 5. Scored 69 in Math, 76 in Science, 86 in English, 54 in History, and 53 in Computer, totaling 338 marks with Grade C. Attendance stands at 86.01 percent. Participates in None as an extracurricular activity.
Student S15978 named Gerald Richards, age 13, gender Female, is in Class 5. Scored 57 in Math, 42 in Science, 52 in English, 71 in History, and 41 in Computer, totaling 263 marks with Grade D. Attendance stands at 77.16 percent. Participates in Debate as an extracurricular activity.
Student S15991 named Jennifer Bates, age 15, gender Female, is in Class 5. Scored 50 in Math, 69 in Science, 62 in English, 63 in History, and 55 in Computer, totaling 299 marks with Grade D. Attendance stands at 80.91 percent. Participates in Dance as an extracurricular activity.
Student S16006 named Joseph Sandoval, age 14, gender Male, is in Class 5. Scored 71 in Math, 52 in Science, 98 in English, 35 in History, and 35 in Computer, totaling 291 marks with Grade D. Attendance stands at 60.48 percent. Participates in Drama as an extracurricular activity.
Student S16013 named Michael Duran, age 14, gender Male, is in Class 5. Scored 99 in Math, 94 in Science, 42 in English, 93 in History, and 46 in Computer, totaling 374 marks with Grade C. Attendance stands at 76.65 percent. Participates in Music as an extracurricular activity.
Student S16024 named Amanda Davis, age 14, gender Female, is in Class 5. Scored 76 in Math, 63 in Science, 46 in English, 48 in History, and 78 in Computer, totaling 311 marks with Grade C. Attendance stands at 89.00 percent. Participates in Music as an extracurricular activity.
Student S16031 named Heather Roberts, age 13, gender Female, is in Class 5. Scored 59 in Math, 97 in Science, 87 in English, 52 in History, and 65 in Computer, totaling 360 marks with Grade C. Attendance stands at 68.59 percent. Participates in Debate as an extracurricular activity.
Student S16032 named Teresa Morgan, age 16, gender Male, is in Class 5. Scored 88 in Math, 68 in Science, 78 in English, 49 in History, and 64 in Computer, totaling 347 marks with Grade C. Attendance stands at 70.60 percent. Participates in Drama as an extracurricular activity.
Student S16039 named Kaitlyn Murphy, age 15, gender Female, is in Class 5. Scored 42 in Math, 75 in Science, 71 in English, 46 in History, and 51 in Computer, totaling 285 marks with Grade D. Attendance stands at 91.70 percent. Participates in Dance as an extracurricular activity.
Student S16049 named Robert Peck, age 12, gender Female, is in Class 5. Scored 90 in Math, 58 in Science, 80 in English, 90 in History, and 60 in Computer, totaling 378 marks with Grade C. Attendance stands at 87.88 percent. Participates in Music as an extracurricular activity.
Student S16052 named Natalie Mitchell, age 16, gender Female, is in Class 5. Scored 64 in Math, 86 in Science, 64 in English, 90 in History, and 96 in Computer, totaling 400 marks with Grade C. Attendance stands at 66.35 percent. Participates in None as an extracurricular activity.
Student S16056 named Mrs. Jacqueline Chase, age 10, gender Male, is in Class 5. Scored 87 in Math, 43 in Science, 63 in English, 68 in History, and 78 in Computer, totaling 339 marks with Grade C. Attendance stands at 76.66 percent. Participates in Music as an extracurricular activity.
Student S16058 named Brent Long, age 17, gender Female, is in Class 5. Scored 54 in Math, 36 in Science, 81 in English, 53 in History, and 34 in Computer, totaling 258 marks with Grade D. Attendance stands at 89.74 percent. Participates in Football as an extracurricular activity.
Student S16076 named Marvin Long, age 11, gender Male, is in Class 5. Scored 58 in Math, 74 in Science, 96 in English, 51 in History, and 58 in Computer, totaling 337 marks with Grade C. Attendance stands at 97.97 percent. Participates in None as an extracurricular activity.
Student S16095 named Brenda Abbott, age 17, gender Female, is in Class 5. Scored 98 in Math, 92 in Science, 71 in English, 35 in History, and 81 in Computer, totaling 377 marks with Grade C. Attendance stands at 89.29 percent. Participates in Debate as an extracurricular activity.
Student S16105 named Steven Palmer, age 11, gender Female, is in Class 5. Scored 91 in Math, 35 in Science, 42 in English, 50 in History, and 99 in Computer, totaling 317 marks with Grade C. Attendance stands at 68.08 percent. Participates in Drama as an extracurricular activity.
Student S16111 named Lauren Preston, age 17, gender Female, is in Class 5. Scored 81 in Math, 40 in Science, 70 in English, 55 in History, and 41 in Computer, totaling 287 marks with Grade D. Attendance stands at 97.50 percent. Participates in Drama as an extracurricular activity.
Student S16119 named Kyle Stanley, age 15, gender Male, is in Class 5. Scored 64 in Math, 69 in Science, 96 in English, 87 in History, and 63 in Computer, totaling 379 marks with Grade C. Attendance stands at 83.47 percent. Participates in Music as an extracurricular activity.
Student S16120 named Jeremy Tanner, age 11, gender Female, is in Class 5. Scored 59 in Math, 72 in Science, 39 in English, 63 in History, and 84 in Computer, totaling 317 marks with Grade C. Attendance stands at 61.82 percent. Participates in Music as an extracurricular activity.
Student S16125 named Keith Lopez, age 17, gender Female, is in Class 5. Scored 41 in Math, 77 in Science, 46 in English, 83 in History, and 64 in Computer, totaling 311 marks with Grade C. Attendance stands at 99.18 percent. Participates in Drama as an extracurricular activity.
Student S16133 named Paul Burton DVM, age 12, gender Female, is in Class 5. Scored 31 in Math, 32 in Science, 90 in English, 44 in History, and 89 in Computer, totaling 286 marks with Grade D. Attendance stands at 79.55 percent. Participates in Drama as an extracurricular activity.
Student S16158 named Barbara Carey PhD, age 10, gender Male, is in Class 5. Scored 95 in Math, 86 in Science, 42 in English, 60 in History, and 43 in Computer, totaling 326 marks with Grade C. Attendance stands at 75.28 percent. Participates in Music as an extracurricular activity.
Student S16165 named Kim Vargas, age 16, gender Female, is in Class 5. Scored 56 in Math, 96 in Science, 32 in English, 91 in History, and 76 in Computer, totaling 351 marks with Grade C. Attendance stands at 84.75 percent. Participates in None as an extracurricular activity.
Student S16171 named Michael Gutierrez, age 13, gender Male, is in Class 5. Scored 67 in Math, 86 in Science, 37 in English, 46 in History, and 31 in Computer, totaling 267 marks with Grade D. Attendance stands at 87.93 percent. Participates in Debate as an extracurricular activity.
Student S16189 named Christopher Walker, age 15, gender Female, is in Class 5. Scored 92 in Math, 67 in Science, 58 in English, 31 in History, and 36 in Computer, totaling 284 marks with Grade D. Attendance stands at 94.96 percent. Participates in Football as an extracurricular activity.
Student S16197 named Thomas Garza, age 13, gender Female, is in Class 5. Scored 39 in Math, 68 in Science, 51 in English, 58 in History, and 70 in Computer, totaling 286 marks with Grade D. Attendance stands at 80.89 percent. Participates in Debate as an extracurricular activity.
Student S16200 named Benjamin Lopez, age 17, gender Male, is in Class 5. Scored 71 in Math, 91 in Science, 75 in English, 53 in History, and 42 in Computer, totaling 332 marks with Grade C. Attendance stands at 84.51 percent. Participates in Music as an extracurricular activity.
Student S16226 named Alexandra Patterson, age 12, gender Male, is in Class 5. Scored 54 in Math, 55 in Science, 96 in English, 84 in History, and 64 in Computer, totaling 353 marks with Grade C. Attendance stands at 83.67 percent. Participates in Drama as an extracurricular activity.
Student S16231 named Emily Johnson, age 14, gender Male, is in Class 5. Scored 72 in Math, 80 in Science, 92 in English, 72 in History, and 46 in Computer, totaling 362 marks with Grade C. Attendance stands at 63.39 percent. Participates in None as an extracurricular activity.
Student S16233 named Robert Johnson, age 13, gender Female, is in Class 5. Scored 87 in Math, 67 in Science, 72 in English, 67 in History, and 43 in Computer, totaling 336 marks with Grade C. Attendance stands at 78.80 percent. Participates in Music as an extracurricular activity.
Student S16260 named Kyle Garrison, age 15, gender Male, is in Class 5. Scored 44 in Math, 90 in Science, 45 in English, 88 in History, and 56 in Computer, totaling 323 marks with Grade C. Attendance stands at 97.89 percent. Participates in Drama as an extracurricular activity.
Student S16267 named Travis Cantrell, age 14, gender Female, is in Class 5. Scored 47 in Math, 53 in Science, 50 in English, 52 in History, and 98 in Computer, totaling 300 marks with Grade D. Attendance stands at 89.63 percent. Participates in None as an extracurricular activity.
Student S16268 named David Riley, age 16, gender Female, is in Class 5. Scored 86 in Math, 60 in Science, 73 in English, 67 in History, and 86 in Computer, totaling 372 marks with Grade C. Attendance stands at 97.48 percent. Participates in Football as an extracurricular activity.
Student S16271 named Marcus Dominguez, age 12, gender Female, is in Class 5. Scored 81 in Math, 39 in Science, 42 in English, 50 in History, and 40 in Computer, totaling 252 marks with Grade D. Attendance stands at 86.88 percent. Participates in Debate as an extracurricular activity.
Student S16278 named Mark Monroe, age 10, gender Female, is in Class 5. Scored 54 in Math, 85 in Science, 83 in English, 99 in History, and 45 in Computer, totaling 366 marks with Grade C. Attendance stands at 85.18 percent. Participates in None as an extracurricular activity.
Student S16286 named Emily Glenn, age 10, gender Male, is in Class 5. Scored 52 in Math, 41 in Science, 63 in English, 89 in History, and 90 in Computer, totaling 335 marks with Grade C. Attendance stands at 73.69 percent. Participates in Music as an extracurricular activity.
Student S16306 named Steven Gordon, age 15, gender Female, is in Class 5. Scored 40 in Math, 73 in Science, 55 in English, 47 in History, and 92 in Computer, totaling 307 marks with Grade C. Attendance stands at 99.14 percent. Participates in None as an extracurricular activity.
Student S16320 named Kenneth Thompson, age 16, gender Male, is in Class 5. Scored 76 in Math, 51 in Science, 67 in English, 77 in History, and 44 in Computer, totaling 315 marks with Grade C. Attendance stands at 72.17 percent. Participates in Debate as an extracurricular activity.
Student S16322 named Matthew Anderson, age 11, gender Male, is in Class 5. Scored 38 in Math, 92 in Science, 98 in English, 54 in History, and 42 in Computer, totaling 324 marks with Grade C. Attendance stands at 62.58 percent. Participates in Football as an extracurricular activity.
Student S16328 named Patrick Thompson, age 14, gender Female, is in Class 5. Scored 84 in Math, 43 in Science, 78 in English, 58 in History, and 83 in Computer, totaling 346 marks with Grade C. Attendance stands at 83.69 percent. Participates in Drama as an extracurricular activity.
Student S16340 named Samantha Taylor DVM, age 17, gender Male, is in Class 5. Scored 65 in Math, 59 in Science, 69 in English, 32 in History, and 71 in Computer, totaling 296 marks with Grade D. Attendance stands at 85.83 percent. Participates in Debate as an extracurricular activity.
Student S16343 named Kenneth Ramirez, age 17, gender Female, is in Class 5. Scored 91 in Math, 56 in Science, 35 in English, 96 in History, and 54 in Computer, totaling 332 marks with Grade C. Attendance stands at 99.43 percent. Participates in Drama as an extracurricular activity.
Student S16349 named James Moore, age 16, gender Female, is in Class 5. Scored 44 in Math, 93 in Science, 51 in English, 87 in History, and 41 in Computer, totaling 316 marks with Grade C. Attendance stands at 83.78 percent. Participates in Drama as an extracurricular activity.
Student S16353 named Jeffery Rojas, age 15, gender Male, is in Class 5. Scored 50 in Math, 54 in Science, 49 in English, 91 in History, and 57 in Computer, totaling 301 marks with Grade C. Attendance stands at 78.41 percent. Participates in Drama as an extracurricular activity.
Student S16354 named Karen Roy, age 16, gender Female, is in Class 5. Scored 46 in Math, 52 in Science, 49 in English, 72 in History, and 90 in Computer, totaling 309 marks with Grade C. Attendance stands at 88.89 percent. Participates in Football as an extracurricular activity.
Student S16359 named Michelle Bridges, age 15, gender Female, is in Class 5. Scored 66 in Math, 81 in Science, 45 in English, 63 in History, and 96 in Computer, totaling 351 marks with Grade C. Attendance stands at 69.94 percent. Participates in Drama as an extracurricular activity.
Student S16360 named Joshua Martin, age 14, gender Female, is in Class 5. Scored 39 in Math, 68 in Science, 54 in English, 55 in History, and 39 in Computer, totaling 255 marks with Grade D. Attendance stands at 99.65 percent. Participates in Music as an extracurricular activity.
Student S16361 named Angela Baker, age 14, gender Female, is in Class 5. Scored 45 in Math, 54 in Science, 42 in English, 93 in History, and 31 in Computer, totaling 265 marks with Grade D. Attendance stands at 75.16 percent. Participates in Dance as an extracurricular activity.
Student S16370 named Tiffany Blackwell, age 11, gender Male, is in Class 5. Scored 49 in Math, 81 in Science, 70 in English, 71 in History, and 32 in Computer, totaling 303 marks with Grade C. Attendance stands at 74.35 percent. Participates in Debate as an extracurricular activity.
Student S16374 named Diana Martin, age 11, gender Female, is in Class 5. Scored 50 in Math, 32 in Science, 99 in English, 76 in History, and 47 in Computer, totaling 304 marks with Grade C. Attendance stands at 95.37 percent. Participates in Music as an extracurricular activity.
Student S16379 named Kelly Ford MD, age 16, gender Male, is in Class 5. Scored 37 in Math, 58 in Science, 71 in English, 53 in History, and 70 in Computer, totaling 289 marks with Grade D. Attendance stands at 84.96 percent. Participates in Debate as an extracurricular activity.
Student S16383 named Nicole Holt, age 12, gender Female, is in Class 5. Scored 66 in Math, 41 in Science, 66 in English, 31 in History, and 79 in Computer, totaling 283 marks with Grade D. Attendance stands at 77.68 percent. Participates in Dance as an extracurricular activity.
Student S16384 named Elizabeth Ross, age 11, gender Male, is in Class 5. Scored 92 in Math, 85 in Science, 88 in English, 34 in History, and 71 in Computer, totaling 370 marks with Grade C. Attendance stands at 62.66 percent. Participates in Music as an extracurricular activity.
Student S16386 named Andrew Richardson, age 14, gender Male, is in Class 5. Scored 89 in Math, 82 in Science, 77 in English, 73 in History, and 57 in Computer, totaling 378 marks with Grade C. Attendance stands at 63.27 percent. Participates in Drama as an extracurricular activity.
Student S16387 named Andrew Alvarez, age 14, gender Male, is in Class 5. Scored 44 in Math, 37 in Science, 81 in English, 51 in History, and 71 in Computer, totaling 284 marks with Grade D. Attendance stands at 98.92 percent. Participates in Drama as an extracurricular activity.
Student S16390 named Rebecca Snow, age 16, gender Male, is in Class 5. Scored 65 in Math, 84 in Science, 63 in English, 78 in History, and 53 in Computer, totaling 343 marks with Grade C. Attendance stands at 88.31 percent. Participates in Drama as an extracurricular activity.
Student S16391 named Robert Ortiz, age 13, gender Male, is in Class 5. Scored 71 in Math, 30 in Science, 92 in English, 36 in History, and 41 in Computer, totaling 270 marks with Grade D. Attendance stands at 67.21 percent. Participates in None as an extracurricular activity.
Student S16398 named Robert Nguyen, age 13, gender Female, is in Class 5. Scored 54 in Math, 34 in Science, 92 in English, 77 in History, and 35 in Computer, totaling 292 marks with Grade D. Attendance stands at 93.02 percent. Participates in None as an extracurricular activity.
Student S16399 named Carla Wood, age 15, gender Female, is in Class 5. Scored 39 in Math, 41 in Science, 89 in English, 56 in History, and 66 in Computer, totaling 291 marks with Grade D. Attendance stands at 79.30 percent. Participates in Dance as an extracurricular activity.
Student S16403 named Christian Petersen, age 11, gender Male, is in Class 5. Scored 94 in Math, 96 in Science, 31 in English, 36 in History, and 60 in Computer, totaling 317 marks with Grade C. Attendance stands at 97.58 percent. Participates in Football as an extracurricular activity.
Student S16407 named Jacqueline Montgomery, age 15, gender Male, is in Class 5. Scored 77 in Math, 54 in Science, 35 in English, 55 in History, and 85 in Computer, totaling 306 marks with Grade C. Attendance stands at 62.11 percent. Participates in Dance as an extracurricular activity.
Student S16411 named William Henderson, age 14, gender Male, is in Class 5. Scored 88 in Math, 79 in Science, 31 in English, 99 in History, and 96 in Computer, totaling 393 marks with Grade C. Attendance stands at 61.16 percent. Participates in Football as an extracurricular activity.
Student S16413 named Robert Jacobson, age 16, gender Male, is in Class 5. Scored 46 in Math, 34 in Science, 44 in English, 56 in History, and 45 in Computer, totaling 225 marks with Grade D. Attendance stands at 84.24 percent. Participates in Dance as an extracurricular activity.
Student S16415 named Amanda Jarvis, age 17, gender Female, is in Class 5. Scored 68 in Math, 96 in Science, 65 in English, 99 in History, and 40 in Computer, totaling 368 marks with Grade C. Attendance stands at 66.66 percent. Participates in Music as an extracurricular activity.
Student S16422 named Deborah Gonzalez, age 13, gender Female, is in Class 5. Scored 75 in Math, 33 in Science, 81 in English, 54 in History, and 97 in Computer, totaling 340 marks with Grade C. Attendance stands at 90.86 percent. Participates in Football as an extracurricular activity.
Student S16439 named Mark Ibarra, age 10, gender Male, is in Class 5. Scored 70 in Math, 76 in Science, 94 in English, 47 in History, and 77 in Computer, totaling 364 marks with Grade C. Attendance stands at 93.85 percent. Participates in Dance as an extracurricular activity.
Student S16446 named Micheal Walton, age 10, gender Male, is in Class 5. Scored 60 in Math, 34 in Science, 38 in English, 34 in History, and 36 in Computer, totaling 202 marks with Grade D. Attendance stands at 85.35 percent. Participates in Dance as an extracurricular activity.
Student S16460 named Christopher Baker, age 13, gender Female, is in Class 5. Scored 55 in Math, 92 in Science, 78 in English, 47 in History, and 62 in Computer, totaling 334 marks with Grade C. Attendance stands at 62.14 percent. Participates in Debate as an extracurricular activity.
Student S16462 named Rebecca Wallace, age 17, gender Male, is in Class 5. Scored 65 in Math, 78 in Science, 55 in English, 84 in History, and 73 in Computer, totaling 355 marks with Grade C. Attendance stands at 67.26 percent. Participates in Football as an extracurricular activity.
Student S16475 named Gregory Carey, age 11, gender Male, is in Class 5. Scored 85 in Math, 96 in Science, 46 in English, 54 in History, and 33 in Computer, totaling 314 marks with Grade C. Attendance stands at 76.26 percent. Participates in Dance as an extracurricular activity.
Student S16478 named Teresa Howard, age 16, gender Female, is in Class 5. Scored 72 in Math, 37 in Science, 38 in English, 45 in History, and 97 in Computer, totaling 289 marks with Grade D. Attendance stands at 83.87 percent. Participates in Music as an extracurricular activity.
Student S16490 named Sean Hill, age 17, gender Female, is in Class 5. Scored 66 in Math, 88 in Science, 72 in English, 83 in History, and 57 in Computer, totaling 366 marks with Grade C. Attendance stands at 94.95 percent. Participates in Debate as an extracurricular activity.
Student S16493 named Brooke Contreras, age 12, gender Male, is in Class 5. Scored 53 in Math, 37 in Science, 30 in English, 56 in History, and 45 in Computer, totaling 221 marks with Grade D. Attendance stands at 97.95 percent. Participates in Drama as an extracurricular activity.
Student S16494 named Dr. Steven Martin, age 13, gender Male, is in Class 5. Scored 84 in Math, 44 in Science, 96 in English, 96 in History, and 63 in Computer, totaling 383 marks with Grade C. Attendance stands at 86.96 percent. Participates in Dance as an extracurricular activity.
Student S16531 named Michael Alexander, age 15, gender Female, is in Class 5. Scored 96 in Math, 50 in Science, 85 in English, 91 in History, and 74 in Computer, totaling 396 marks with Grade C. Attendance stands at 70.14 percent. Participates in Dance as an extracurricular activity.
Student S16534 named Ellen Thornton, age 10, gender Female, is in Class 5. Scored 34 in Math, 65 in Science, 81 in English, 40 in History, and 50 in Computer, totaling 270 marks with Grade D. Attendance stands at 90.48 percent. Participates in None as an extracurricular activity.
Student S16540 named Erica Rodriguez, age 14, gender Male, is in Class 5. Scored 38 in Math, 41 in Science, 79 in English, 89 in History, and 55 in Computer, totaling 302 marks with Grade C. Attendance stands at 89.17 percent. Participates in Drama as an extracurricular activity.
Student S16570 named Austin Burke, age 14, gender Male, is in Class 5. Scored 94 in Math, 77 in Science, 49 in English, 63 in History, and 37 in Computer, totaling 320 marks with Grade C. Attendance stands at 99.39 percent. Participates in Football as an extracurricular activity.
Student S16571 named Brenda Lawrence, age 10, gender Male, is in Class 5. Scored 93 in Math, 69 in Science, 98 in English, 30 in History, and 81 in Computer, totaling 371 marks with Grade C. Attendance stands at 83.49 percent. Participates in Drama as an extracurricular activity.
