Student S10001 named Rebecca Vargas, age 15, gender Male, is in Class 8. Scored 40 in Math, 94 in Science, 42 in English, 66 in History, and 70 in Computer, totaling 312 marks with Grade C. Attendance stands at 69.78 percent. Participates in Drama as an extracurricular activity.
Student S14466 named David Williams, age 16, gender Male, is in Class 8. Scored 69 in Math, 73 in Science, 53 in English, 74 in History, and 58 in Computer, totaling 327 marks with Grade C. Attendance stands at 93.67 percent. Participates in Football as an extracurricular activity.
Student S14467 named Adam Dixon, age 15, gender Female, is in Class 8. Scored 90 in Math, 47 in Science, 98 in English, 62 in History, and 41 in Computer, totaling 338 marks with Grade C. Attendance stands at 85.00 percent. Participates in Dance as an extracurricular activity.
Student S14471 named Donna Burns, age 14, gender Female, is in Class 8. Scored 31 in Math, 91 in Science, 56 in English, 77 in History, and 54 in Computer, totaling 309 marks with Grade C. Attendance stands at 97.33 percent. Participates in Music as an extracurricular activity.
Student S14490 named Megan Mcknight, age 10, gender Male, is in Class 8. Scored 58 in Math, 64 in Science, 83 in English, 80 in History, and 42 in Computer, totaling 327 marks with Grade C. Attendance stands at 65.78 percent. Participates in Dance as an extracurricular activity.
Student S14512 named Kyle Nelson, age 17, gender Female, is in Class 8. Scored 50 in Math, 79 in Science, 68 in English, 43 in History, and 65 in Computer, totaling 305 marks with Grade C. Attendance stands at 77.32 percent. Participates in Football as an extracurricular activity.
Student S14525 named Samantha Mills, age 16, gender Male, is in Class 8. Scored 39 in Math, 38 in Science, 37 in English, 96 in History, and 84 in Computer, totaling 294 marks with Grade D. Attendance stands at 84.69 percent. Participates in Drama as an extracurricular activity.
Student S14526 named Matthew Smith, age 14, gender Female, is in Class 8. Scored 40 in Math, 35 in Science, 48 in English, 33 in History, and 37 in Computer, totaling 193 marks with Grade F. Attendance stands at 78.84 percent. Participates in Dance as an extracurricular activity.
Student S14528 named Taylor Lee, age 10, gender Male, is in Class 8. Scored 39 in Math, 65 in Science, 40 in English, 37 in History, and 71 in Computer, totaling 252 marks with Grade D. Attendance stands at 69.89 percent. Participates in Debate as an extracurricular activity.
Student S14529 named Dale Edwards, age 10, gender Female, is in Class 8. Scored 50 in Math, 68 in Science, 95 in English, 94 in History, and 63 in Computer, totaling 370 marks with Grade C. Attendance stands at 87.69 percent. Participates in None as an extracurricular activity.
Student S14534 named Edward Green, age 13, gender Female, is in Class 8. Scored 51 in Math, 82 in Science, 84 in English, 32 in History, and 96 in Computer, totaling 345 marks with Grade C. Attendance stands at 95.82 percent. Participates in Debate as an extracurricular activity.
Student S14548 named Amanda Lewis, age 10, gender Female, is in Class 8. Scored 54 in Math, 40 in Science, 48 in English, 90 in History, and 93 in Computer, totaling 325 marks with Grade C. Attendance stands at 74.35 percent. Participates in Football as an extracurricular activity.
Student S14562 named Drew Barnett, age 11, gender Male, is in Class 8. Scored 78 in Math, 54 in Science, 94 in English, 54 in History, and 45 in Computer, totaling 325 marks with Grade C. Attendance stands at 91.98 percent. Participates in Football as an extracurricular activity.
Student S14571 named Patrick Thomas, age 16, gender Female, is in Class 8. Scored 68 in Math, 96 in Science, 55 in English, 52 in History, and 55 in Computer, totaling 326 marks with Grade C. Attendance stands at 88.29 percent. Participates in None as an extracurricular activity.
Student S14574 named Mrs. Cindy Weaver, age 16, gender Female, is in Class 8. Scored 69 in Math, 95 in Science, 46 in English, 61 in History, and 84 in Computer, totaling 355 marks with Grade C. Attendance stands at 68.02 percent. Participates in Dance as an extracurricular activity.
Student S14595 named Leslie Wagner, age 17, gender Female, is in Class 8. Scored 68 in Math, 90 in Science, 89 in English, 81 in History, and 92 in Computer, totaling 420 marks with Grade B. Attendance stands at 94.61 percent. Participates in Football as an extracurricular activity.
Student S14617 named William Jones, age 17, gender Female, is in Class 8. Scored 92 in Math, 39 in Science, 96 in English, 87 in History, and 38 in Computer, totaling 352 marks with Grade C. Attendance stands at 92.70 percent. Participates in Drama as an extracurricular activity.
Student S14619 named Joel Dawson, age 17, gender Male, is in Class 8. Scored 32 in Math, 47 in Science, 60 in English, 68 in History, and 55 in Computer, totaling 262 marks with Grade D. Attendance stands at 89.82 percent. Participates in Dance as an extracurricular activity.
Student S14649 named Brandy Alexander, age 17, gender Female, is in Class 8. Scored 96 in Math, 77 in Science, 54 in English, 76 in History, and 36 in Computer, totaling 339 marks with Grade C. Attendance stands at 60.98 percent. Participates in Music as an extracurricular activity.
Student S14650 named Kristy Clark, age 10, gender Female, is in Class 8. Scored 76 in Math, 76 in Science, 84 in English, 78 in History, and 38 in Computer, totaling 352 marks with Grade C. Attendance stands at 63.20 percent. Participates in Football as an extracurricular activity.
Student S14663 named Sharon Costa, age 16, gender Female, is in Class 8. Scored 48 in Math, 56 in Science, 61 in English, 66 in History, and 46 in Computer, totaling 277 marks with Grade D. Attendance stands at 74.42 percent. Participates in Debate as an extracurricular activity.
Student S14684 named Jared Hansen, age 10, gender Male, is in Class 8. Scored 72 in Math, 38 in Science, 80 in English, 97 in History, and 58 in Computer, totaling 345 marks with Grade C. Attendance stands at 74.40 percent. Participates in Debate as an extracurricular activity.
Student S14704 named John Kelly, age 15, gender Male, is in Class 8. Scored 53 in Math, 45 in Science, 42 in English, 43 in History, and 91 in Computer, totaling 274 marks with Grade D. Attendance stands at 75.23 percent. Participates in Music as an extracurricular activity.
Student S14729 named David Price, age 11, gender Male, is in Class 8. Scored 30 in Math, 87 in Science, 45 in English, 44 in History, and 82 in Computer, totaling 288 marks with Grade D. Attendance stands at 91.16 percent. Participates in Dance as an extracurricular activity.
Student S14736 named Brett Stafford, age 11, gender Male, is in Class 8. Scored 50 in Math, 96 in Science, 59 in English, 75 in History, and 42 in Computer, totaling 322 marks with Grade C. Attendance stands at 87.04 percent. Participates in Debate as an extracurricular activity.
Student S14744 named Richard Fox, age 16, gender Male, is in Class 8. Scored 93 in Math, 37 in Science, 57 in English, 84 in History, and 40 in Computer, totaling 311 marks with Grade C. Attendance stands at 67.69 percent. Participates in None as an extracurricular activity.
Student S14750 named Adam Boyer, age 11, gender Male, is in Class 8. Scored 52 in Math, 51 in Science, 69 in English, 31 in History, and 61 in Computer, totaling 264 marks with Grade D. Attendance stands at 97.23 percent. Participates in Football as an extracurricular activity.
Student S14754 named James Hammond, age 10, gender Female, is in Class 8. Scored 33 in Math, 46 in Science, 57 in English, 79 in History, and 74 in Computer, totaling 289 marks with Grade D. Attendance stands at 93.34 percent. Participates in Debate as an extracurricular activity.
Student S14762 named Hannah Burgess, age 14, gender Male, is in Class 8. Scored 70 in Math, 55 in Science, 48 in English, 52 in History, and 75 in Computer, totaling 300 marks with Grade D. Attendance stands at 66.51 percent. Participates in Drama as an extracurricular activity.
Student S14767 named Elizabeth Abbott, age 16, gender Female, is in Class 8. Scored 67 in Math, 81 in Science, 43 in English, 96 in History, and 97 in Computer, totaling 384 marks with Grade C. Attendance stands at 80.36 percent. Participates in Football as an extracurricular activity.
Student S14769 named Mason Stevens, age 16, gender Male, is in Class 8. Scored 58 in Math, 46 in Science, 68 in English, 64 in History, and 77 in Computer, totaling 313 marks with Grade C. Attendance stands at 66.77 percent. Participates in Football as an extracurricular activity.
Student S14783 named Michelle Turner, age 16, gender Female, is in Class 8. Scored 30 in Math, 77 in Science, 31 in English, 87 in History, and 56 in Computer, totaling 281 marks with Grade D. Attendance stands at 78.52 percent. Participates in Dance as an extracurricular activity.
Student S14802 named Anna West, age 12, gender Female, is in Class 8. Scored 77 in Math, 84 in Science, 74 in English, 78 in History, and 99 in Computer, totaling 412 marks with Grade B. Attendance stands at 78.91 percent. Participates in Dance as an extracurricular activity.
Student S14805 named Andrew Nichols, age 17, gender Female, is in Class 8. Scored 80 in Math, 98 in Science, 69 in English, 70 in History, and 65 in Computer, totaling 382 marks with Grade C. Attendance stands at 64.15 percent. Participates in Debate as an extracurricular activity.
Student S14820 named Christina Parks, age 11, gender Male, is in Class 8. Scored 53 in Math, 62 in Science, 69 in English, 44 in History, and 41 in Computer, totaling 269 marks with Grade D. Attendance stands at 78.76 percent. Participates in None as an extracurricular activity.
Student S14824 named Justin Moreno, age 16, gender Female, is in Class 8. Scored 44 in Math, 81 in Science, 81 in English, 40 in History, and 73 in Computer, totaling 319 marks with Grade C. Attendance stands at 66.52 percent. Participates in None as an extracurricular activity.
Student S14827 named John Frye MD, age 10, gender Female, is in Class 8. Scored 91 in Math, 71 in Science, 39 in English, 61 in History, and 75 in Computer, totaling 337 marks with Grade C. Attendance stands at 61.62 percent. Participates in Football as an extracurricular activity.
Student S14833 named Yolanda Wood, age 11, gender Female, is in Class 8. Scored 34 in Math, 63 in Science, 58 in English, 73 in History, and 98 in Computer, totaling 326 marks with Grade C. Attendance stands at 64.00 percent. Participates in Dance as an extracurricular activity.
Student S14838 named Charles George, age 10, gender Male, is in Class 8. Scored 88 in Math, 71 in Science, 98 in English, 99 in History, and 57 in Computer, totaling 413 marks with Grade B. Attendance stands at 79.32 percent. Participates in Music as an extracurricular activity.
Student S14839 named Billy Thompson, age 10, gender Female, is in Class 8. Scored 37 in Math, 55 in Science, 53 in English, 33 in History, and 80 in Computer, totaling 258 marks with Grade D. Attendance stands at 74.54 percent. Participates in None as an extracurricular activity.
Student S14842 named Richard Poole, age 14, gender Male, is in Class 8. Scored 90 in Math, 52 in Science, 86 in English, 76 in History, and 96 in Computer, totaling 400 marks with Grade C. Attendance stands at 88.71 percent. Participates in Drama as an extracurricular activity.
Student S14849 named Michael Mitchell, age 11, gender Female, is in Class 8. Scored 45 in Math, 33 in Science, 62 in English, 35 in History, and 70 in Computer, totaling 245 marks with Grade D. Attendance stands at 81.40 percent. Participates in Drama as an extracurricular activity.
Student S14855 named Hannah Williamson, age 17, gender Female, is in Class 8. Scored 79 in Math, 37 in Science, 92 in English, 79 in History, and 30 in Computer, totaling 317 marks with Grade C. Attendance stands at 94.63 percent. Participates in Debate as an extracurricular activity.
Student S14866 named William Walton, age 12, gender Female, is in Class 8. Scored 30 in Math, 90 in Science, 33 in English, 74 in History, and 61 in Computer, totaling 288 marks with Grade D. Attendance stands at 96.66 percent. Participates in Drama as an extracurricular activity.
Student S14888 named Michael Salinas, age 11, gender Male, is in Class 8. Scored 75 in Math, 30 in Science, 59 in English, 45 in History, and 50 in Computer, totaling 259 marks with Grade D. Attendance stands at 69.32 percent. Participates in Music as an extracurricular activity.
Student S14891 named Jeffery White, age 10, gender Male, is in Class 8. Scored 74 in Math, 38 in Science, 40 in English, 89 in History, and 48 in Computer, totaling 289 marks with Grade D. Attendance stands at 92.29 percent. Participates in Music as an extracurricular activity.
Student S14892 named Thomas Gonzales, age 11, gender Male, is in Class 8. Scored 60 in Math, 85 in Science, 50 in English, 45 in History, and 98 in Computer, totaling 338 marks with Grade C. Attendance stands at 76.11 percent. Participates in Football as an extracurricular activity.
Student S14894 named Brandon Jimenez, age 17, gender Female, is in Class 8. Scored 83 in Math, 89 in Science, 60 in English, 74 in History, and 80 in Computer, totaling 386 marks with Grade C. Attendance stands at 97.72 percent. Participates in Music as an extracurricular activity.
Student S14911 named Mary Jensen, age 16, gender Female, is in Class 8. Scored 57 in Math, 90 in Science, 76 in English, 76 in History, and 65 in Computer, totaling 364 marks with Grade C. Attendance stands at 76.72 percent. Participates in Football as an extracurricular activity.
Student S14913 named Edward Evans, age 12, gender Male, is in Class 8. Scored 72 in Math, 39 in Science, 42 in English, 39 in History, and 95 in Computer, totaling 287 marks with Grade D. Attendance stands at 82.06 percent. Participates in Music as an extracurricular activity.
Student S14919 named Nicholas Campbell, age 14, gender Female, is in Class 8. Scored 36 in Math, 56 in Science, 37 in English, 80 in History, and 55 in Computer, totaling 264 marks with Grade D. Attendance stands at 76.10 percent. Participates in Dance as an extracurricular activity.
Student S14925 named Eddie Guerra DVM, age 10, gender Male, is in Class 8. Scored 80 in Math, 44 in Science, 32 in English, 82 in History, and 78 in Computer, totaling 316 marks with Grade C. Attendance stands at 70.81 percent. Participates in Debate as an extracurricular activity.
Student S14936 named Shirley Lane, age 15, gender Female, is in Class 8. Scored 91 in Math, 52 in Science, 30 in English, 45 in History, and 61 in Computer, totaling 279 marks with Grade D. Attendance stands at 68.94 percent. Participates in Music as an extracurricular activity.
Student S14939 named Mr. Joseph Lee IV, age 13, gender Male, is in Class 8. Scored 65 in Math, 79 in Science, 79 in English, 79 in History, and 94 in Computer, totaling 396 marks with Grade C. Attendance stands at 71.99 percent. Participates in Drama as an extracurricular activity.
Student S14942 named Shaun Grimes, age 15, gender Female, is in Class 8. Scored 76 in Math, 75 in Science, 83 in English, 92 in History, and 93 in Computer, totaling 419 marks with Grade B. Attendance stands at 75.20 percent. Participates in Dance as an extracurricular activity.
Student S14954 named Samantha Rogers, age 11, gender Male, is in Class 8. Scored 52 in Math, 97 in Science, 40 in English, 54 in History, and 35 in Computer, totaling 278 marks with Grade D. Attendance stands at 76.15 percent. Participates in Drama as an extracurricular activity.
Student S14960 named Nicholas Cox, age 12, gender Male, is in Class 8. Scored 40 in Math, 76 in Science, 77 in English, 44 in History, and 36 in Computer, totaling 273 marks with Grade D. Attendance stands at 86.18 percent. Participates in Debate as an extracurricular activity.
Student S14961 named Heather Contreras, age 15, gender Female, is in Class 8. Scored 39 in Math, 51 in Science, 72 in English, 61 in History, and 77 in Computer, totaling 300 marks with Grade D. Attendance stands at 96.76 percent. Participates in Football as an extracurricular activity.
Student S14965 named Charles Underwood, age 11, gender Female, is in Class 8. Scored 71 in Math, 58 in Science, 57 in English, 34 in History, and 97 in Computer, totaling 317 marks with Grade C. Attendance stands at 89.78 percent. Participates in Drama as an extracurricular activity.
Student S14976 named Adrian Serrano, age 11, gender Female, is in Class 8. Scored 79 in Math, 95 in Science, 51 in English, 49 in History, and 64 in Computer, totaling 338 marks with Grade C. Attendance stands at 91.40 percent. Participates in Football as an extracurricular activity.
Student S14978 named William Trevino, age 10, gender Male, is in Class 8. Scored 74 in Math, 50 in Science, 56 in English, 68 in History, and 67 in Computer, totaling 315 marks with Grade C. Attendance stands at 81.30 percent. Participates in Debate as an extracurricular activity.
Student S14981 named Michelle Delgado, age 14, gender Male, is in Class 8. Scored 68 in Math, 42 in Science, 46 in English, 92 in History, and 53 in Computer, totaling 301 marks with Grade C. Attendance stands at 68.81 percent. Participates in Football as an extracurricular activity.
Student S14986 named David Phillips, age 13, gender Male, is in Class 8. Scored 92 in Math, 99 in Science, 74 in English, 38 in History, and 37 in Computer, totaling 340 marks with Grade C. Attendance stands at 76.80 percent. Participates in Dance as an extracurricular activity.
Student S14989 named Juan Williams, age 10, gender Male, is in Class 8. Scored 70 in Math, 81 in Science, 31 in English, 65 in History, and 65 in Computer, totaling 312 marks with Grade C. Attendance stands at 77.55 percent. Participates in Dance as an extracurricular activity.
Student S15006 named Aaron Hamilton, age 12, gender Female, is in Class 8. Scored 92 in Math, 59 in Science, 90 in English, 73 in History, and 87 in Computer, totaling 401 marks with Grade B. Attendance stands at 73.30 percent. Participates in Drama as an extracurricular activity.
Student S15019 named James Whitaker, age 14, gender Male, is in Class 8. Scored 98 in Math, 79 in Science, 73 in English, 88 in History, and 32 in Computer, totaling 370 marks with Grade C. Attendance stands at 89.33 percent. Participates in Debate as an extracurricular activity.
Student S15021 named Tyler Walton, age 12, gender Female, is in Class 8. Scored 76 in Math, 91 in Science, 36 in English, 45 in History, and 68 in Computer, totaling 316 marks with Grade C. Attendance stands at 89.76 percent. Participates in None as an extracurricular activity.
Student S15023 named Michael Barnes, age 13, gender Male, is in Class 8. Scored 78 in Math, 51 in Science, 85 in English, 80 in History, and 97 in Computer, totaling 391 marks with Grade C. Attendance stands at 73.02 percent. Participates in None as an extracurricular activity.
Student S15024 named Melanie Stevens, age 11, gender Male, is in Class 8. Scored 32 in Math, 87 in Science, 92 in English, 55 in History, and 34 in Computer, totaling 300 marks with Grade D. Attendance stands at 62.29 percent. Participates in Football as an extracurricular activity.
Student S15025 named Crystal Palmer, age 16, gender Female, is in Class 8. Scored 56 in Math, 93 in Science, 76 in English, 92 in History, and 49 in Computer, totaling 366 marks with Grade C. Attendance stands at 98.55 percent. Participates in Music as an extracurricular activity.
Student S15029 named Heidi Estrada, age 17, gender Male, is in Class 8. Scored 50 in Math, 34 in Science, 31 in English, 68 in History, and 91 in Computer, totaling 274 marks with Grade D. Attendance stands at 87.33 percent. Participates in Football as an extracurricular activity.
Student S15040 named John Cherry, age 11, gender Male, is in Class 8. Scored 33 in Math, 91 in Science, 53 in English, 88 in History, and 71 in Computer, totaling 336 marks with Grade C. Attendance stands at 70.82 percent. Participates in None as an extracurricular activity.
Student S15042 named Nancy Richardson, age 10, gender Male, is in Class 8. Scored 90 in Math, 71 in Science, 92 in English, 88 in History, and 75 in Computer, totaling 416 marks with Grade B. Attendance stands at 99.80 percent. Participates in None as an extracurricular activity.
Student S15059 named Joseph Hunt, age 12, gender Female, is in Class 8. Scored 65 in Math, 82 in Science, 97 in English, 60 in History, and 40 in Computer, totaling 344 marks with Grade C. Attendance stands at 93.91 percent. Participates in Football as an extracurricular activity.
Student S15062 named Julie Keller, age 16, gender Female, is in Class 8. Scored 68 in Math, 95 in Science, 98 in English, 71 in History, and 90 in Computer, totaling 422 marks with Grade B. Attendance stands at 78.76 percent. Participates in Music as an extracurricular activity.
Student S15064 named Justin Downs, age 16, gender Male, is in Class 8. Scored 49 in Math, 48 in Science, 43 in English, 88 in History, and 48 in Computer, totaling 276 marks with Grade D. Attendance stands at 75.72 percent. Participates in Drama as an extracurricular activity.
Student S15072 named Nichole Fuller, age 16, gender Male, is in Class 8. Scored 60 in Math, 92 in Science, 89 in English, 61 in History, and 74 in Computer, totaling 376 marks with Grade C. Attendance stands at 60.92 percent. Participates in Music as an extracurricular activity.
Student S15074 named Brandon Garza, age 11, gender Male, is in Class 8. Scored 56 in Math, 36 in Science, 41 in English, 72 in History, and 78 in Computer, totaling 283 marks with Grade D. Attendance stands at 76.03 percent. Participates in Dance as an extracurricular activity.
Student S15075 named Christopher Martinez, age 13, gender Male, is in Class 8. Scored 69 in Math, 35 in Science, 93 in English, 48 in History, and 75 in Computer, totaling 320 marks with Grade C. Attendance stands at 73.25 percent. Participates in None as an extracurricular activity.
Student S15081 named Chelsea Cook, age 10, gender Female, is in Class 8. Scored 84 in Math, 35 in Science, 34 in English, 61 in History, and 63 in Computer, totaling 277 marks with Grade D. Attendance stands at 68.91 percent. Participates in Drama as an extracurricular activity.
Student S15086 named Robert White, age 14, gender Male, is in Class 8. Scored 82 in Math, 42 in Science, 89 in English, 77 in History, and 74 in Computer, totaling 364 marks with Grade C. Attendance stands at 94.10 percent. Participates in Debate as an extracurricular activity.
Student S15104 named Allison Hernandez, age 13, gender Female, is in Class 8. Scored 47 in Math, 53 in Science, 67 in English, 39 in History, and 73 in Computer, totaling 279 marks with Grade D. Attendance stands at 83.99 percent. Participates in Football as an extracurricular activity.
Student S15105 named Mr. Kyle Thomas, age 12, gender Female, is in Class 8. Scored 75 in Math, 72 in Science, 77 in English, 37 in History, and 55 in Computer, totaling 316 marks with Grade C. Attendance stands at 61.13 percent. Participates in Music as an extracurricular activity.
Student S15145 named Amanda Smith, age 14, gender Male, is in Class 8. Scored 42 in Math, 54 in Science, 48 in English, 47 in History, and 68 in Computer, totaling 259 marks with Grade D. Attendance stands at 94.00 percent. Participates in Dance as an extracurricular activity.
Student S15161 named Judith Hernandez, age 11, gender Male, is in Class 8. Scored 48 in Math, 44 in Science, 61 in English, 69 in History, and 64 in Computer, totaling 286 marks with Grade D. Attendance stands at 74.21 percent. Participates in Dance as an extracurricular activity.
Student S15164 named Rachel Olson, age 14, gender Female, is in Class 8. Scored 47 in Math, 31 in Science, 60 in English, 63 in History, and 78 in Computer, totaling 279 marks with Grade D. Attendance stands at 64.40 percent. Participates in None as an extracurricular activity.
Student S15171 named Sandra Pearson, age 15, gender Male, is in Class 8. Scored 91 in Math, 39 in Science, 90 in English, 87 in History, and 35 in Computer, totaling 342 marks with Grade C. Attendance stands at 77.80 percent. Participates in Debate as an extracurricular activity.
Student S15173 named Jose Collins, age 11, gender Female, is in Class 8. Scored 49 in Math, 85 in Science, 41 in English, 74 in History, and 67 in Computer, totaling 316 marks with Grade C. Attendance stands at 62.11 percent. Participates in Debate as an extracurricular activity.
Student S15223 named Krista Sheppard, age 12, gender Male, is in Class 8. Scored 36 in Math, 89 in Science, 68 in English, 86 in History, and 41 in Computer, totaling 320 marks with Grade C. Attendance stands at 80.29 percent. Participates in None as an extracurricular activity.
Student S15224 named Shannon Smith, age 17, gender Male, is in Class 8. Scored 41 in Math, 66 in Science, 73 in English, 45 in History, and 86 in Computer, totaling 311 marks with Grade C. Attendance stands at 77.06 percent. Participates in Football as an extracurricular activity.
Student S15226 named Brooke Roman, age 12, gender Male, is in Class 8. Scored 47 in Math, 89 in Science, 91 in English, 72 in History, and 76 in Computer, totaling 375 marks with Grade C. Attendance stands at 77.78 percent. Participates in Debate as an extracurricular activity.
Student S15248 named Kimberly Allen, age 13, gender Male, is in Class 8. Scored 42 in Math, 67 in Science, 43 in English, 46 in History, and 86 in Computer, totaling 284 marks with Grade D. Attendance stands at 94.53 percent. Participates in None as an extracurricular activity.
Student S15260 named Michael Ford, age 17, gender Female, is in Class 8. Scored 97 in Math, 40 in Science, 34 in English, 84 in History, and 66 in Computer, totaling 321 marks with Grade C. Attendance stands at 69.26 percent. Participates in Dance as an extracurricular activity.
Student S15268 named Brandi Ibarra, age 13, gender Female, is in Class 8. Scored 50 in Math, 32 in Science, 74 in English, 45 in History, and 31 in Computer, totaling 232 marks with Grade D. Attendance stands at 75.70 percent. Participates in None as an extracurricular activity.
Student S15272 named Anna Rodriguez, age 10, gender Female, is in Class 8. Scored 97 in Math, 83 in Science, 66 in English, 99 in History, and 63 in Computer, totaling 408 marks with Grade B. Attendance stands at 68.60 percent. Participates in Dance as an extracurricular activity.
Student S15288 named Ronald Ball, age 15, gender Female, is in Class 8. Scored 73 in Math, 61 in Science, 37 in English, 47 in History, and 66 in Computer, totaling 284 marks with Grade D. Attendance stands at 65.13 percent. Participates in Debate as an extracurricular activity.
Student S15295 named Scott Thompson, age 10, gender Female, is in Class 8. Scored 77 in Math, 34 in Science, 97 in English, 37 in History, and 85 in Computer, totaling 330 marks with Grade C. Attendance stands at 83.28 percent. Participates in Debate as an extracurricular activity.
Student S15313 named Kevin Stewart, age 11, gender Female, is in Class 8. Scored 54 in Math, 48 in Science, 81 in English, 39 in History, and 39 in Computer, totaling 261 marks with Grade D. Attendance stands at 72.86 percent. Participates in Drama as an extracurricular activity.
Student S15316 named Mary Lin, age 11, gender Male, is in Class 8. Scored 60 in Math, 41 in Science, 64 in English, 55 in History, and 36 in Computer, totaling 256 marks with Grade D. Attendance stands at 99.21 percent. Participates in Dance as an extracurricular activity.
Student S15327 named Jessica Castillo, age 12, gender Female, is in Class 8. Scored 64 in Math, 48 in Science, 54 in English, 68 in History, and 97 in Computer, totaling 331 marks with Grade C. Attendance stands at 76.78 percent. Participates in None as an extracurricular activity.
Student S15328 named Michael Roberts, age 10, gender Female, is in Class 8. Scored 79 in Math, 45 in Science, 53 in English, 75 in History, and 50 in Computer, totaling 302 marks with Grade C. Attendance stands at 75.67 percent. Participates in Drama as an extracurricular activity.
Student S15334 named Jacob Gomez, age 15, gender Male, is in Class 8. Scored 56 in Math, 34 in Science, 31 in English, 65 in History, and 70 in Computer, totaling 256 marks with Grade D. Attendance stands at 66.59 percent. Participates in Drama as an extracurricular activity.
Student S15340 named Patrick Warren, age 12, gender Male, is in Class 8. Scored 59 in Math, 61 in Science, 89 in English, 85 in History, and 71 in Computer, totaling 365 marks with Grade C. Attendance stands at 96.30 percent. Participates in Drama as an extracurricular activity.
Student S15344 named Yesenia Perez, age 14, gender Female, is in Class 8. Scored 47 in Math, 73 in Science, 78 in English, 47 in History, and 30 in Computer, totaling 275 marks with Grade D. Attendance stands at 93.29 percent. Participates in Football as an extracurricular activity.
Student S15359 named Mr. William Li, age 11, gender Female, is in Class 8. Scored 44 in Math, 32 in Science, 48 in English, 38 in History, and 50 in Computer, totaling 212 marks with Grade D. Attendance stands at 98.41 percent. Participates in Football as an extracurricular activity.
Student S15369 named Melissa Scott, age 12, gender Female, is in Class 8. Scored 80 in Math, 54 in Science, 50 in English, 50 in History, and 65 in Computer, totaling 299 marks with Grade D. Attendance stands at 96.72 percent. Participates in None as an extracurricular activity.
Student S15371 named Mr. Gregory Ayala, age 13, gender Male, is in Class 8. Scored 87 in Math, 50 in Science, 44 in English, 65 in History, and 95 in Computer, totaling 341 marks with Grade C. Attendance stands at 76.21 percent. Participates in Drama as an extracurricular activity.
Student S15379 named Mrs. Megan Johnson, age 11, gender Female, is in Class 8. Scored 73 in Math, 86 in Science, 88 in English, 44 in History, and 59 in Computer, totaling 350 marks with Grade C. Attendance stands at 63.81 percent. Participates in Debate as an extracurricular activity.
Student S15380 named George Johnson, age 16, gender Male, is in Class 8. Scored 47 in Math, 35 in Science, 46 in English, 78 in History, and 36 in Computer, totaling 242 marks with Grade D. Attendance stands at 83.53 percent. Participates in Music as an extracurricular activity.
Student S15391 named Michael Rodriguez, age 13, gender Female, is in Class 8. Scored 47 in Math, 45 in Science, 78 in English, 62 in History, and 58 in Computer, totaling 290 marks with Grade D. Attendance stands at 84.29 percent. Participates in Dance as an extracurricular activity.
Student S15396 named Erik Miller, age 12, gender Female, is in Class 8. Scored 98 in Math, 99 in Science, 80 in English, 74 in History, and 52 in Computer, totaling 403 marks with Grade B. Attendance stands at 77.24 percent. Participates in None as an extracurricular activity.
Student S15407 named Alexis Robles, age 17, gender Male, is in Class 8. Scored 73 in Math, 32 in Science, 85 in English, 71 in History, and 33 in Computer, totaling 294 marks with Grade D. Attendance stands at 66.16 percent. Participates in Music as an extracurricular activity.
Student S15413 named Jason Jones, age 17, gender Female, is in Class 8. Scored 45 in Math, 68 in Science, 31 in English, 40 in History, and 50 in Computer, totaling 234 marks with Grade D. Attendance stands at 97.57 percent. Participates in Music as an extracurricular activity.
Student S15431 named Denise Johnson, age 12, gender Female, is in Class 8. Scored 90 in Math, 65 in Science, 81 in English, 89 in History, and 39 in Computer, totaling 364 marks with Grade C. Attendance stands at 95.16 percent. Participates in None as an extracurricular activity.
Student S15437 named Kimberly Ayers, age 15, gender Male, is in Class 8. Scored 80 in Math, 68 in Science, 37 in English, 78 in History, and 43 in Computer, totaling 306 marks with Grade C. Attendance stands at 89.49 percent. Participates in Dance as an extracurricular activity.
Student S15438 named Lori Johnson, age 10, gender Female, is in Class 8. Scored 59 in Math, 88 in Science, 51 in English, 42 in History, and 85 in Computer, totaling 325 marks with Grade C. Attendance stands at 76.67 percent. Participates in Drama as an extracurricular activity.
Student S15440 named Caitlyn Taylor, age 12, gender Female, is in Class 8. Scored 98 in Math, 88 in Science, 60 in English, 37 in History, and 78 in Computer, totaling 361 marks with Grade C. Attendance stands at 68.27 percent. Participates in Drama as an extracurricular activity.
Student S15454 named Kelsey Burton, age 12, gender Female, is in Class 8. Scored 66 in Math, 31 in Science, 31 in English, 52 in History, and 46 in Computer, totaling 226 marks with Grade D. Attendance stands at 71.15 percent. Participates in Music as an extracurricular activity.
Student S15455 named Mary Williams, age 11, gender Male, is in Class 8. Scored 42 in Math, 68 in Science, 70 in English, 79 in History, and 75 in Computer, totaling 334 marks with Grade C. Attendance stands at 71.35 percent. Participates in None as an extracurricular activity.
Student S15463 named Stephen Arnold, age 13, gender Male, is in Class 8. Scored 86 in Math, 84 in Science, 90 in English, 84 in History, and 31 in Computer, totaling 375 marks with Grade C. Attendance stands at 71.19 percent. Participates in Football as an extracurricular activity.
Student S15473 named Donald Lewis, age 14, gender Male, is in Class 8. Scored 96 in Math, 69 in Science, 39 in English, 87 in History, and 38 in Computer, totaling 329 marks with Grade C. Attendance stands at 86.43 percent. Participates in Music as an extracurricular activity.
