Student S10000 named Brianna Smith, age 16, gender Female, is in Class 12. Scored 47 in Math, 85 in Science, 67 in English, 68 in History, and 81 in Computer, totaling 348 marks with Grade C. Attendance stands at 61.70 percent. Participates in None as an extracurricular activity.
Student S15262 named Erin Foley, age 11, gender Female, is in Class 12. Scored 60 in Math, 68 in Science, 46 in English, 50 in History, and 49 in Computer, totaling 273 marks with Grade D. Attendance stands at 70.25 percent. Participates in None as an extracurricular activity.
Student S15275 named Mr. Calvin Davis, age 12, gender Male, is in Class 12. Scored 40 in Math, 74 in Science, 81 in English, 71 in History, and 37 in Computer, totaling 303 marks with Grade C. Attendance stands at 73.55 percent. Participates in Football as an extracurricular activity.
Student S15278 named Joy Brooks, age 14, gender Male, is in Class 12. Scored 91 in Math, 51 in Science, 86 in English, 88 in History, and 52 in Computer, totaling 368 marks with Grade C. Attendance stands at 96.68 percent. Participates in Debate as an extracurricular activity.
Student S15289 named Terry Stewart, age 16, gender Male, is in Class 12. Scored 84 in Math, 49 in Science, 46 in English, 70 in History, and 46 in Computer, totaling 295 marks with Grade D. Attendance stands at 83.19 percent. Participates in Debate as an extracurricular activity.
Student S15290 named Jennifer Garcia, age 13, gender Female, is in Class 12. Scored 72 in Math, 36 in Science, 54 in English, 38 in History, and 69 in Computer, totaling 269 marks with Grade D. Attendance stands at 79.53 percent. Participates in Football as an extracurricular activity.
Student S15298 named Jennifer Morris, age 15, gender Female, is in Class 12. Scored 34 in Math, 73 in Science, 65 in English, 86 in History, and 48 in Computer, totaling 306 marks with Grade C. Attendance stands at 96.49 percent. Participates in Music as an extracurricular activity.
Student S15310 named Denise Finley, age 17, gender Female, is in Class 12. Scored 95 in Math, 30 in Science, 58 in English, 56 in History, and 87 in Computer, totaling 326 marks with Grade C. Attendance stands at 75.56 percent. Participates in Debate as an extracurricular activity.
Student S15311 named Brittany Jackson, age 16, gender Male, is in Class 12. Scored 35 in Math, 99 in Science, 57 in English, 59 in History, and 31 in Computer, totaling 281 marks with Grade D. Attendance stands at 85.32 percent. Participates in Football as an extracurricular activity.
Student S15312 named Lisa Wright, age 12, gender Male, is in Class 12. Scored 55 in Math, 84 in Science, 38 in English, 70 in History, and 46 in Computer, totaling 293 marks with Grade D. Attendance stands at 61.12 percent. Participates in Drama as an extracurricular activity.
Student S15318 named Robert Hill, age 17, gender Male, is in Class 12. Scored 41 in Math, 52 in Science, 71 in English, 32 in History, and 64 in Computer, totaling 260 marks with Grade D. Attendance stands at 63.82 percent. Participates in Music as an extracurricular activity.
Student S15324 named William Doyle, age 16, gender Female, is in Class 12. Scored 88 in Math, 54 in Science, 38 in English, 62 in History, and 41 in Computer, totaling 283 marks with Grade D. Attendance stands at 82.61 percent. Participates in Football as an extracurricular activity.
Student S15326 named David Walton, age 12, gender Female, is in Class 12. Scored 45 in Math, 87 in Science, 88 in English, 47 in History, and 59 in Computer, totaling 326 marks with Grade C. Attendance stands at 92.97 percent. Participates in Dance as an extracurricular activity.
Student S15332 named Melanie Walker, age 15, gender Female, is in Class 12. Scored 95 in Math, 67 in Science, 30 in English, 31 in History, and 70 in Computer, totaling 293 marks with Grade D. Attendance stands at 77.70 percent. Participates in Music as an extracurricular activity.
Student S15337 named Sharon Johnson, age 10, gender Female, is in Class 12. Scored 85 in Math, 83 in Science, 73 in English, 97 in History, and 38 in Computer, totaling 376 marks with Grade C. Attendance stands at 67.84 percent. Participates in Football as an extracurricular activity.
Student S15343 named Jill Parker, age 15, gender Male, is in Class 12. Scored 72 in Math, 87 in Science, 57 in English, 35 in History, and 82 in Computer, totaling 333 marks with Grade C. Attendance stands at 93.00 percent. Participates in Debate as an extracurricular activity.
Student S15353 named Sarah Clark, age 17, gender Female, is in Class 12. Scored 32 in Math, 45 in Science, 48 in English, 67 in History, and 81 in Computer, totaling 273 marks with Grade D. Attendance stands at 95.52 percent. Participates in Debate as an extracurricular activity.
Student S15362 named Kristen Rivers, age 12, gender Male, is in Class 12. Scored 37 in Math, 82 in Science, 52 in English, 48 in History, and 76 in Computer, totaling 295 marks with Grade D. Attendance stands at 85.64 percent. Participates in Football as an extracurricular activity.
Student S15372 named Kelli Smith, age 16, gender Female, is in Class 12. Scored 32 in Math, 50 in Science, 90 in English, 34 in History, and 44 in Computer, totaling 250 marks with Grade D. Attendance stands at 81.33 percent. Participates in Football as an extracurricular activity.
Student S15374 named Jordan Hill, age 13, gender Male, is in Class 12. Scored 92 in Math, 58 in Science, 71 in English, 97 in History, and 39 in Computer, totaling 357 marks with Grade C. Attendance stands at 96.62 percent. Participates in Football as an extracurricular activity.
Student S15397 named John Parker, age 11, gender Female, is in Class 12. Scored 69 in Math, 49 in Science, 95 in English, 94 in History, and 77 in Computer, totaling 384 marks with Grade C. Attendance stands at 61.07 percent. Participates in Music as an extracurricular activity.
Student S15406 named Eric Diaz, age 13, gender Male, is in Class 12. Scored 59 in Math, 76 in Science, 33 in English, 85 in History, and 62 in Computer, totaling 315 marks with Grade C. Attendance stands at 95.88 percent. Participates in Football as an extracurricular activity.
Student S15432 named Alan Russo, age 11, gender Male, is in Class 12. Scored 88 in Math, 33 in Science, 77 in English, 79 in History, and 78 in Computer, totaling 355 marks with Grade C. Attendance stands at 91.39 percent. Participates in None as an extracurricular activity.
Student S15435 named Wendy Jones, age 16, gender Female, is in Class 12. Scored 87 in Math, 44 in Science, 50 in English, 52 in History, and 85 in Computer, totaling 318 marks with Grade C. Attendance stands at 74.05 percent. Participates in Dance as an extracurricular activity.
Student S15447 named Ryan King, age 16, gender Male, is in Class 12. Scored 94 in Math, 41 in Science, 61 in English, 87 in History, and 38 in Computer, totaling 321 marks with Grade C. Attendance stands at 70.88 percent. Participates in Drama as an extracurricular activity.
Student S15452 named Monique Acosta, age 17, gender Male, is in Class 12. Scored 50 in Math, 79 in Science, 69 in English, 36 in History, and 61 in Computer, totaling 295 marks with Grade D. Attendance stands at 87.73 percent. Participates in Football as an extracurricular activity.
Student S15453 named Victor Watkins, age 10, gender Female, is in Class 12. Scored 31 in Math, 77 in Science, 59 in English, 33 in History, and 93 in Computer, totaling 293 marks with Grade D. Attendance stands at 90.29 percent. Participates in Music as an extracurricular activity.
Student S15456 named Shelia Garcia, age 16, gender Male, is in Class 12. Scored 59 in Math, 78 in Science, 61 in English, 46 in History, and 92 in Computer, totaling 336 marks with Grade C. Attendance stands at 74.13 percent. Participates in Drama as an extracurricular activity.
Student S15459 named Steven Richardson, age 16, gender Male, is in Class 12. Scored 38 in Math, 91 in Science, 95 in English, 90 in History, and 31 in Computer, totaling 345 marks with Grade C. Attendance stands at 63.78 percent. Participates in Football as an extracurricular activity.
Student S15467 named Jonathan Dominguez, age 16, gender Male, is in Class 12. Scored 97 in Math, 60 in Science, 49 in English, 38 in History, and 84 in Computer, totaling 328 marks with Grade C. Attendance stands at 94.88 percent. Participates in Music as an extracurricular activity.
Student S15474 named Aimee Shah, age 17, gender Male, is in Class 12. Scored 45 in Math, 55 in Science, 69 in English, 56 in History, and 31 in Computer, totaling 256 marks with Grade D. Attendance stands at 71.50 percent. Participates in Football as an extracurricular activity.
Student S15477 named Sandra Bishop, age 10, gender Male, is in Class 12. Scored 96 in Math, 79 in Science, 69 in English, 82 in History, and 89 in Computer, totaling 415 marks with Grade B. Attendance stands at 63.18 percent. Participates in Drama as an extracurricular activity.
Student S15484 named Anna Watkins, age 11, gender Female, is in Class 12. Scored 58 in Math, 64 in Science, 43 in English, 38 in History, and 53 in Computer, totaling 256 marks with Grade D. Attendance stands at 99.79 percent. Participates in Music as an extracurricular activity.
Student S15493 named Deborah Henderson, age 12, gender Male, is in Class 12. Scored 44 in Math, 84 in Science, 84 in English, 54 in History, and 63 in Computer, totaling 329 marks with Grade C. Attendance stands at 74.87 percent. Participates in None as an extracurricular activity.
Student S15500 named Shaun Fitzgerald, age 17, gender Female, is in Class 12. Scored 44 in Math, 65 in Science, 72 in English, 53 in History, and 56 in Computer, totaling 290 marks with Grade D. Attendance stands at 84.91 percent. Participates in Debate as an extracurricular activity.
Student S15504 named Thomas Vaughn, age 15, gender Male, is in Class 12. Scored 81 in Math, 71 in Science, 39 in English, 39 in History, and 89 in Computer, totaling 319 marks with Grade C. Attendance stands at 98.44 percent. Participates in Debate as an extracurricular activity.
Student S15510 named Nicole Christensen, age 16, gender Male, is in Class 12. Scored 84 in Math, 56 in Science, 53 in English, 84 in History, and 98 in Computer, totaling 375 marks with Grade C. Attendance stands at 67.98 percent. Participates in Dance as an extracurricular activity.
Student S15517 named Sarah Delgado, age 12, gender Female, is in Class 12. Scored 94 in Math, 54 in Science, 64 in English, 66 in History, and 90 in Computer, totaling 368 marks with Grade C. Attendance stands at 74.33 percent. Participates in Debate as an extracurricular activity.
Student S15533 named Jay Solis, age 13, gender Female, is in Class 12. Scored 40 in Math, 47 in Science, 73 in English, 76 in History, and 45 in Computer, totaling 281 marks with Grade D. Attendance stands at 68.40 percent. Participates in Drama as an extracurricular activity.
Student S15536 named Maureen Jones, age 12, gender Male, is in Class 12. Scored 89 in Math, 32 in Science, 40 in English, 96 in History, and 65 in Computer, totaling 322 marks with Grade C. Attendance stands at 60.37 percent. Participates in Dance as an extracurricular activity.
Student S15548 named Jacob Reyes, age 13, gender Male, is in Class 12. Scored 90 in Math, 79 in Science, 89 in English, 74 in History, and 51 in Computer, totaling 383 marks with Grade C. Attendance stands at 92.77 percent. Participates in Drama as an extracurricular activity.
Student S15556 named Richard Harvey, age 15, gender Male, is in Class 12. Scored 92 in Math, 49 in Science, 57 in English, 66 in History, and 36 in Computer, totaling 300 marks with Grade D. Attendance stands at 90.07 percent. Participates in None as an extracurricular activity.
Student S15567 named Brian Jenkins, age 16, gender Female, is in Class 12. Scored 48 in Math, 72 in Science, 39 in English, 30 in History, and 94 in Computer, totaling 283 marks with Grade D. Attendance stands at 80.08 percent. Participates in Drama as an extracurricular activity.
Student S15572 named Jessica Payne, age 16, gender Female, is in Class 12. Scored 77 in Math, 98 in Science, 85 in English, 90 in History, and 55 in Computer, totaling 405 marks with Grade B. Attendance stands at 60.06 percent. Participates in None as an extracurricular activity.
Student S15577 named Jacob Martin, age 12, gender Male, is in Class 12. Scored 49 in Math, 46 in Science, 78 in English, 49 in History, and 71 in Computer, totaling 293 marks with Grade D. Attendance stands at 85.89 percent. Participates in Music as an extracurricular activity.
Student S15591 named Ashley Wolfe, age 10, gender Male, is in Class 12. Scored 39 in Math, 53 in Science, 47 in English, 94 in History, and 43 in Computer, totaling 276 marks with Grade D. Attendance stands at 91.00 percent. Participates in Debate as an extracurricular activity.
Student S15596 named Mark Smith, age 11, gender Female, is in Class 12. Scored 90 in Math, 70 in Science, 59 in English, 97 in History, and 77 in Computer, totaling 393 marks with Grade C. Attendance stands at 72.16 percent. Participates in Music as an extracurricular activity.
Student S15597 named Denise Collins, age 13, gender Female, is in Class 12. Scored 64 in Math, 34 in Science, 64 in English, 88 in History, and 78 in Computer, totaling 328 marks with Grade C. Attendance stands at 73.07 percent. Participates in None as an extracurricular activity.
Student S15609 named Brett Chambers, age 16, gender Male, is in Class 12. Scored 94 in Math, 39 in Science, 78 in English, 34 in History, and 68 in Computer, totaling 313 marks with Grade C. Attendance stands at 75.73 percent. Participates in Dance as an extracurricular activity.
Student S15629 named Courtney Steele, age 15, gender Female, is in Class 12. Scored 76 in Math, 61 in Science, 62 in English, 53 in History, and 38 in Computer, totaling 290 marks with Grade D. Attendance stands at 60.87 percent. Participates in None as an extracurricular activity.
Student S15637 named Benjamin Compton, age 13, gender Female, is in Class 12. Scored 69 in Math, 92 in Science, 62 in English, 47 in History, and 69 in Computer, totaling 339 marks with Grade C. Attendance stands at 83.39 percent. Participates in Drama as an extracurricular activity.
Student S15656 named Leslie White, age 15, gender Male, is in Class 12. Scored 82 in Math, 43 in Science, 98 in English, 97 in History, and 57 in Computer, totaling 377 marks with Grade C. Attendance stands at 88.22 percent. Participates in Drama as an extracurricular activity.
Student S15658 named Robert Hamilton, age 12, gender Female, is in Class 12. Scored 90 in Math, 55 in Science, 68 in English, 71 in History, and 32 in Computer, totaling 316 marks with Grade C. Attendance stands at 80.55 percent. Participates in Debate as an extracurricular activity.
Student S15664 named David Stephens, age 16, gender Male, is in Class 12. Scored 83 in Math, 67 in Science, 72 in English, 73 in History, and 82 in Computer, totaling 377 marks with Grade C. Attendance stands at 78.87 percent. Participates in Drama as an extracurricular activity.
Student S15670 named Madison Carlson, age 14, gender Female, is in Class 12. Scored 43 in Math, 30 in Science, 78 in English, 77 in History, and 48 in Computer, totaling 276 marks with Grade D. Attendance stands at 94.46 percent. Participates in Debate as an extracurricular activity.
Student S15674 named Rachel Robinson, age 11, gender Female, is in Class 12. Scored 43 in Math, 56 in Science, 87 in English, 77 in History, and 76 in Computer, totaling 339 marks with Grade C. Attendance stands at 70.67 percent. Participates in Football as an extracurricular activity.
Student S15687 named Ronald Flores, age 17, gender Male, is in Class 12. Scored 53 in Math, 81 in Science, 89 in English, 72 in History, and 56 in Computer, totaling 351 marks with Grade C. Attendance stands at 83.59 percent. Participates in Dance as an extracurricular activity.
Student S15691 named Cassandra Dunn, age 17, gender Female, is in Class 12. Scored 91 in Math, 78 in Science, 87 in English, 40 in History, and 38 in Computer, totaling 334 marks with Grade C. Attendance stands at 61.16 percent. Participates in None as an extracurricular activity.
Student S15693 named Amanda Rodriguez, age 17, gender Male, is in Class 12. Scored 35 in Math, 61 in Science, 32 in English, 53 in History, and 54 in Computer, totaling 235 marks with Grade D. Attendance stands at 82.53 percent. Participates in Dance as an extracurricular activity.
Student S15698 named Vincent Miles, age 17, gender Male, is in Class 12. Scored 78 in Math, 51 in Science, 33 in English, 91 in History, and 31 in Computer, totaling 284 marks with Grade D. Attendance stands at 72.91 percent. Participates in None as an extracurricular activity.
Student S15709 named Matthew Clay, age 17, gender Female, is in Class 12. Scored 82 in Math, 55 in Science, 59 in English, 79 in History, and 55 in Computer, totaling 330 marks with Grade C. Attendance stands at 95.50 percent. Participates in Music as an extracurricular activity.
Student S15715 named Angelica Phillips, age 15, gender Male, is in Class 12. Scored 36 in Math, 83 in Science, 95 in English, 62 in History, and 59 in Computer, totaling 335 marks with Grade C. Attendance stands at 99.17 percent. Participates in Football as an extracurricular activity.
Student S15717 named Aaron Ford, age 13, gender Female, is in Class 12. Scored 83 in Math, 48 in Science, 71 in English, 94 in History, and 68 in Computer, totaling 364 marks with Grade C. Attendance stands at 80.44 percent. Participates in Music as an extracurricular activity.
Student S15728 named Scott Poole, age 13, gender Male, is in Class 12. Scored 36 in Math, 47 in Science, 51 in English, 94 in History, and 74 in Computer, totaling 302 marks with Grade C. Attendance stands at 93.01 percent. Participates in Football as an extracurricular activity.
Student S15744 named Robert Curry, age 13, gender Male, is in Class 12. Scored 66 in Math, 69 in Science, 57 in English, 95 in History, and 51 in Computer, totaling 338 marks with Grade C. Attendance stands at 72.62 percent. Participates in Music as an extracurricular activity.
Student S15746 named David Scott, age 17, gender Male, is in Class 12. Scored 41 in Math, 84 in Science, 58 in English, 33 in History, and 39 in Computer, totaling 255 marks with Grade D. Attendance stands at 84.14 percent. Participates in Music as an extracurricular activity.
Student S15766 named Christine Hahn, age 10, gender Male, is in Class 12. Scored 37 in Math, 72 in Science, 49 in English, 89 in History, and 78 in Computer, totaling 325 marks with Grade C. Attendance stands at 78.58 percent. Participates in None as an extracurricular activity.
Student S15784 named Christopher Dillon, age 14, gender Female, is in Class 12. Scored 59 in Math, 78 in Science, 57 in English, 89 in History, and 97 in Computer, totaling 380 marks with Grade C. Attendance stands at 76.62 percent. Participates in None as an extracurricular activity.
Student S15793 named Joshua Vaughn, age 17, gender Male, is in Class 12. Scored 51 in Math, 36 in Science, 44 in English, 38 in History, and 82 in Computer, totaling 251 marks with Grade D. Attendance stands at 70.29 percent. Participates in Music as an extracurricular activity.
Student S15797 named Kyle Forbes, age 15, gender Male, is in Class 12. Scored 53 in Math, 45 in Science, 49 in English, 62 in History, and 58 in Computer, totaling 267 marks with Grade D. Attendance stands at 73.37 percent. Participates in None as an extracurricular activity.
Student S15809 named Sarah Hernandez, age 12, gender Female, is in Class 12. Scored 50 in Math, 38 in Science, 47 in English, 99 in History, and 92 in Computer, totaling 326 marks with Grade C. Attendance stands at 63.37 percent. Participates in Music as an extracurricular activity.
Student S15812 named Ashley Johnson, age 11, gender Female, is in Class 12. Scored 53 in Math, 94 in Science, 56 in English, 57 in History, and 36 in Computer, totaling 296 marks with Grade D. Attendance stands at 99.93 percent. Participates in None as an extracurricular activity.
Student S15813 named Keith Mclean, age 13, gender Female, is in Class 12. Scored 75 in Math, 95 in Science, 70 in English, 87 in History, and 76 in Computer, totaling 403 marks with Grade B. Attendance stands at 64.95 percent. Participates in None as an extracurricular activity.
Student S15814 named Kimberly Campbell, age 13, gender Female, is in Class 12. Scored 83 in Math, 97 in Science, 46 in English, 88 in History, and 86 in Computer, totaling 400 marks with Grade C. Attendance stands at 76.61 percent. Participates in Football as an extracurricular activity.
Student S15817 named Jennifer Chavez, age 10, gender Male, is in Class 12. Scored 72 in Math, 66 in Science, 32 in English, 59 in History, and 31 in Computer, totaling 260 marks with Grade D. Attendance stands at 94.22 percent. Participates in None as an extracurricular activity.
Student S15833 named Mary Callahan, age 14, gender Male, is in Class 12. Scored 44 in Math, 91 in Science, 88 in English, 80 in History, and 86 in Computer, totaling 389 marks with Grade C. Attendance stands at 60.47 percent. Participates in Dance as an extracurricular activity.
Student S15840 named Danielle Jimenez, age 17, gender Female, is in Class 12. Scored 62 in Math, 63 in Science, 46 in English, 67 in History, and 81 in Computer, totaling 319 marks with Grade C. Attendance stands at 82.10 percent. Participates in Debate as an extracurricular activity.
Student S15842 named Roy Pugh, age 10, gender Male, is in Class 12. Scored 96 in Math, 39 in Science, 95 in English, 45 in History, and 80 in Computer, totaling 355 marks with Grade C. Attendance stands at 65.50 percent. Participates in Football as an extracurricular activity.
Student S15845 named James Terrell, age 17, gender Female, is in Class 12. Scored 81 in Math, 93 in Science, 59 in English, 53 in History, and 84 in Computer, totaling 370 marks with Grade C. Attendance stands at 91.42 percent. Participates in Music as an extracurricular activity.
Student S15854 named Brian Larsen, age 13, gender Male, is in Class 12. Scored 94 in Math, 61 in Science, 36 in English, 46 in History, and 75 in Computer, totaling 312 marks with Grade C. Attendance stands at 71.77 percent. Participates in Football as an extracurricular activity.
Student S15860 named Howard Reilly, age 12, gender Male, is in Class 12. Scored 61 in Math, 57 in Science, 34 in English, 45 in History, and 86 in Computer, totaling 283 marks with Grade D. Attendance stands at 96.59 percent. Participates in Debate as an extracurricular activity.
Student S15861 named John Hopkins, age 16, gender Female, is in Class 12. Scored 92 in Math, 39 in Science, 36 in English, 96 in History, and 59 in Computer, totaling 322 marks with Grade C. Attendance stands at 93.59 percent. Participates in Dance as an extracurricular activity.
Student S15866 named Jo Jones, age 17, gender Male, is in Class 12. Scored 95 in Math, 90 in Science, 75 in English, 31 in History, and 79 in Computer, totaling 370 marks with Grade C. Attendance stands at 95.31 percent. Participates in Football as an extracurricular activity.
Student S15871 named Derek Gentry, age 17, gender Male, is in Class 12. Scored 96 in Math, 36 in Science, 87 in English, 37 in History, and 79 in Computer, totaling 335 marks with Grade C. Attendance stands at 90.15 percent. Participates in Drama as an extracurricular activity.
Student S15878 named Joseph Walker, age 11, gender Female, is in Class 12. Scored 91 in Math, 98 in Science, 52 in English, 40 in History, and 97 in Computer, totaling 378 marks with Grade C. Attendance stands at 63.05 percent. Participates in None as an extracurricular activity.
Student S15886 named Kristopher Kelly, age 10, gender Female, is in Class 12. Scored 87 in Math, 99 in Science, 93 in English, 61 in History, and 63 in Computer, totaling 403 marks with Grade B. Attendance stands at 82.63 percent. Participates in Music as an extracurricular activity.
Student S15894 named Connor Massey, age 15, gender Female, is in Class 12. Scored 65 in Math, 35 in Science, 44 in English, 54 in History, and 72 in Computer, totaling 270 marks with Grade D. Attendance stands at 67.45 percent. Participates in Football as an extracurricular activity.
Student S15908 named Carlos Mason, age 15, gender Female, is in Class 12. Scored 73 in Math, 38 in Science, 59 in English, 30 in History, and 70 in Computer, totaling 270 marks with Grade D. Attendance stands at 77.68 percent. Participates in None as an extracurricular activity.
Student S15925 named Eric Rhodes, age 13, gender Female, is in Class 12. Scored 32 in Math, 75 in Science, 51 in English, 32 in History, and 30 in Computer, totaling 220 marks with Grade D. Attendance stands at 89.69 percent. Participates in Music as an extracurricular activity.
Student S15926 named Regina Jackson, age 12, gender Male, is in Class 12. Scored 59 in Math, 67 in Science, 45 in English, 44 in History, and 66 in Computer, totaling 281 marks with Grade D. Attendance stands at 95.14 percent. Participates in Music as an extracurricular activity.
Student S15952 named Robert Andrade, age 14, gender Male, is in Class 12. Scored 85 in Math, 86 in Science, 84 in English, 40 in History, and 31 in Computer, totaling 326 marks with Grade C. Attendance stands at 80.26 percent. Participates in Football as an extracurricular activity.
Student S15974 named Mathew Figueroa, age 13, gender Male, is in Class 12. Scored 96 in Math, 73 in Science, 98 in English, 60 in History, and 37 in Computer, totaling 364 marks with Grade C. Attendance stands at 66.19 percent. Participates in None as an extracurricular activity.
Student S15979 named Gregory Ibarra, age 15, gender Male, is in Class 12. Scored 41 in Math, 85 in Science, 39 in English, 84 in History, and 77 in Computer, totaling 326 marks with Grade C. Attendance stands at 97.90 percent. Participates in Debate as an extracurricular activity.
Student S15985 named Mark Wilson, age 13, gender Male, is in Class 12. Scored 93 in Math, 63 in Science, 70 in English, 39 in History, and 72 in Computer, totaling 337 marks with Grade C. Attendance stands at 80.05 percent. Participates in None as an extracurricular activity.
Student S15992 named John Wheeler, age 12, gender Female, is in Class 12. Scored 34 in Math, 99 in Science, 94 in English, 57 in History, and 53 in Computer, totaling 337 marks with Grade C. Attendance stands at 60.27 percent. Participates in Drama as an extracurricular activity.
Student S16001 named Shannon Ruiz, age 17, gender Male, is in Class 12. Scored 64 in Math, 59 in Science, 77 in English, 62 in History, and 88 in Computer, totaling 350 marks with Grade C. Attendance stands at 97.17 percent. Participates in None as an extracurricular activity.
Student S16003 named Steven Hansen, age 14, gender Male, is in Class 12. Scored 94 in Math, 41 in Science, 52 in English, 49 in History, and 43 in Computer, totaling 279 marks with Grade D. Attendance stands at 90.49 percent. Participates in Drama as an extracurricular activity.
Student S16004 named Ashley Swanson, age 12, gender Male, is in Class 12. Scored 96 in Math, 58 in Science, 34 in English, 79 in History, and 55 in Computer, totaling 322 marks with Grade C. Attendance stands at 72.63 percent. Participates in Debate as an extracurricular activity.
Student S16007 named Kyle Leach, age 16, gender Female, is in Class 12. Scored 99 in Math, 37 in Science, 32 in English, 34 in History, and 84 in Computer, totaling 286 marks with Grade D. Attendance stands at 83.29 percent. Participates in Debate as an extracurricular activity.
Student S16012 named Derek White, age 10, gender Female, is in Class 12. Scored 90 in Math, 57 in Science, 69 in English, 75 in History, and 83 in Computer, totaling 374 marks with Grade C. Attendance stands at 76.68 percent. Participates in Music as an extracurricular activity.
Student S16022 named Susan Meyer, age 12, gender Male, is in Class 12. Scored 75 in Math, 83 in Science, 68 in English, 87 in History, and 68 in Computer, totaling 381 marks with Grade C. Attendance stands at 71.44 percent. Participates in Music as an extracurricular activity.
Student S16023 named Alan Wall, age 15, gender Male, is in Class 12. Scored 97 in Math, 33 in Science, 70 in English, 75 in History, and 61 in Computer, totaling 336 marks with Grade C. Attendance stands at 97.91 percent. Participates in Music as an extracurricular activity.
Student S16029 named Jamie Porter, age 13, gender Female, is in Class 12. Scored 93 in Math, 43 in Science, 33 in English, 48 in History, and 69 in Computer, totaling 286 marks with Grade D. Attendance stands at 88.41 percent. Participates in Debate as an extracurricular activity.
Student S16057 named Angela Kirk, age 12, gender Female, is in Class 12. Scored 58 in Math, 32 in Science, 88 in English, 34 in History, and 49 in Computer, totaling 261 marks with Grade D. Attendance stands at 87.45 percent. Participates in Dance as an extracurricular activity.
Student S16074 named Lisa Hammond, age 10, gender Male, is in Class 12. Scored 94 in Math, 50 in Science, 83 in English, 44 in History, and 38 in Computer, totaling 309 marks with Grade C. Attendance stands at 85.22 percent. Participates in Drama as an extracurricular activity.
Student S16083 named Adam Brooks, age 12, gender Male, is in Class 12. Scored 48 in Math, 73 in Science, 88 in English, 49 in History, and 48 in Computer, totaling 306 marks with Grade C. Attendance stands at 96.44 percent. Participates in Music as an extracurricular activity.
Student S16086 named James Ritter, age 12, gender Female, is in Class 12. Scored 55 in Math, 59 in Science, 48 in English, 41 in History, and 50 in Computer, totaling 253 marks with Grade D. Attendance stands at 78.50 percent. Participates in Drama as an extracurricular activity.
Student S16087 named Elizabeth Campbell, age 15, gender Male, is in Class 12. Scored 82 in Math, 85 in Science, 77 in English, 58 in History, and 91 in Computer, totaling 393 marks with Grade C. Attendance stands at 91.59 percent. Participates in Drama as an extracurricular activity.
Student S16094 named Megan Stafford, age 10, gender Female, is in Class 12. Scored 84 in Math, 63 in Science, 48 in English, 68 in History, and 74 in Computer, totaling 337 marks with Grade C. Attendance stands at 63.36 percent. Participates in Music as an extracurricular activity.
Student S16118 named Amanda Osborn, age 13, gender Female, is in Class 12. Scored 74 in Math, 60 in Science, 45 in English, 51 in History, and 41 in Computer, totaling 271 marks with Grade D. Attendance stands at 90.19 percent. Participates in Music as an extracurricular activity.
Student S16122 named Robin Richard, age 10, gender Male, is in Class 12. Scored 38 in Math, 98 in Science, 37 in English, 61 in History, and 43 in Computer, totaling 277 marks with Grade D. Attendance stands at 67.19 percent. Participates in Drama as an extracurricular activity.
Student S16128 named Johnny Wolfe, age 13, gender Female, is in Class 12. Scored 77 in Math, 40 in Science, 66 in English, 90 in History, and 34 in Computer, totaling 307 marks with Grade C. Attendance stands at 94.77 percent. Participates in Drama as an extracurricular activity.
Student S16134 named Glenda Johnson, age 10, gender Male, is in Class 12. Scored 71 in Math, 64 in Science, 99 in English, 72 in History, and 50 in Computer, totaling 356 marks with Grade C. Attendance stands at 64.28 percent. Participates in Drama as an extracurricular activity.
Student S16159 named Cindy Munoz, age 15, gender Male, is in Class 12. Scored 74 in Math, 64 in Science, 48 in English, 40 in History, and 78 in Computer, totaling 304 marks with Grade C. Attendance stands at 62.28 percent. Participates in Drama as an extracurricular activity.
Student S16162 named Jeffery Watts, age 15, gender Female, is in Class 12. Scored 75 in Math, 84 in Science, 78 in English, 46 in History, and 41 in Computer, totaling 324 marks with Grade C. Attendance stands at 78.63 percent. Participates in Drama as an extracurricular activity.
Student S16163 named Nicholas Leon, age 14, gender Male, is in Class 12. Scored 66 in Math, 61 in Science, 39 in English, 45 in History, and 66 in Computer, totaling 277 marks with Grade D. Attendance stands at 76.18 percent. Participates in Dance as an extracurricular activity.
Student S16167 named David Chaney, age 12, gender Male, is in Class 12. Scored 70 in Math, 79 in Science, 72 in English, 32 in History, and 61 in Computer, totaling 314 marks with Grade C. Attendance stands at 66.65 percent. Participates in None as an extracurricular activity.
Student S16170 named Kathleen Roach, age 17, gender Male, is in Class 12. Scored 41 in Math, 83 in Science, 86 in English, 80 in History, and 80 in Computer, totaling 370 marks with Grade C. Attendance stands at 89.92 percent. Participates in Football as an extracurricular activity.
Student S16181 named Amanda Hudson, age 17, gender Male, is in Class 12. Scored 33 in Math, 76 in Science, 92 in English, 96 in History, and 93 in Computer, totaling 390 marks with Grade C. Attendance stands at 78.49 percent. Participates in Debate as an extracurricular activity.
Student S16183 named Barbara York, age 16, gender Female, is in Class 12. Scored 88 in Math, 30 in Science, 69 in English, 71 in History, and 61 in Computer, totaling 319 marks with Grade C. Attendance stands at 62.89 percent. Participates in Debate as an extracurricular activity.
Student S16186 named Robert Taylor, age 14, gender Female, is in Class 12. Scored 94 in Math, 42 in Science, 35 in English, 51 in History, and 73 in Computer, totaling 295 marks with Grade D. Attendance stands at 66.80 percent. Participates in Debate as an extracurricular activity.
